Acinetobacter_baumannii	Acinetobacter_indicus	Acinetobacter_nosocomialis	Acinetobacter_pittii	Acinetobacter_seifertii
['81']	[]	[]	['29']	[]
['82']	[]	[]	[]	[]
['83']	[]	[]	[]	[]
['84']	[]	[]	[]	[]
['85']	[]	[]	[]	[]
['86']	[]	['16']	['162']	['47']
['87']	[]	[]	['140']	[]
['88']	[]	[]	[]	[]
['89']	[]	[]	[]	[]
['90']	[]	[]	['158']	[]
['91']	[]	[]	[]	[]
['92']	[]	[]	[]	[]
['93']	[]	[]	['50']	[]
['94']	[]	[]	['155']	['114']
['95']	[]	[]	[]	[]
['96']	[]	[]	[]	[]
['97']	[]	[]	[]	[]
['98']	[]	[]	[]	[]
['99']	[]	[]	[]	[]
['100']	[]	[]	[]	[]
['101']	[]	[]	[]	[]
['102']	[]	[]	[]	[]
['103']	[]	[]	[]	[]
['104']	[]	[]	[]	[]
['105', '132']	[]	[]	[]	[]
['106']	[]	[]	[]	[]
['107']	[]	[]	[]	[]
['108']	[]	[]	[]	[]
['109']	[]	[]	[]	[]
['110']	[]	[]	[]	[]
['111']	[]	[]	[]	[]
['112']	[]	[]	[]	[]
['113']	[]	[]	[]	[]
['114']	[]	[]	[]	[]
['115']	[]	[]	[]	[]
['116']	[]	[]	[]	[]
['117']	[]	[]	[]	[]
['118']	[]	['151']	[]	['15']
['119']	[]	['61']	['157']	['87']
['120']	[]	[]	[]	[]
['121']	[]	[]	[]	[]
['122']	[]	[]	[]	[]
['123']	[]	[]	[]	[]
['124']	[]	[]	[]	[]
['125']	[]	[]	['119']	[]
['126']	[]	[]	[]	[]
['127']	[]	[]	[]	[]
['128']	[]	[]	[]	[]
['129']	[]	[]	[]	[]
['130']	[]	['67']	['134']	['56']
['131']	[]	[]	[]	[]
['133']	[]	[]	[]	[]
['134']	[]	[]	[]	[]
['135']	[]	[]	[]	[]
['136']	[]	[]	[]	[]
['137']	[]	[]	[]	[]
['138']	[]	[]	[]	[]
['139']	[]	[]	[]	[]
['140']	[]	[]	[]	[]
['141']	[]	[]	[]	[]
['142']	[]	[]	[]	[]
['143']	[]	['158']	[]	[]
['144']	[]	[]	[]	[]
['145']	[]	[]	[]	[]
['146']	[]	[]	[]	[]
['147']	[]	[]	[]	[]
['148']	[]	[]	[]	[]
['149']	[]	[]	[]	[]
['150']	[]	[]	[]	[]
['151']	[]	[]	[]	[]
['152']	[]	[]	[]	[]
['153']	[]	[]	[]	[]
['154']	[]	[]	[]	[]
['155']	[]	[]	[]	[]
['156']	[]	[]	[]	[]
['157']	[]	[]	[]	[]
['158']	[]	[]	[]	[]
['159']	[]	[]	[]	[]
['160']	[]	[]	[]	[]
['161']	[]	[]	[]	[]
['162']	[]	[]	[]	[]
['163']	[]	[]	[]	[]
['164']	[]	[]	[]	[]
['165']	[]	[]	[]	[]
['166']	[]	[]	[]	[]
['167']	[]	[]	[]	[]
['168']	[]	[]	[]	[]
['169']	[]	[]	[]	[]
['170']	[]	[]	[]	[]
['171']	[]	[]	['105']	[]
['172']	[]	[]	['168']	[]
['173']	[]	[]	[]	[]
['174']	[]	[]	[]	[]
['175']	[]	[]	[]	[]
['176']	[]	[]	[]	[]
['177']	[]	[]	[]	['32']
['178']	[]	[]	[]	[]
['179']	[]	[]	[]	[]
['180']	[]	[]	[]	[]
['181']	[]	[]	[]	[]
['182']	[]	[]	[]	[]
['183']	[]	[]	[]	[]
['184']	[]	[]	[]	[]
['185']	[]	[]	[]	[]
['186']	[]	['160']	['144']	['117']
['187']	[]	[]	[]	[]
['188']	[]	[]	[]	[]
['189']	[]	[]	[]	[]
['190']	[]	[]	[]	[]
['191']	[]	[]	[]	[]
['192']	[]	[]	[]	[]
['193']	[]	['136']	[]	['115']
['194']	[]	[]	[]	[]
['195']	[]	[]	[]	[]
['196']	[]	[]	[]	[]
['197']	[]	[]	[]	[]
['198']	[]	[]	['107']	[]
['199']	[]	[]	[]	[]
['200']	[]	[]	[]	[]
['201']	[]	[]	[]	[]
['202']	[]	[]	[]	[]
['203']	[]	[]	[]	[]
['204']	[]	[]	[]	[]
['205']	[]	[]	[]	[]
['206']	[]	[]	['139']	[]
['207']	[]	[]	[]	[]
['208']	[]	[]	[]	[]
['209']	[]	[]	[]	[]
['210']	[]	[]	[]	[]
['211']	[]	[]	[]	[]
['212']	[]	[]	[]	[]
['213']	[]	[]	[]	[]
['214']	[]	[]	[]	[]
['215']	[]	[]	[]	[]
['216']	[]	[]	[]	[]
['217']	[]	[]	[]	[]
['218']	[]	[]	[]	[]
['219']	[]	[]	[]	[]
['221']	[]	[]	[]	[]
['222']	[]	[]	[]	[]
['223']	[]	[]	[]	[]
['224']	[]	[]	[]	[]
['225']	[]	[]	[]	[]
['226']	[]	[]	[]	[]
['227']	[]	[]	[]	[]
['228']	[]	[]	[]	[]
['229']	[]	[]	[]	[]
['230']	[]	[]	[]	[]
['231']	[]	[]	[]	[]
['232']	[]	[]	[]	[]
['233']	[]	[]	[]	['138']
['234']	[]	[]	[]	[]
['235']	[]	[]	[]	[]
['236']	[]	[]	[]	[]
['237']	[]	[]	[]	[]
['238']	[]	[]	[]	[]
['239']	[]	[]	[]	[]
['241']	[]	[]	[]	[]
['242']	[]	[]	[]	[]
['243']	[]	[]	[]	[]
['244']	[]	[]	[]	[]
['245']	[]	[]	[]	[]
['246']	[]	[]	[]	[]
['247']	[]	[]	['174']	[]
['248']	[]	[]	[]	[]
['249']	[]	[]	[]	[]
['250']	[]	[]	[]	[]
['251']	[]	[]	[]	[]
['252']	[]	['12']	['101']	[]
['253']	[]	[]	[]	[]
['254']	[]	[]	[]	[]
['255']	[]	[]	[]	[]
['256']	[]	[]	[]	[]
['257']	[]	[]	[]	[]
['258']	[]	[]	[]	[]
['259']	[]	['114']	['136']	['23']
['260']	[]	[]	[]	[]
['261']	[]	[]	[]	[]
['262']	[]	[]	[]	[]
['263']	[]	[]	[]	['119']
['264']	[]	[]	[]	[]
['265']	[]	[]	[]	[]
['266']	[]	[]	[]	[]
['267']	[]	[]	[]	[]
['268']	[]	[]	[]	['142']
['269']	[]	[]	[]	[]
['270']	[]	[]	[]	[]
['271']	[]	[]	[]	[]
['272']	[]	[]	[]	[]
['273']	[]	[]	[]	[]
['274']	[]	[]	[]	[]
['275']	[]	[]	[]	[]
['276']	[]	[]	[]	[]
['277']	[]	[]	[]	[]
['278']	[]	[]	[]	[]
['279']	[]	[]	[]	[]
['280']	[]	[]	[]	[]
['281']	[]	[]	[]	[]
['282']	[]	[]	[]	[]
['283']	[]	[]	[]	[]
['284']	[]	[]	[]	[]
['285']	[]	[]	[]	[]
['286']	[]	[]	[]	[]
['287']	[]	['47']	['167']	['130']
['288']	[]	[]	[]	[]
['289']	[]	[]	[]	[]
['290']	[]	[]	[]	[]
['291']	[]	[]	[]	[]
['292']	[]	[]	[]	[]
['293']	[]	[]	[]	[]
['294']	[]	[]	[]	['132']
['295']	[]	[]	[]	[]
['296']	[]	[]	[]	[]
['297']	[]	[]	[]	[]
['298']	[]	[]	[]	[]
['299']	[]	[]	[]	[]
['300']	[]	[]	[]	[]
['301']	[]	[]	[]	[]
['302']	[]	[]	[]	[]
['303']	[]	[]	[]	[]
['304']	[]	[]	[]	[]
['305']	[]	[]	[]	[]
['306']	[]	[]	[]	[]
['307']	[]	[]	[]	[]
['308']	[]	[]	[]	[]
['309']	[]	[]	[]	[]
['311']	[]	[]	[]	[]
['312']	[]	[]	[]	[]
['313']	[]	[]	[]	[]
['314']	[]	[]	[]	[]
['315']	[]	[]	[]	[]
['316']	[]	[]	[]	[]
['317']	[]	[]	[]	[]
['318']	[]	[]	[]	[]
['319']	[]	[]	[]	[]
['320']	[]	[]	[]	[]
['321']	[]	[]	[]	[]
['322']	[]	[]	[]	[]
['323']	[]	[]	[]	[]
['324']	[]	[]	[]	[]
['325']	[]	[]	[]	[]
['326']	[]	[]	[]	[]
['327']	[]	[]	[]	[]
['328']	[]	[]	[]	[]
['329']	[]	[]	['93']	[]
['330']	[]	[]	['159']	[]
['331']	[]	[]	[]	[]
['332']	[]	[]	[]	[]
['333']	[]	[]	[]	[]
['334']	[]	[]	[]	[]
['335']	[]	[]	[]	[]
['336']	[]	[]	[]	[]
['337']	[]	[]	[]	[]
['338']	[]	[]	[]	[]
['339']	[]	[]	[]	[]
['340']	[]	[]	[]	[]
['341']	[]	[]	[]	[]
['342']	[]	[]	[]	[]
['343']	[]	[]	[]	[]
['344']	[]	[]	[]	[]
['345']	[]	[]	[]	[]
['346']	[]	[]	[]	[]
['347']	[]	[]	[]	[]
['348']	[]	[]	[]	[]
['349']	[]	[]	[]	[]
['350']	[]	[]	[]	[]
['351']	[]	[]	[]	[]
['352']	[]	[]	[]	[]
['353']	[]	[]	[]	[]
['354']	[]	[]	[]	[]
['355']	[]	[]	[]	[]
['356']	[]	[]	[]	[]
['357']	[]	[]	[]	[]
['358']	[]	[]	[]	[]
['359']	[]	[]	[]	[]
['360']	[]	[]	[]	[]
['361']	[]	[]	[]	[]
['362']	[]	[]	[]	[]
['363']	[]	[]	[]	['75']
[]	['0']	[]	[]	[]
[]	['1']	[]	[]	[]
[]	['2']	[]	[]	[]
[]	['3']	[]	[]	[]
[]	['4']	[]	[]	[]
[]	['5']	[]	[]	[]
[]	['6']	[]	[]	[]
[]	['7']	[]	[]	[]
[]	['8']	[]	[]	[]
[]	['9']	[]	[]	[]
[]	['10']	[]	[]	[]
[]	['11']	[]	[]	[]
[]	['12']	[]	[]	[]
[]	['13']	[]	[]	[]
[]	['14']	[]	[]	[]
[]	['15']	[]	[]	[]
[]	['16']	[]	[]	[]
[]	['17']	[]	[]	[]
[]	['18']	[]	[]	[]
[]	['19']	[]	[]	[]
[]	['20']	[]	[]	[]
[]	['21']	[]	[]	[]
[]	['22']	[]	[]	[]
[]	['23']	[]	[]	[]
[]	['24']	[]	[]	[]
[]	['25']	[]	[]	[]
[]	['26']	[]	[]	[]
[]	['28']	[]	[]	[]
[]	['29']	[]	[]	[]
[]	['30']	[]	[]	[]
[]	['31']	[]	[]	[]
[]	['32']	[]	[]	[]
[]	['33']	[]	[]	[]
[]	['34']	[]	[]	[]
[]	['35']	[]	[]	[]
[]	['36']	[]	[]	[]
[]	['37']	[]	[]	[]
[]	['38']	[]	[]	[]
[]	['39']	[]	[]	[]
[]	['40']	[]	[]	[]
[]	['41']	[]	[]	[]
[]	['42']	[]	[]	[]
[]	['43']	[]	[]	[]
[]	['44']	[]	[]	[]
[]	['45']	[]	[]	[]
[]	['46']	[]	[]	[]
[]	['47']	[]	[]	[]
[]	['48']	[]	[]	[]
[]	['49']	[]	[]	[]
[]	['50']	[]	[]	[]
[]	['51']	[]	[]	[]
[]	['52']	[]	[]	[]
[]	['53']	[]	[]	[]
[]	['54']	[]	[]	[]
[]	['55']	[]	[]	[]
[]	['56']	[]	[]	[]
[]	['57']	[]	[]	[]
[]	['58']	[]	[]	[]
[]	['59']	[]	[]	[]
[]	['60']	[]	[]	[]
[]	['62']	[]	[]	[]
[]	['63']	[]	[]	[]
[]	['64']	[]	[]	[]
[]	['65']	[]	[]	[]
[]	['66']	[]	[]	[]
[]	['67']	[]	[]	[]
[]	['68']	[]	[]	[]
[]	['69']	[]	[]	[]
[]	['70']	[]	[]	[]
[]	['71']	[]	[]	[]
[]	['72']	[]	[]	[]
[]	['73']	[]	[]	[]
[]	['74']	[]	[]	[]
[]	['75']	[]	[]	[]
[]	['76']	[]	[]	[]
[]	['77']	[]	[]	[]
[]	['78']	[]	[]	[]
[]	['79']	[]	[]	[]
[]	['80']	[]	[]	[]
[]	['81']	[]	[]	[]
[]	[]	['0']	[]	[]
[]	[]	['1']	[]	[]
[]	[]	['2']	[]	[]
[]	[]	['3']	[]	[]
[]	[]	['4']	[]	[]
[]	[]	['5']	[]	[]
[]	[]	['6']	[]	[]
[]	[]	['7']	[]	[]
[]	[]	['8']	[]	[]
[]	[]	['9']	[]	[]
[]	[]	['10']	[]	[]
[]	[]	['11']	[]	[]
[]	[]	['13']	[]	[]
[]	[]	['14']	[]	[]
[]	[]	['15']	[]	[]
[]	[]	['17']	[]	[]
[]	[]	['18']	[]	[]
[]	[]	['19']	[]	[]
[]	[]	['20']	[]	[]
[]	[]	['21']	[]	[]
[]	[]	['22']	[]	[]
[]	[]	['23']	[]	[]
[]	[]	['24']	[]	[]
[]	[]	['25']	[]	[]
[]	[]	['26']	[]	[]
[]	[]	['27']	[]	[]
[]	[]	['28']	[]	[]
[]	[]	['29']	[]	[]
[]	[]	['30']	[]	[]
[]	[]	['31']	[]	[]
[]	[]	['32']	[]	[]
[]	[]	['33']	[]	[]
[]	[]	['34']	[]	[]
[]	[]	['35']	[]	[]
[]	[]	['36']	[]	[]
[]	[]	['37']	[]	[]
[]	[]	['38']	[]	[]
[]	[]	['39']	[]	[]
[]	[]	['40']	[]	[]
[]	[]	['41']	[]	[]
[]	[]	['42']	[]	[]
[]	[]	['43']	[]	[]
[]	[]	['44']	[]	[]
[]	[]	['45']	[]	[]
[]	[]	['46']	[]	[]
[]	[]	['48']	[]	[]
[]	[]	['49']	['57']	[]
[]	[]	['50']	['11']	[]
[]	[]	['51']	[]	[]
[]	[]	['52']	[]	[]
[]	[]	['53']	['132']	['22']
[]	[]	['54']	[]	[]
[]	[]	['55']	[]	[]
[]	[]	['57']	[]	['8']
[]	[]	['58']	[]	[]
[]	[]	['59']	[]	[]
[]	[]	['62']	['183']	[]
[]	[]	['63']	[]	[]
[]	[]	['65']	[]	[]
[]	[]	['66']	[]	[]
[]	[]	['68', '121']	[]	['69']
[]	[]	['69']	[]	[]
[]	[]	['70']	[]	[]
[]	[]	['71']	[]	[]
[]	[]	['72']	[]	[]
[]	[]	['73']	[]	[]
[]	[]	['74']	[]	[]
[]	[]	['75']	[]	[]
[]	[]	['76']	[]	[]
[]	[]	['77']	[]	[]
[]	[]	['78']	[]	[]
[]	[]	['79']	[]	[]
[]	[]	['80']	[]	[]
[]	[]	['82']	[]	[]
[]	[]	['83']	[]	[]
[]	[]	['84']	[]	[]
[]	[]	['85']	[]	[]
[]	[]	['86']	[]	[]
[]	[]	['87']	[]	[]
[]	[]	['88']	[]	[]
[]	[]	['90']	[]	[]
[]	[]	['91']	[]	[]
[]	[]	['92']	[]	['18']
[]	[]	['94']	[]	[]
[]	[]	['95']	[]	[]
[]	[]	['96']	[]	[]
[]	[]	['97']	[]	['31']
[]	[]	['98']	[]	[]
[]	[]	['99']	[]	['146']
[]	[]	['100']	[]	[]
[]	[]	['101']	[]	[]
[]	[]	['102']	[]	[]
[]	[]	['103']	[]	[]
[]	[]	['104']	['15']	['50']
[]	[]	['105']	[]	[]
[]	[]	['106']	[]	[]
[]	[]	['107']	[]	[]
[]	[]	['108']	[]	[]
[]	[]	['109']	[]	[]
[]	[]	['110']	[]	[]
[]	[]	['111']	[]	[]
[]	[]	['115']	[]	[]
[]	[]	['116']	[]	[]
[]	[]	['117']	[]	[]
[]	[]	['118']	[]	[]
[]	[]	['119']	['145']	['44']
[]	[]	['122']	[]	[]
[]	[]	['124']	[]	['14']
[]	[]	['125']	[]	[]
[]	[]	['126']	['67']	['43']
[]	[]	['127']	[]	[]
[]	[]	['128']	[]	[]
[]	[]	['129']	[]	[]
[]	[]	['131']	[]	[]
[]	[]	['132']	[]	[]
[]	[]	['133']	[]	[]
[]	[]	['134']	[]	[]
[]	[]	['135']	[]	[]
[]	[]	['137']	[]	[]
[]	[]	['139']	[]	[]
[]	[]	['140']	[]	['37']
[]	[]	['141']	[]	[]
[]	[]	['142']	[]	[]
[]	[]	['143']	[]	[]
[]	[]	['144']	[]	[]
[]	[]	['145']	[]	[]
[]	[]	['146']	[]	[]
[]	[]	['147']	[]	['111']
[]	[]	['148']	[]	['123']
[]	[]	['149']	[]	[]
[]	[]	['150']	[]	[]
[]	[]	['152']	[]	[]
[]	[]	['153']	[]	[]
[]	[]	['154']	[]	[]
[]	[]	['155']	[]	[]
[]	[]	['156']	[]	[]
[]	[]	['159']	[]	[]
[]	[]	['161']	['99']	['102']
[]	[]	['162']	[]	[]
[]	[]	['163']	[]	[]
[]	[]	['164']	[]	[]
[]	[]	['166']	[]	[]
[]	[]	[]	['0']	[]
[]	[]	[]	['1']	[]
[]	[]	[]	['2']	[]
[]	[]	[]	['3']	[]
[]	[]	[]	['4']	[]
[]	[]	[]	['5']	[]
[]	[]	[]	['6']	[]
[]	[]	[]	['7']	[]
[]	[]	[]	['9']	[]
[]	[]	[]	['12']	[]
[]	[]	[]	['13']	[]
[]	[]	[]	['14']	[]
[]	[]	[]	['16']	[]
[]	[]	[]	['17']	[]
[]	[]	[]	['18']	[]
[]	[]	[]	['19']	[]
[]	[]	[]	['20']	[]
[]	[]	[]	['21']	[]
[]	[]	[]	['22']	[]
[]	[]	[]	['23']	[]
[]	[]	[]	['24']	[]
[]	[]	[]	['25']	[]
[]	[]	[]	['26']	[]
[]	[]	[]	['27']	[]
[]	[]	[]	['28']	[]
[]	[]	[]	['31']	[]
[]	[]	[]	['32']	[]
[]	[]	[]	['33']	[]
[]	[]	[]	['34']	[]
[]	[]	[]	['35']	[]
[]	[]	[]	['36']	[]
[]	[]	[]	['37']	[]
[]	[]	[]	['38']	[]
[]	[]	[]	['39']	[]
[]	[]	[]	['41']	[]
[]	[]	[]	['42']	[]
[]	[]	[]	['43']	[]
[]	[]	[]	['44']	[]
[]	[]	[]	['45']	[]
[]	[]	[]	['46']	[]
[]	[]	[]	['47']	[]
[]	[]	[]	['48']	[]
[]	[]	[]	['83', '49']	[]
[]	[]	[]	['51']	[]
[]	[]	[]	['52']	[]
[]	[]	[]	['53']	[]
[]	[]	[]	['54']	[]
[]	[]	[]	['55']	[]
[]	[]	[]	['56']	[]
[]	[]	[]	['58']	[]
[]	[]	[]	['59']	[]
[]	[]	[]	['60']	[]
[]	[]	[]	['61']	[]
[]	[]	[]	['62']	[]
[]	[]	[]	['63']	[]
[]	[]	[]	['64']	[]
[]	[]	[]	['65']	[]
[]	[]	[]	['66']	[]
[]	[]	[]	['68']	[]
[]	[]	[]	['69']	[]
[]	[]	[]	['70']	[]
[]	[]	[]	['71']	[]
[]	[]	[]	['73']	[]
[]	[]	[]	['74']	[]
[]	[]	[]	['75']	[]
[]	[]	[]	['76']	[]
[]	[]	[]	['77']	[]
[]	[]	[]	['78']	[]
[]	[]	[]	['80']	[]
[]	[]	[]	['81']	[]
[]	[]	[]	['84']	[]
[]	[]	[]	['86']	[]
[]	[]	[]	['87']	[]
[]	[]	[]	['88']	[]
[]	[]	[]	['89']	[]
[]	[]	[]	['90']	[]
[]	[]	[]	['91']	[]
[]	[]	[]	['92']	[]
[]	[]	[]	['95']	[]
[]	[]	[]	['96']	['140']
[]	[]	[]	['97']	[]
[]	[]	[]	['102']	[]
[]	[]	[]	['103']	[]
[]	[]	[]	['104']	[]
[]	[]	[]	['106']	[]
[]	[]	[]	['108']	[]
[]	[]	[]	['110']	[]
[]	[]	[]	['111']	[]
[]	[]	[]	['112']	[]
[]	[]	[]	['114']	[]
[]	[]	[]	['115']	[]
[]	[]	[]	['116']	['27']
[]	[]	[]	['118']	[]
[]	[]	[]	['120']	[]
[]	[]	[]	['121']	[]
[]	[]	[]	['123']	[]
[]	[]	[]	['124']	[]
[]	[]	[]	['125']	[]
[]	[]	[]	['126']	['112']
[]	[]	[]	['127']	['33']
[]	[]	[]	['128']	[]
[]	[]	[]	['129']	[]
[]	[]	[]	['131']	[]
[]	[]	[]	['133']	[]
[]	[]	[]	['135']	[]
[]	[]	[]	['137']	[]
[]	[]	[]	['138']	[]
[]	[]	[]	['141']	[]
[]	[]	[]	['142']	[]
[]	[]	[]	['143']	['41']
[]	[]	[]	['146']	[]
[]	[]	[]	['147']	[]
[]	[]	[]	['148']	['85']
[]	[]	[]	['149']	[]
[]	[]	[]	['151']	[]
[]	[]	[]	['152']	['42']
[]	[]	[]	['153']	[]
[]	[]	[]	['160']	[]
[]	[]	[]	['161']	[]
[]	[]	[]	['163']	[]
[]	[]	[]	['164']	[]
[]	[]	[]	['165']	[]
[]	[]	[]	['166']	[]
[]	[]	[]	['169']	[]
[]	[]	[]	['170']	[]
[]	[]	[]	['171']	[]
[]	[]	[]	['172']	[]
[]	[]	[]	['173']	[]
[]	[]	[]	['175']	['126']
[]	[]	[]	['176']	[]
[]	[]	[]	['177']	[]
[]	[]	[]	['178']	[]
[]	[]	[]	['180']	[]
[]	[]	[]	['181']	[]
[]	[]	[]	['182']	[]
[]	[]	[]	['184']	[]
[]	[]	[]	['185']	[]
[]	[]	[]	['186']	[]
[]	[]	[]	[]	['0']
[]	[]	[]	[]	['1']
[]	[]	[]	[]	['4']
[]	[]	[]	[]	['5']
[]	[]	[]	[]	['7']
[]	[]	[]	[]	['9']
[]	[]	[]	[]	['10']
[]	[]	[]	[]	['11']
[]	[]	[]	[]	['12']
[]	[]	[]	[]	['13']
[]	[]	[]	[]	['17']
[]	[]	[]	[]	['19']
[]	[]	[]	[]	['21']
[]	[]	[]	[]	['24']
[]	[]	[]	[]	['25']
[]	[]	[]	[]	['26']
[]	[]	[]	[]	['28']
[]	[]	[]	[]	['29']
[]	[]	[]	[]	['30']
[]	[]	[]	[]	['34']
[]	[]	[]	[]	['35']
[]	[]	[]	[]	['36']
[]	[]	[]	[]	['39']
[]	[]	[]	[]	['40']
[]	[]	[]	[]	['45']
[]	[]	[]	[]	['46']
[]	[]	[]	[]	['48']
[]	[]	[]	[]	['49']
[]	[]	[]	[]	['51']
[]	[]	[]	[]	['53']
[]	[]	[]	[]	['54']
[]	[]	[]	[]	['55']
[]	[]	[]	[]	['57']
[]	[]	[]	[]	['58']
[]	[]	[]	[]	['59']
[]	[]	[]	[]	['61']
[]	[]	[]	[]	['63']
[]	[]	[]	[]	['65']
[]	[]	[]	[]	['67']
[]	[]	[]	[]	['70']
[]	[]	[]	[]	['71']
[]	[]	[]	[]	['72', '104']
[]	[]	[]	[]	['73']
[]	[]	[]	[]	['76']
[]	[]	[]	[]	['77']
[]	[]	[]	[]	['78']
[]	[]	[]	[]	['79']
[]	[]	[]	[]	['80']
[]	[]	[]	[]	['81']
[]	[]	[]	[]	['82', '100']
[]	[]	[]	[]	['84']
[]	[]	[]	[]	['86']
[]	[]	[]	[]	['88']
[]	[]	[]	[]	['90']
[]	[]	[]	[]	['91']
[]	[]	[]	[]	['92']
[]	[]	[]	[]	['93']
[]	[]	[]	[]	['94']
[]	[]	[]	[]	['95']
[]	[]	[]	[]	['96']
[]	[]	[]	[]	['97']
[]	[]	[]	[]	['98']
[]	[]	[]	[]	['99']
[]	[]	[]	[]	['101']
[]	[]	[]	[]	['105']
[]	[]	[]	[]	['106']
[]	[]	[]	[]	['107']
[]	[]	[]	[]	['108']
[]	[]	[]	[]	['109']
[]	[]	[]	[]	['110']
[]	[]	[]	[]	['113']
[]	[]	[]	[]	['116']
[]	[]	[]	[]	['118']
[]	[]	[]	[]	['120']
[]	[]	[]	[]	['122']
[]	[]	[]	[]	['124']
[]	[]	[]	[]	['125']
[]	[]	[]	[]	['127']
[]	[]	[]	[]	['128']
[]	[]	[]	[]	['129']
[]	[]	[]	[]	['131']
[]	[]	[]	[]	['133']
[]	[]	[]	[]	['134']
[]	[]	[]	[]	['135']
[]	[]	[]	[]	['136']
[]	[]	[]	[]	['137']
[]	[]	[]	[]	['139']
[]	[]	[]	[]	['141']
[]	[]	[]	[]	['143']
[]	[]	[]	[]	['144']
[]	[]	[]	[]	['145']
