system number	system name	organism	gene family	partition	annotation name	gene	start	stop	strand	is_fragment
11	Gabija	GCF_017309445.1_ASM1730944v1	G0027_RS03405	cloud	GajB_1		2578905	2580596	+	False
11	Gabija	GCF_017309445.1_ASM1730944v1	G0027_RS03405	cloud	GajB_2		2578905	2580596	+	False
11	Gabija	GCF_017309445.1_ASM1730944v1	G0027_RS03405	cloud	GajB_3		2578905	2580596	+	False
12	Gao_Hhe	GCF_009734145.1_ASM973414v1	GK020_RS06500	cloud	HheA		1347217	1352601	+	False
13	Gao_TerY	GCF_009734145.1_ASM973414v1	GK020_RS00580	cloud	TerYC		135405	137144	-	False
13	Gao_TerY	GCF_009734145.1_ASM973414v1	GK020_RS00585	cloud	TerYB		137155	137883	-	False
13	Gao_TerY	GCF_009734145.1_ASM973414v1	GK020_RS00590	cloud	TerYA		137883	138716	-	False
14	Kiwa	GCF_017309425.1_ASM1730942v1	J0W32_RS11730	cloud	KwaA		2472644	2473159	+	False
14	Kiwa	GCF_017309425.1_ASM1730942v1	J0W32_RS11735	cloud	KwaB		2473156	2474046	+	False
14	Kiwa	GCF_017309425.1_ASM1730942v1	J0W32_RS11735	cloud	KwaB_2		2473156	2474046	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01770	cloud	LmuA_effector_Mrr		202595	202768	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01780	cloud	LmuA_effector_Mrr		204120	204992	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01780	cloud	LmuA_effector_hypothetical		204120	204992	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01800	cloud	LmuB_SMC_Cap4_nuclease_II		207433	209265	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01800	cloud	LmuB_SMC_hypothetical		207433	209265	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01800	cloud	LmuB_SMC_Sir2		207433	209265	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01800	cloud	LmuB_SMC_Lipase		207433	209265	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01800	cloud	LmuB_SMC_Mrr		207433	209265	+	False
15	Lamassu-Fam	GCF_009914395.1_ASM991439v1	GA646_RS01800	cloud	LmuB_SMC_Cap4_nuclease		207433	209265	+	False
16	RloC	GCF_012278735.1_ASM1227873v1	FK538_RS09520	cloud	RloC		1970894	1972741	-	False
17	RloC	GCF_010917815.1_ASM1091781v1	E5093_RS12685	cloud	RloC		2653671	2656070	-	False
17	RloC	GCF_013378115.1_ASM1337811v1	E5093_RS12685	cloud	RloC		2679732	2682131	-	False
18	RloC	GCF_010917815.1_ASM1091781v1	FSC02_RS05980	cloud	RloC		1242277	1244625	-	False
19	RloC	GCF_013378115.1_ASM1337811v1	E5093_RS10820	cloud	RloC		2278358	2280094	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	CTZ23_RS08365	cloud	cas6f_I_II_III_IV_V_VI_2	cas6f	1739977	1740579	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	CTZ23_RS08365	cloud	cas6f_I_II_III_IV_V_VI_3	cas6f	1739977	1740579	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	CTZ23_RS08370	cloud	cas5_I-F_16	cas5fv	1740589	1741602	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	CTZ23_RS08375	cloud	cas7_I-F_11	cas7fv	1741614	1742603	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	FSC05_RS08245	cloud	cas3HD_I_1		1742605	1745553	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	FSC05_RS08245	cloud	cas3_I_2		1742605	1745553	-	False
2	CAS_Class1-Subtype-I-F	GCF_002953575.2_ASM295357v2	G0030_RS08370	cloud	cas1_I-F_1	cas1f	1745550	1746512	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	CTZ23_RS08365	cloud	cas6f_I_II_III_IV_V_VI_3	cas6f	1724732	1725334	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	CTZ23_RS08365	cloud	cas6f_I_II_III_IV_V_VI_2	cas6f	1724732	1725334	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	FSC05_RS08235	cloud	cas5_I-F_16	cas5fv	1725344	1726375	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	CTZ23_RS08375	cloud	cas7_I-F_11	cas7fv	1726387	1727376	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	FSC05_RS08245	cloud	cas3HD_I_1		1727378	1730326	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	FSC05_RS08245	cloud	cas3_I_2		1727378	1730326	-	False
2	CAS_Class1-Subtype-I-F	GCF_010918195.1_ASM1091819v1	G0030_RS08370	cloud	cas1_I-F_1	cas1f	1730323	1731285	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08345	cloud	cas6f_I_II_III_IV_V_VI_3	cas6f	1776071	1776685	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08345	cloud	cas6f_I_II_III_IV_V_VI_2	cas6f	1776071	1776685	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08345	cloud	cas6f_I_II_III_IV_V_VI_1	cas6f	1776071	1776685	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08350	cloud	cas7f_I-F_1	csy3	1776688	1777701	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08350	cloud	cas7f_I-F_2	csy3	1776688	1777701	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08350	cloud	cas7f_I-F_3	csy3	1776688	1777701	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08355	cloud	cas5f_I-F_3	csy2	1777728	1778612	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08355	cloud	cas5f_I-F_1	csy2	1777728	1778612	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08355	cloud	cas5f_I-F_4	csy2	1777728	1778612	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08355	cloud	cas5f_I-F_2	csy2	1777728	1778612	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08360	cloud	cas8f_I-F_8	csy1	1778612	1779862	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08360	cloud	cas8f_I-F_4	csy1	1778612	1779862	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08365	cloud	cas3f_I-F_1	cas3f	1779874	1783251	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08365	cloud	cas3_I_5	cas3f	1779874	1783251	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08365	cloud	cas3HD_I_1	cas3f	1779874	1783251	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08365	cloud	cas3_I_2	cas3f	1779874	1783251	-	False
2	CAS_Class1-Subtype-I-F	GCF_015218885.1_ASM1521888v1	G0030_RS08370	cloud	cas1_I-F_1	cas1f	1783248	1784210	-	False
20	RloC	GCF_002953575.2_ASM295357v2	CTZ23_RS14265	cloud	RloC		2952874	2955078	+	False
21	AVAST_IV	GCF_002953575.2_ASM295357v2	GA636_RS07435	cloud	Avs4A		857900	861682	+	False
21	AVAST_IV	GCF_009914375.1_ASM991437v1	GA636_RS07435	cloud	Avs4A		1525473	1529255	+	False
21	AVAST_IV	GCF_009914395.1_ASM991439v1	GA636_RS07435	cloud	Avs4A		858381	859103	+	True
21	AVAST_IV	GCF_009914395.1_ASM991439v1	GA636_RS07435	cloud	Avs4A		859087	859332	+	True
21	AVAST_IV	GCF_009914395.1_ASM991439v1	GA636_RS07435	cloud	Avs4A		861834	864701	+	True
22	DRT_2	GCF_015217905.1_ASM1521790v1	G0027_RS03465	cloud	drt2		727200	728600	-	False
23	Old_exonuclease	GCF_017309425.1_ASM1730942v1	J0W32_RS10050	cloud	Old_exonuclease		2131060	2132601	-	False
24	PsyrTA	GCA_010918035.1_ASM1091803v1	J0W32_RS06130	persistent	PsyrT	recG	2396598	2398643	+	False
24	PsyrTA	GCA_010918035.1_ASM1091803v1	FK537_RS09730	persistent	PsyrT		2398630	2399265	+	False
24	PsyrTA	GCA_010918035.1_ASM1091803v1	GA693_RS10295	persistent	PsyrA		2399692	2400285	-	False
24	PsyrTA	GCF_002953575.2_ASM295357v2	GA693_RS10295	persistent	PsyrA		380457	381050	+	False
24	PsyrTA	GCF_002953575.2_ASM295357v2	FK537_RS09730	persistent	PsyrT		381477	382112	-	False
24	PsyrTA	GCF_002953575.2_ASM295357v2	J0W32_RS06130	persistent	PsyrT	recG	382099	384144	-	False
24	PsyrTA	GCF_009296145.1_ASM929614v1	J0W32_RS06130	persistent	PsyrT	recG	2723936	2725981	+	False
24	PsyrTA	GCF_009296145.1_ASM929614v1	FK537_RS09730	persistent	PsyrT		2725968	2726603	+	False
24	PsyrTA	GCF_009296145.1_ASM929614v1	GA693_RS10295	persistent	PsyrA		2727032	2727625	-	False
24	PsyrTA	GCF_009734145.1_ASM973414v1	J0W32_RS06130	persistent	PsyrT	recG	2812717	2814762	+	False
24	PsyrTA	GCF_009734145.1_ASM973414v1	FK537_RS09730	persistent	PsyrT		2814749	2815384	+	False
24	PsyrTA	GCF_009734145.1_ASM973414v1	GA693_RS10295	persistent	PsyrA		2815813	2816406	-	False
24	PsyrTA	GCF_009914375.1_ASM991437v1	GA693_RS10295	persistent	PsyrA		1046373	1046966	+	False
24	PsyrTA	GCF_009914375.1_ASM991437v1	FK537_RS09730	persistent	PsyrT		1047393	1048028	-	False
24	PsyrTA	GCF_009914375.1_ASM991437v1	J0W32_RS06130	persistent	PsyrT	recG	1048015	1050060	-	False
24	PsyrTA	GCF_009914395.1_ASM991439v1	GA693_RS10295	persistent	PsyrA		352692	353285	+	False
24	PsyrTA	GCF_009914395.1_ASM991439v1	FK537_RS09730	persistent	PsyrT		353712	354347	-	False
24	PsyrTA	GCF_009914395.1_ASM991439v1	J0W32_RS06130	persistent	PsyrT	recG	354334	356379	-	False
24	PsyrTA	GCF_009914415.1_ASM991441v1	GA693_RS10295	persistent	PsyrA		437308	437901	+	False
24	PsyrTA	GCF_009914415.1_ASM991441v1	FK537_RS09730	persistent	PsyrT		438328	438963	-	False
24	PsyrTA	GCF_009914415.1_ASM991441v1	J0W32_RS06130	persistent	PsyrT	recG	438950	440995	-	False
24	PsyrTA	GCF_009914435.1_ASM991443v1	GA693_RS10295	persistent	PsyrA		366003	366596	+	False
24	PsyrTA	GCF_009914435.1_ASM991443v1	FK537_RS09730	persistent	PsyrT		367023	367658	-	False
24	PsyrTA	GCF_009914435.1_ASM991443v1	J0W32_RS06130	persistent	PsyrT	recG	367645	369690	-	False
24	PsyrTA	GCF_009914475.1_ASM991447v1	J0W32_RS06130	persistent	PsyrT	recG	2072551	2074596	+	False
24	PsyrTA	GCF_009914475.1_ASM991447v1	FK537_RS09730	persistent	PsyrT	GA693_RS10285	2074583	2075218	+	False
24	PsyrTA	GCF_009914475.1_ASM991447v1	GA693_RS10295	persistent	PsyrA	GA693_RS10295	2075645	2076238	-	False
24	PsyrTA	GCF_010917815.1_ASM1091781v1	J0W32_RS06130	persistent	PsyrT	recG	2790098	2792143	+	False
24	PsyrTA	GCF_010917815.1_ASM1091781v1	FK537_RS09730	persistent	PsyrT		2792130	2792765	+	False
24	PsyrTA	GCF_010917815.1_ASM1091781v1	GA693_RS10295	persistent	PsyrA		2793192	2793785	-	False
24	PsyrTA	GCF_010918195.1_ASM1091819v1	GA693_RS10295	persistent	PsyrA		376212	376805	+	False
24	PsyrTA	GCF_010918195.1_ASM1091819v1	FK537_RS09730	persistent	PsyrT		377232	377867	-	False
24	PsyrTA	GCF_010918195.1_ASM1091819v1	J0W32_RS06130	persistent	PsyrT	recG	377854	379899	-	False
24	PsyrTA	GCF_010918375.1_ASM1091837v1	GA693_RS10295	persistent	PsyrA		339924	340517	+	False
24	PsyrTA	GCF_010918375.1_ASM1091837v1	FK537_RS09730	persistent	PsyrT		340944	341579	-	False
24	PsyrTA	GCF_010918375.1_ASM1091837v1	J0W32_RS06130	persistent	PsyrT	recG	341566	343611	-	False
24	PsyrTA	GCF_012278715.1_ASM1227871v1	GA693_RS10295	persistent	PsyrA		1936830	1937423	+	False
24	PsyrTA	GCF_012278715.1_ASM1227871v1	FK537_RS09730	persistent	PsyrT		1937850	1938485	-	False
24	PsyrTA	GCF_012278715.1_ASM1227871v1	J0W32_RS06130	persistent	PsyrT	recG	1938472	1940517	-	False
24	PsyrTA	GCF_012278735.1_ASM1227873v1	J0W32_RS06130	persistent	PsyrT	recG	2588755	2590800	+	False
24	PsyrTA	GCF_012278735.1_ASM1227873v1	FK537_RS09730	persistent	PsyrT		2590787	2591422	+	False
24	PsyrTA	GCF_012278735.1_ASM1227873v1	GA693_RS10295	persistent	PsyrA		2591851	2592444	-	False
24	PsyrTA	GCF_013378115.1_ASM1337811v1	J0W32_RS06130	persistent	PsyrT	recG	2826457	2828502	+	False
24	PsyrTA	GCF_013378115.1_ASM1337811v1	FK537_RS09730	persistent	PsyrT		2828489	2829124	+	False
24	PsyrTA	GCF_013378115.1_ASM1337811v1	GA693_RS10295	persistent	PsyrA		2829551	2830144	-	False
24	PsyrTA	GCF_015217905.1_ASM1521790v1	GA693_RS10295	persistent	PsyrA		2154644	2155237	+	False
24	PsyrTA	GCF_015217905.1_ASM1521790v1	FK537_RS09730	persistent	PsyrT		2155664	2156299	-	False
24	PsyrTA	GCF_015217905.1_ASM1521790v1	J0W32_RS06130	persistent	PsyrT	recG	2156286	2158331	-	False
24	PsyrTA	GCF_015218885.1_ASM1521888v1	GA693_RS10295	persistent	PsyrA		365246	365839	+	False
24	PsyrTA	GCF_015218885.1_ASM1521888v1	FK537_RS09730	persistent	PsyrT		366266	366901	-	False
24	PsyrTA	GCF_015218885.1_ASM1521888v1	J0W32_RS06130	persistent	PsyrT	recG	366888	368933	-	False
24	PsyrTA	GCF_017132735.1_ASM1713273v1	J0W32_RS06130	persistent	PsyrT	recG	2814771	2816816	+	False
24	PsyrTA	GCF_017132735.1_ASM1713273v1	FK537_RS09730	persistent	PsyrT		2816803	2817438	+	False
24	PsyrTA	GCF_017132735.1_ASM1713273v1	GA693_RS10295	persistent	PsyrA		2817865	2818458	-	False
24	PsyrTA	GCF_017309425.1_ASM1730942v1	J0W32_RS06130	persistent	PsyrT	recG	1284282	1286327	+	False
24	PsyrTA	GCF_017309425.1_ASM1730942v1	FK537_RS09730	persistent	PsyrT		1286314	1286949	+	False
24	PsyrTA	GCF_017309425.1_ASM1730942v1	GA693_RS10295	persistent	PsyrA		1287376	1287969	-	False
24	PsyrTA	GCF_017309445.1_ASM1730944v1	J0W32_RS06130	persistent	PsyrT	recG	1288001	1290046	+	False
24	PsyrTA	GCF_017309445.1_ASM1730944v1	FK537_RS09730	persistent	PsyrT		1290033	1290668	+	False
24	PsyrTA	GCF_017309445.1_ASM1730944v1	GA693_RS10295	persistent	PsyrA		1291095	1291688	-	False
25	PsyrTA	GCF_017132735.1_ASM1713273v1	JYB86_RS06375	cloud	PsyrT		1333764	1335869	+	False
25	PsyrTA	GCF_017132735.1_ASM1713273v1	JYB86_RS06380	cloud	PsyrA		1335872	1337344	+	False
26	Septu	GCF_009914415.1_ASM991441v1	GA693_RS08585	cloud	PtuA_2		797927	799558	+	False
26	Septu	GCF_009914415.1_ASM991441v1	GA693_RS08585	cloud	PtuA		797927	799558	+	False
26	Septu	GCF_009914415.1_ASM991441v1	GA660_RS03815	cloud	PtuB		799558	800490	+	False
26	Septu	GCF_009914415.1_ASM991441v1	GA660_RS03815	cloud	PtuB_2		799558	800490	+	False
26	Septu	GCF_009914475.1_ASM991447v1	GA660_RS03815	cloud	PtuB	GA693_RS08580	1713033	1713965	-	False
26	Septu	GCF_009914475.1_ASM991447v1	GA660_RS03815	cloud	PtuB_2	GA693_RS08580	1713033	1713965	-	False
26	Septu	GCF_009914475.1_ASM991447v1	GA693_RS08585	cloud	PtuA_2	GA693_RS08585	1713965	1715596	-	False
26	Septu	GCF_009914475.1_ASM991447v1	GA693_RS08585	cloud	PtuA	GA693_RS08585	1713965	1715596	-	False
27	Septu	GCF_009914415.1_ASM991441v1	GA660_RS08765	cloud	PtuB		1858407	1859129	-	False
27	Septu	GCF_009914415.1_ASM991441v1	GA660_RS08765	cloud	HNH_TIGR02646		1858407	1859129	-	False
27	Septu	GCF_009914415.1_ASM991441v1	GA660_RS08770	cloud	PtuA		1859133	1860341	-	False
27	Septu	GCF_009914435.1_ASM991443v1	GA660_RS08765	cloud	PtuB		1810310	1811032	-	False
27	Septu	GCF_009914435.1_ASM991443v1	GA660_RS08765	cloud	HNH_TIGR02646		1810310	1811032	-	False
27	Septu	GCF_009914435.1_ASM991443v1	GA660_RS08770	cloud	PtuA		1811036	1811350	-	True
27	Septu	GCF_009914435.1_ASM991443v1	GA660_RS08770	cloud	PtuA		1812615	1813529	-	True
27	Septu	GCF_009914475.1_ASM991447v1	GA660_RS08770	cloud	PtuA	GA693_RS03625	653206	654414	+	False
27	Septu	GCF_009914475.1_ASM991447v1	GA660_RS08765	cloud	PtuB	GA693_RS03630	654418	655140	+	False
27	Septu	GCF_009914475.1_ASM991447v1	GA660_RS08765	cloud	HNH_TIGR02646	GA693_RS03630	654418	655140	+	False
28	ShosTA	GCF_017132735.1_ASM1713273v1	JYB86_RS06375	cloud	ShosT		1333764	1335869	+	False
28	ShosTA	GCF_017132735.1_ASM1713273v1	JYB86_RS06380	cloud	ShosA		1335872	1337344	+	False
29	Wadjet	GCF_002953575.2_ASM295357v2	G0030_RS08375	cloud	JetD_I		1746655	1747440	-	True
29	Wadjet	GCF_002953575.2_ASM295357v2	G0030_RS08375	cloud	JetD_III		1746655	1747440	-	True
29	Wadjet	GCF_002953575.2_ASM295357v2	G0030_RS08375	cloud	JetD_I		1749995	1750132	-	True
29	Wadjet	GCF_002953575.2_ASM295357v2	G0030_RS08375	cloud	JetD_III		1749995	1750132	-	True
29	Wadjet	GCF_002953575.2_ASM295357v2	CTZ23_RS08415	cloud	JetC_I		1750125	1752890	-	False
29	Wadjet	GCF_002953575.2_ASM295357v2	CTZ23_RS08415	cloud	JetC_II		1750125	1752890	-	False
29	Wadjet	GCF_002953575.2_ASM295357v2	CTZ23_RS08415	cloud	JetC_III		1750125	1752890	-	False
29	Wadjet	GCF_002953575.2_ASM295357v2	G0030_RS08385	cloud	JetB_I		1754813	1755628	-	False
29	Wadjet	GCF_002953575.2_ASM295357v2	G0030_RS08390	cloud	JetA_I		1755642	1757102	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	G0030_RS08375	cloud	JetD_I		1784353	1785549	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	G0030_RS08375	cloud	JetD_III		1784353	1785549	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	CTZ23_RS08415	cloud	JetC_I		1785542	1788922	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	CTZ23_RS08415	cloud	JetC_II		1785542	1788922	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	CTZ23_RS08415	cloud	JetC_III		1785542	1788922	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	G0030_RS08385	cloud	JetB_I		1788919	1789734	-	False
29	Wadjet	GCF_015218885.1_ASM1521888v1	G0030_RS08390	cloud	JetA_I		1789748	1791208	-	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00515	cloud	csx1_III_10	csm6	113094	114224	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00515	cloud	csx1_III_20	csm6	113094	114224	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00515	cloud	csx1_III_5	csm6	113094	114224	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00520	cloud	cas10_III-A_1	cas10	114244	116712	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00525	cloud	csm2gr11_III-A_15	csm2	116730	117104	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00525	cloud	csm2gr11_III-A_1	csm2	116730	117104	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm5gr7_III-A_3	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm3gr7_III-A_1	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm4gr5_III-A_1	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm3gr7_III-A_III-D_10	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm3gr7_III-A_III-D_2	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm3gr7_III_1	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00530	cloud	csm5gr7_III-A_2	csm3	117126	117851	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00535	cloud	csm4gr5_III-A_2		117865	118848	+	False
