PUL_ID,PubMed,Characterization_Method,Genomic_Accession,Nucleotide_Position_Range,Substrate,Loci,Species,Degradation_or_Biosynthesis
PUL0023,30519284,"RT-PCR,gene deletion mutant and growth assay,enzyme activity assay",NC_016023.1,-,cellobiose,celRBAXC,Bacillus coagulans/1398,degradation
PUL0024,31915220,"enzyme activity assay,qPCR,carbohydrate binding assay",HE717008.1,-,fructan,CCG34774.1-CCG34784.1,uncultured bacterium/77133,degradation
PUL0025,-,-,-,-,-,-,-,-
PUL0026,31901520,"qPCR,Western Blot,RNA-seq,enzyme activity assay",AE015928.1,-,ribose,BT2802-BT2809,Bacteroides thetaiotaomicron/818,degradation
PUL0027,10352233,"Northern Blot,gene deletion mutant and growth assay",AF027499.1,-,alginate,algGXLIV,Azotobacter vinelandii/354,biosynthesis
PUL0028,24204617,"microarray,qPCR,enzyme activity assay",NZ_AAYG02000020.1,-,mucin,RUMGNA_RS11830-RUMGNA_RS11895,[Ruminococcus] gnavus/33038,degradation
PUL0029,30635377,enzyme activity assay,NC_015067.1,-,arabinogalactan,BLLJ_RS09480-BLLJ_RS09595,Bifidobacterium longum/216816,degradation
PUL0030,29360976,"isothermal calorimetric titration,gene deletion mutant and growth assay,enzyme activity assay",KU644713.1,-,galactomannan,manDREHKCIJBGFA,Bacillus sp. N16-5/122631,degradation
PUL0031,16523284,RNA-seq,NC_004307.2,-,starch,BLO107-cscB-cscA,Bifidobacterium longum/216816,degradation
PUL0032,16523284,RNA-seq,NC_004307.2,-,starch,scrP-BLO537-scrR,Bifidobacterium longum/216816,degradation
PUL0033,12949193,"RT-PCR,yeast two hybrid assay,Southern Blot",AY230005,-,trehalose,AAP55640.1-AAP55641.1-AAP55642.1-treR-treP-treA,Spiroplasma citri/2133,degradation
PUL0034,12730169,enzyme activity assay,CP001655.1,-,pectin,Dd1591_1964-Dd1591_1965,Dickeya chrysanthemi/556,degradation
PUL0035,11555291,"enzyme activity assay,Assay of oligogalacturonide uptake in E. coli",CP001655.1,-,pectin,Dd1591_1966-Dd1591_1970,Dickeya chrysanthemi/556,degradation
PUL0036,-,-,-,-,-,-,-,-
PUL0037,31591266,enzyme activity assay,AE005672.3,-,raffinose,rafSR-aga-rafEFG-gtfA-rafX,Streptococcus pneumoniae/1313,degradation
PUL0038,10741834,"enzyme activity assay,Southern Blot",AF135398.1,-,melibiose,bdtEFG-bgaT-agaT-galT-glpK-glpD,Thermus brockianus/56956,degradation
PUL0039,10741834,"enzyme activity assay,Southern Blot",AF135399.1,-,melibiose,aidB-agaT-galT,Thermus thermophilus/274,degradation
PUL0040,1398087,"Northern Blot,enzyme activity assay",AF316823,-,cellulose,cipC-cel48F-cel8C-cel9G-cel9E-orfX-cel9H-cel9J-man5K-cel9M,Ruminiclostridium cellulolyticum/1521,degradation
PUL0041,9023916,"Southern Blot,enzyme activity assay",U61727,-,cellobiose,casRAB,Klebsiella oxytoca/571,degradation
PUL0042,30054816,RT-PCR,CP001340.1,-,starch,SucABCD,Caulobacter vibrioides/155892,degradation
PUL0043,-,-,-,-,-,-,-,-
PUL0044,32266006,"qRT-PCR,enzyme activity assay",AAXF02000051.1,-,arabinoxylan,bacova_03417-bacova_03450,Bacteroides ovatus/28116,degradation
PUL0045,26112186,qRT-PCR,DS264583.1,-,arabinoxylan,bacova_04385-bacova_04394,Bacteroides ovatus/28116,degradation
PUL0046,-,-,-,-,-,-,-,-
PUL0047,-,-,-,-,-,-,-,-
PUL0048,29632089,RNA-seq,NC_004350.2,-,trehalose,SMU_2037-SMU_2040,Streptococcus mutans/1309,degradation
PUL0049,29601586,fosmid library screen,LT796702,-,beta-glucan,SJX74171.1-SJX74199.1,feces metagenome/1861841,degradation
PUL0050,29601586,fosmid library screen,LT796703,-,cellulose,SJX74200.1-SJX74219.1,feces metagenome/1861841,degradation
PUL0051,29795267,"sequence homology analysis,NMR,size-exclusion chromatography (SEC),clone and expression,recombinant protein expression,enzyme kinetic analysis",CP002534.1,-,alginate,Celly_0292-Celly_0297,Cellulophaga lytica/979,degradation
PUL0052,29795267,"sequence homology analysis,NMR,size-exclusion chromatography (SEC),clone and expression,recombinant protein expression,enzyme kinetic analysis",CP000449.1,-,alginate,Mmar10_0253-Mmar10_0261,Maricaulis maris/74318,degradation
PUL0053,29795267,"sequence homology analysis,NMR,size-exclusion chromatography (SEC),clone and expression,recombinant protein expression,enzyme kinetic analysis",AM743169.1,-,alginate,Smlt2598-Smlt2605,Stenotrophomonas maltophilia/40324,degradation
PUL0054,29795267,"sequence homology analysis,NMR,size-exclusion chromatography (SEC),clone and expression,recombinant protein expression,enzyme kinetic analysis",CP003873.1,-,alginate,AMBAS45_04385-AMBAS45_04425,Alteromonas macleodii/28108,degradation
PUL0055,29795267,"sequence homology analysis,NMR,size-exclusion chromatography (SEC),clone and expression,recombinant protein expression,enzyme kinetic analysis",GL945092.1,-,alginate,HMPREF0127_01346-HMPREF0127_01352,Bacteroides sp. 1_1_30/457387,degradation
PUL0056,29795267,"sequence homology analysis,NMR,size-exclusion chromatography (SEC),clone and expression,recombinant protein expression,enzyme kinetic analysis",NZ_DS995511.1,-,alginate,BACEGG_RS14715-BACEGG_RS14735,Bacteroides eggerthii/28111,degradation
PUL0057,-,-,-,-,-,-,-,-
PUL0058,8145641,enzyme activity assay,Z25795.1,-,glycogen,glgBCDAP,Bacillus subtilis/1423,biosynthesis
PUL0059,-,-,-,-,-,-,-,-
PUL0060,-,-,-,-,-,-,-,-
PUL0061,-,-,-,-,-,-,-,-
PUL0062,-,-,-,-,-,-,-,-
PUL0063,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzyme product analysis,affinity gel electrophoresis,isothermal titration calorimetry (ITC)",DS264579.1,-,xyloglucan,BACOVA_02644-BACOVA_02659,Bacteroides ovatus/28116,degradation
PUL0064,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzyme product analysis,affinity gel electrophoresis,isothermal titration calorimetry (ITC)",EQ973490.1,-,xyloglucan,BACCELL_02625-BACCELL_02636,Bacteroides cellulosilyticus/246787,degradation
PUL0065,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzyme product analysis,affinity gel electrophoresis,isothermal titration calorimetry (ITC)",DS362223.1,-,xyloglucan,BACUNI_00315-BACUNI_00326,Bacteroides uniformis/820,degradation
PUL0066,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzyme product analysis,affinity gel electrophoresis,isothermal titration calorimetry (ITC)",GL882630.1,-,xyloglucan,HMPREF9446_01788-HMPREF9446_01800,Bacteroides fluxus/626930,degradation
PUL0067,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzyme product analysis,affinity gel electrophoresis,isothermal titration calorimetry (ITC)",GL891979.1,-,xyloglucan,HMPREF9455_00294-HMPREF9455_00304,Dysgonomonas gadei/156974,degradation
PUL0068,8277949,"enzyme activity assay,electrophoretic mobility shift assay",AM886293.1,-,raffinose,rafRABD,Escherichia coli/562,degradation
PUL0069,-,-,-,-,-,-,-,-
PUL0070,-,-,-,-,-,-,-,-
PUL0071,-,-,-,-,-,-,-,-
PUL0072,-,-,-,-,-,-,-,-
PUL0073,-,-,-,-,-,-,-,-
PUL0074,-,-,-,-,-,-,-,-
PUL0075,-,-,-,-,-,-,-,-
PUL0076,-,-,-,-,-,-,-,-
PUL0077,-,-,-,-,-,-,-,-
PUL0078,8920183,enzyme activity assay,L18965.1,-,xylan,ORF1-ORF2-xylR-xynA-ORF5-ORF6,Caldicellulosiruptor sp. Rt8B.4/28238,degradation
PUL0079,-,-,-,-,-,-,-,-
PUL0080,-,-,-,-,-,-,-,-
PUL0081,31133029,"qRT-PCR,microarray",BA000032.2,-,pectin,VPA0076-VPA0088,Vibrio parahaemolyticus/670,degradation
PUL0082,31138628,"electrophoretic mobility shift assay,enzyme activity assay",SIWZ01000001.1,-,melibiose,ytaP-msmR-memE-amyD-amyC-melA,Bacillus subtilis/1423,degradation
PUL0083,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000019.1,-,cellulose,cpap_0250-0261,Ruminiclostridium papyrosolvens/29362,degradation
PUL0084,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000002.1,-,cellulose,cpap_3302-cpap_3314,Ruminiclostridium papyrosolvens/29362,degradation
PUL0085,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000019.1,-,beta-glucan,cpap_0272-0274,Ruminiclostridium papyrosolvens/29362,degradation
PUL0086,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000002.1,-,pectin,cpap_3318-3320,Ruminiclostridium papyrosolvens/29362,degradation
PUL0087,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000007.1,-,cellulose,cpap_1693-1694,Ruminiclostridium papyrosolvens/29362,degradation
PUL0088,8764489,Southern Blot,M77351.1,-,raffinose,msmR-aga-msmEFG-gtfA-memK-dexB,Streptococcus mutans/1309,degradation
PUL0089,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000001.1,-,cellulose,cpap_3849-3850,Ruminiclostridium papyrosolvens/29362,degradation
PUL0090,-,-,-,-,-,-,-,-
PUL0091,31275257,sequence homology analysis,CP000139.1,-,host glycan,BVU_4133-BVU_4140,Phocaeicola vulgatus/821,degradation
PUL0092,31275257,sequence homology analysis,CP000139.1,-,host glycan,BVU_4138-BVU_4147,Phocaeicola vulgatus/821,degradation
PUL0093,31275257,"fosmid library screen,lectin binding assay",LR131278.1,-,host glycan,VDS02490.1-VDS02513.1,uncultured bacterium/77133,degradation
PUL0094,31275257,"fosmid library screen,lectin binding assay",LR131279.1,-,host glycan,VDS02515.1-VDS02538.1,uncultured bacterium/77133,degradation
PUL0095,31275257,"fosmid library screen,lectin binding assay",LR131281.1,-,host glycan,VDS02568.1-VDS02583.1,uncultured bacterium/77133,degradation
PUL0096,31275257,"fosmid library screen,lectin binding assay",LR131286.1,-,host glycan,VDS02706.1-VDS02727.1,uncultured bacterium/77133,degradation
PUL0097,31275257,sequence homology analysis,NZ_KB905472.1,-,host glycan,None,Bacteroides massiliensis/204516,degradation
PUL0098,31275257,sequence homology analysis,NZ_DS990126.1,-,host glycan,None,Bacteroides plebeius/310297,degradation
PUL0099,30796211,"RNA-seq,substrate binding assay,enzyme activity assay,mass spectrometry",NZ_GG692727.1,-,beta-mannan,ROSINTL182_RS11930-ROSINTL182_RS11940,Roseburia intestinalis/166486,degradation
PUL0100,9405618,"transposon mutagenesis,growth assay",NZ_CP027060.1,-,chitin,chbBCARFG,Escherichia coli/562,degradation
PUL0101,31275257,sequence homology analysis,NZ_DS990126.1,-,host glycan,BACPLE_RS06865-BACPLE_RS06955,Bacteroides plebeius/310297,degradation
PUL0102,31275257,"fosmid library screen,lectin binding assay",LR131274.1,-,host glycan,VDS02385.1-VDS02409.1,uncultured bacterium/77133,degradation
PUL0103,31275257,"fosmid library screen,lectin binding assay",LR131282.1,-,host glycan,VDS02584.1-VDS02614.1,uncultured bacterium/77133,degradation
PUL0104,31275257,"fosmid library screen,lectin binding assay",LR131283.1,-,host glycan,VDS02615.1-VDS02647.1,uncultured bacterium/77133,degradation
PUL0105,31275257,"fosmid library screen,lectin binding assay",LR131284.1,-,host glycan,VDS02648.1-VDS02683.1,uncultured bacterium/77133,degradation
PUL0106,31275257,"fosmid library screen,lectin binding assay",LR131285.1,-,host glycan,VDS02684.1-VDS02705.1,uncultured bacterium/77133,degradation
PUL0107,31275257,"fosmid library screen,lectin binding assay",LR131275.1,-,host glycan,VDS02410.1-VDS02435.1,uncultured bacterium/77133,degradation
PUL0108,31275257,sequence homology analysis,NZ_NFHS01000001.1,-,host glycan,B5G17_RS02980-B5G17_RS03130,Bacteroides uniformis/820,degradation
PUL0109,31275257,"fosmid library screen,lectin binding assay",LR131277.1,-,host glycan,VDS02463.1-VDS02489.1,uncultured bacterium/77133,degradation
PUL0110,31275257,"fosmid library screen,lectin binding assay",LR131280.1,-,host glycan,VDS02539.1-VDS02566.1,uncultured bacterium/77133,degradation
PUL0111,9642246,"enzyme activity assay,Northern Blot,transport assay",U00096.3,-,melibiose,melRAB,Escherichia coli/562,degradation
PUL0112,31275257,"fosmid library screen,lectin binding assay",LR131276.1,-,host glycan,VDS02437.1-VDS02461.1,uncultured bacterium/77133,degradation
PUL0113,31275257,sequence homology analysis,NZ_GG697150.2,-,host glycan,FAEPRAA2165_RS04780-FAEPRAA2165_RS04885,Faecalibacterium prausnitzii/853,degradation
PUL0114,31198441,"recombinant protein expression,enzyme activity assay",CP001348.1,-,arabinan,Ccel_1229-Ccel_1242,Ruminiclostridium cellulolyticum/1521,degradation
PUL0115,31160824,"expression of recombinant proteins,RNA-seq,differential gene expression",AE015928.1,-,host glycan,BT_0455-BT_0461,Bacteroides thetaiotaomicron/818,degradation
PUL0116,31160824,"expression of recombinant proteins,RNA-seq,differential gene expression",AE015928.1,-,host glycan,BT_0506-BT_0507,Bacteroides thetaiotaomicron/818,degradation
PUL0117,23943617,"expression of recombinant proteins,RNA-seq,differential gene expression,enzyme specificity assay,enzyme activity assay",AE015928.1,-,host glycan,BT_1032-BT_1053,Bacteroides thetaiotaomicron/818,degradation
PUL0118,32265336,"qRT-PCR,affinity gel electrophoresis,isothermal titration calorimetry (ITC)",NZ_DS362241.1,-,beta-glucan,BACUNI_RS07655-BACUNI_RS07685,Bacteroides uniformis/820,degradation
PUL0119,-,-,-,-,-,-,-,-
PUL0120,31160824,"expression of recombinant proteins,RNA-seq,differential gene expression",AE015928.1,-,host glycan,BT_4402-BT_4407,Bacteroides thetaiotaomicron/818,degradation
PUL0121,-,-,-,-,-,-,-,-
PUL0122,9741105,enzyme activity assay,NC_023151.1,-,alpha-galactan,THEMA_RS08275-THEMA_RS08300,Thermotoga maritima/2336,degradation
PUL0123,-,-,-,-,-,-,-,-
PUL0124,-,-,-,-,-,-,-,-
PUL0125,-,-,-,-,-,-,-,-
PUL0126,30936857,"growth assay,sequence homology analysis",LR136958.1,-,alginate,ALT761_01682-ALT761_01689,Alteromonas sp. 76-1/2358187,degradation
PUL0127,30936857,"growth assay,sequence homology analysis",LR136958.1,-,alginate,ALT761_03413-ALT761_03424,Alteromonas sp. 76-1/2358187,degradation
PUL0128,-,-,-,-,-,-,-,-
PUL0129,30356154,enzyme activity assay,Ga0139390_150,-,beta-mannan,2703759865_27-2703759865_38,gut metagenome/749906,degradation
PUL0130,-,-,-,-,-,-,-,-
PUL0131,-,-,-,-,-,-,-,-
PUL0132,28983288,"enzyme activity assay,microarray",FP476056.1,-,beta-glucan,ZOBELLIA_208-ZOBELLIA_215,Zobellia galactanivorans/63186,degradation
PUL0133,-,-,-,-,-,-,-,-
PUL0134,-,-,-,-,-,-,-,-
PUL0135,30341080,"enzyme activity assay,carbohydrate binding assay",MH687413,-,pectin,None,Pseudoalteromonas sp./53249,degradation
PUL0136,30341080,sequence homology analysis,ADOP01000016,-,pectin,PH505_ap00420-PH505_ap00680,Pseudoalteromonas haloplanktis/228,degradation
PUL0137,30306201,sequence homology analysis,CP028460,-,galactan,CNCMI4602_0490-CNCMI4602_0492,Bifidobacterium animalis subsp. animalis/302912,degradation
PUL0138,30306201,sequence homology analysis,CP028460,-,raffinose,CNCMI4602_1521-CNCMI4602_1527,Bifidobacterium animalis subsp. animalis/302912,degradation
PUL0139,30306201,sequence homology analysis,CP028460,-,arabinan,CNCMI4602_0058-CNCMI4602_0069,Bifidobacterium animalis subsp. animalis/302912,degradation
PUL0140,30306201,sequence homology analysis,CP028460,-,xylan,CNCMI4602_0516-CNCMI4602_0526,Bifidobacterium animalis subsp. animalis/302912,degradation
PUL0141,30306201,sequence homology analysis,CP028460,-,starch,CNCMI4602_0135-CNCMI4602_0138,Bifidobacterium animalis subsp. animalis/302912,degradation
PUL0142,30306201,sequence homology analysis,CP028460,-,starch,CNCMI4602_1497-CNCMI4602_1502,Bifidobacterium animalis subsp. animalis/302912,degradation
PUL0143,-,-,-,-,-,-,-,-
PUL0144,16199574,"enzyme activity assay,Western Blot",AP006878.1,-,chitin,TK1754-TK1765,Thermococcus kodakarensis/311400,degradation
PUL0145,-,-,-,-,-,-,-,-
PUL0146,30524390,sequence homology analysis,CP000388.1,-,carrageenan,PATL_RS04485-PATL_RS04595,Pseudoalteromonas atlantica/288,degradation
PUL0147,30524390,sequence homology analysis,NZ_LT965930.1,-,carrageenan,PCAR9_RS20140-PCAR9_RS20290,Pseudoalteromonas carrageenovora/227,degradation
PUL0148,30524390,sequence homology analysis,FP476056.1,-,carrageenan,ZOBELLIA_3145-ZOBELLIA_3159,Zobellia galactanivorans/63186,degradation
PUL0149,30524390,sequence homology analysis,FP476056.1,-,carrageenan,ZOBELLIA_2194-ZOBELLIA_2203,Zobellia galactanivorans/63186,degradation
PUL0150,30524390,sequence homology analysis,LT965928.1,-,alginate,PCAR9_a20869-PCAR9_a20882,Pseudoalteromonas carrageenovora/227,degradation
PUL0151,32585009,"sequence homology analysis,Northern Blot,RT-qPCR,electrophoretic mobility shift assay,clone and expression,gene deletion mutant and growth assay",FP476056.1,-,alginate,ZOBELLIA_2613-ZOBELLIA_2624,Zobellia galactanivorans/63186,degradation
PUL0152,30524390,sequence homology analysis,CP000388.1,-,alginate,PATL_RS18725-PATL_RS18760,Pseudoalteromonas atlantica/288,degradation
PUL0153,30332787,RNA-seq,MSTC01000081.1,-,human milk oligosaccharide,BVG98_13950-BVG98_13965,Lactobacillus rhamnosus/47715,degradation
PUL0154,30332787,"RNA-seq,differential gene expression",MSTC01000063.1,-,human milk oligosaccharide,BVG98_10115-BVG98_10130,Lactobacillus rhamnosus/47715,degradation
PUL0155,16545947,enzyme activity assay,AE007870.2,-,alginate,atu3019-atu3026,Agrobacterium fabrum/1176649,degradation
PUL0156,30332787,"RNA-seq,differential gene expression",MSTC01000055.1,-,human milk oligosaccharide,BVG98_07735-BVG98_07740,Lactobacillus rhamnosus/47715,degradation
PUL0157,30332787,"RNA-seq,differential gene expression",MSTB01000008.1,-,human milk oligosaccharide,BT102_01370-BT102_01385,Lactobacillus rhamnosus/47715,degradation
PUL0158,30332787,"RNA-seq,differential gene expression",NC_013199.1,-,human milk oligosaccharide,Lc705_RS01460-Lc705_RS01475,Lactobacillus rhamnosus/47715,degradation
PUL0159,30332787,"RNA-seq,differential gene expression",FM179324.1,-,human milk oligosaccharide,Lc705_p00049-Lc705_p00050,Lactobacillus rhamnosus/47715,degradation
PUL0160,30246424,"mass spectrometry,sequence homology analysis",NZ_JQNQ01000001.1,-,alpha-mannan,FG27_RS08030-FG27_RS08170,Salegentibacter sp. Hel_I_6/1250278,degradation
PUL0161,18996345,"mass spectrometry,sequence homology analysis,gene deletion mutant and growth assay,microarray,qPCR",NC_004663.1,-,alpha-mannan,BT_2620-BT_2648,Bacteroides thetaiotaomicron/818,degradation
PUL0162,18996345,"mass spectrometry,sequence homology analysis",NC_004663.1,-,alpha-mannan,BT_3853-BT_3865,Bacteroides thetaiotaomicron/818,degradation
PUL0163,18996345,"mass spectrometry,sequence homology analysis,microarray,qPCR",NC_004663.1,-,alpha-mannan,BT_3773-BT_3793,Bacteroides thetaiotaomicron/818,degradation
PUL0164,30246424,"mass spectrometry,sequence homology analysis,differential gene expression",NZ_JHZY01000004.1,-,beta-mannan,P164_RS15845-P164_RS15935,Leeuwenhoekiella sp. MAR_2009_132/1392489,degradation
PUL0165,30246424,"mass spectrometry,sequence homology analysis,differential gene expression",NZ_JQNQ01000001.1,-,beta-mannan,FG27_RS09925-FG27_RS10000,Salegentibacter sp. Hel_I_6/1250278,degradation
PUL0166,16788175,"enzyme activity assay,RT-PCR",NC_016776.1,-,starch,BF638R_RS15150-BF638R_RS15170,Bacteroides fragilis/817,degradation
PUL0167,30246424,"mass spectrometry,sequence homology analysis",AAXF02000047.1,-,beta-mannan,BACOVA_02087-BACOVA_02097,Bacteroides ovatus/28116,degradation
PUL0168,30099846,gene deletion mutant and growth assay,AE005176,-,galactose,L36511-L48789,Lactococcus lactis subsp. lactis/1360,degradation
PUL0169,30092047,"enzyme activity assay,qRT-PCR",AM039952.1,-,arabinan,XCV2724-XCV2729,Xanthomonas euvesicatoria/456327,degradation
PUL0170,-,-,-,-,-,-,-,-
PUL0171,27353652,"qRT-PCR,RNA-seq",FQ312004.1,-,host glycan,BF638R_3437-BF638R_3443,Bacteroides fragilis/817,degradation
PUL0172,-,-,-,-,-,-,-,-
PUL0173,-,-,-,-,-,-,-,-
PUL0174,27302067,"RT-PCR,enzyme activity assay,enzymatic product analysis",CP001736.1,-,starch,Kfla_4051-Kfla_4053,Kribbella flavida/182640,degradation
PUL0175,16842369,enzyme activity assay,AY526725.1,-,galactomannan,unkA-epiA-aga27A,Cellvibrio mixtus/39650,degradation
PUL0176,27302067,"RT-PCR,enzyme activity assay,enzymatic product analysis",CP001736.1,-,starch,Kfla_1895-Kfla_1900,Kribbella flavida/182640,degradation
PUL0177,-,-,-,-,-,-,-,-
PUL0178,22205877,"enzyme activity assay,enzyme specificity assay,substrate specificity assay",AAXF02000047.1,-,galactomannan,BACOVA_02085-BACOVA_02098,Bacteroides ovatus/28116,degradation
PUL0179,27288925,"enzyme activity assay,enzyme specificity assay,substrate specificity assay",JH724241.1,-,galactomannan,HMPREF1070_00547-HMPREF1070_00560,Bacteroides ovatus/28116,degradation
PUL0180,21539815,enzyme activity assay,CR626927.1,-,galactomannan,BF9343_0759-BF9343_0777,Bacteroides fragilis/817,degradation
PUL0181,-,-,-,-,-,-,-,-
PUL0182,-,-,-,-,-,-,-,-
PUL0183,-,-,-,-,-,-,-,-
PUL0184,-,-,-,-,-,-,-,-
PUL0185,-,-,-,-,-,-,-,-
PUL0186,17028271,gene deletion mutant and growth assay,AE007317.1,-,cellobiose,spr0276-spr0282,Streptococcus pneumoniae/1313,degradation
PUL0187,26746717,"qRT-PCR,enzyme activity assay",NC_012914.1,-,beta-glucan,PJDR2_RS04870-PJDR2_RS4900,Paenibacillus sp. JDR-2/324057,degradation
PUL0188,-,-,-,-,-,-,-,-
PUL0189,26920945,"RNA-seq,RT-PCR,qPCR",FP929033.1,-,pectin,BXY_06320-BXY_06540,Bacteroides xylanisolvens/371601,degradation
PUL0190,26920945,"RNA-seq,RT-PCR,qPCR",FP929033.1,-,pectin,BXY_15570-BXY_15720,Bacteroides xylanisolvens/371601,degradation
PUL0191,26920945,"RNA-seq,RT-PCR,qPCR",FP929033.1,-,pectin,BXY_31910-BXY_32010,Bacteroides xylanisolvens/371601,degradation
PUL0192,26920945,"RNA-seq,RT-PCR,qPCR",FP929033.1,-,pectin,BXY_32120-BXY_32390,Bacteroides xylanisolvens/371601,degradation
PUL0193,26920945,"RNA-seq,RT-PCR,qPCR",FP929033.1,-,pectin,BXY_32430-BXY_32730,Bacteroides xylanisolvens/371601,degradation
PUL0194,28056108,"enzyme activity assay,gene deletion mutant and growth assay",AE005672.3,-,host glycan,SP_2141-SP_2146,Streptococcus pneumoniae/1313,degradation
PUL0195,26691835,RT-PCR,NC_003030.1,-,cellobiose,CA_C0382-CA_C0386; CelRCA-bglB-celC,Clostridium acetobutylicum/1488,degradation
PUL0196,26546429,enzyme activity assay,NC_010999.1,-,human milk oligosaccharide,LCABL_RS01420-LCABL_RS01465,Lactobacillus casei/1582,degradation
PUL0197,17233733,gene deletion mutant and growth assay,NC_004350.2,-,starch,SMU_1564-SMU_1571,Streptococcus mutans/1309,degradation
PUL0198,-,-,-,-,-,-,-,-
PUL0199,26458373,"enzyme activity assay,liquid chromatography and mass spectrometry",NC_007912.1,-,alginate,SDE_RS17125-SDE_RS17210,Saccharophagus degradans/86304,degradation
PUL0200,-,-,-,-,-,-,-,-
PUL0201,-,-,-,-,-,-,-,-
PUL0202,-,-,-,-,-,-,-,-
PUL0203,-,-,-,-,-,-,-,-
PUL0204,18996345,"qPCR,thin-layer chromatography,substrate binding assay",NC_004663.1,-,starch,BT_3698-BT_3704,Bacteroides thetaiotaomicron/818,degradation
PUL0205,25841008,"qPCR,thin-layer chromatography,substrate binding assay",NC_004663.1,-,dextran,BT_3085-BT_3090,Bacteroides thetaiotaomicron/818,degradation
PUL0206,-,-,-,-,-,-,-,-
