PUL_ID,Gene_Name,Locus_Tag,Protein_ID,Protein_Link,Gene_Position,GenBank_Contig,Contig_Link,EC_Number
PUL0005,-,LIN_RS09480,WP_010990982.1,,0 - 3261 (-),NC_003212.1:1844298-1847559,,-
PUL0005,-,LIN_RS09485,WP_010990983.1,,3257 - 5429 (-),NC_003212.1:1847555-1849727,,-
PUL0006,gan1D,-,AHL67640.1,,0 - 1437 (+),KF840174.1:236-1673,,3.2.1.85
PUL0006,ganR2,-,AHL67641.1,,1442 - 2198 (-),KF840174.1:1678-2434,,-
PUL0006,gan4C,-,AHL67642.1,,2322 - 3666 (+),KF840174.1:2558-3902,,3.2.1.86
PUL0006,-,-,AHL67643.1,,3879 - 4746 (+),KF840174.1:4115-4982,,-
PUL0006,ganP,-,AHL67644.1,,4965 - 5979 (+),KF840174.1:5201-6215,,-
PUL0006,ganS,-,AHL67645.1,,6141 - 7611 (+),KF840174.1:6377-7847,,-
PUL0006,ganT,-,AHL67646.1,,7588 - 9130 (+),KF840174.1:7824-9366,,-
PUL0006,ganE2,-,AHL67647.1,,9444 - 10743 (+),KF840174.1:9680-10979,,-
PUL0006,ganF2,-,AHL67648.1,,10804 - 11776 (+),KF840174.1:11040-12012,,-
PUL0006,ganG2,-,AHL67649.1,,11775 - 12597 (+),KF840174.1:12011-12833,,-
PUL0006,frk,-,AHL67650.1,,12759 - 13632 (+),KF840174.1:12995-13868,,-
PUL0007,-,LEKG_1953,CUR64540.1,,0 - 129 (-),LN890332.1:5399-5528,,-
PUL0007,galK2,LEKG_1954,CUR64541.1,,228 - 1419 (-),LN890332.1:5627-6818,,-
PUL0007,galE2,LEKG_1955,CUR64542.1,,1441 - 2446 (-),LN890332.1:6840-7845,,-
PUL0007,galT2,LEKG_1956,CUR64543.1,,2452 - 3961 (-),LN890332.1:7851-9360,,-
PUL0007,ganB,LEKG_1957,CUR64544.1,,4086 - 5325 (-),LN890332.1:9485-10724,,-
PUL0007,lacS2,LEKG_1958,CUR64545.1,,5346 - 7266 (-),LN890332.1:10745-12665,,-
PUL0007,ganA,LEKG_1959,CUR64546.1,,7281 - 9333 (-),LN890332.1:12680-14732,,-
PUL0007,ganR,LEKG_1960,CUR64547.1,,9545 - 10559 (+),LN890332.1:14944-15958,,-
PUL0008,-,BT_RS08890,WP_072067389.1,,0 - 2763 (-),NC_004663.1:2164759-2167522,,-
PUL0008,-,BT_RS08895,WP_011107963.1,,3086 - 4313 (-),NC_004663.1:2167845-2169072,,-
PUL0008,-,BT_RS08900,WP_005941495.1,,4690 - 5686 (+),NC_004663.1:2169449-2170445,,-
PUL0008,-,BT_RS08905,WP_008767783.1,,5871 - 6759 (-),NC_004663.1:2170630-2171518,,-
PUL0008,-,BT_RS08910,WP_008763289.1,,6793 - 7963 (-),NC_004663.1:2171552-2172722,,-
PUL0008,-,BT_RS08915,WP_008767782.1,,8242 - 10075 (-),NC_004663.1:2173001-2174834,,-
PUL0008,-,BT_RS08920,WP_032841481.1,,10204 - 11773 (-),NC_004663.1:2174963-2176532,,-
PUL0008,-,BT_RS08925,WP_008763287.1,,11791 - 13177 (-),NC_004663.1:2176550-2177936,,-
PUL0008,-,BT_RS08930,WP_008767780.1,,13203 - 14916 (-),NC_004663.1:2177962-2179675,,-
PUL0008,-,BT_RS08935,WP_011107964.1,,14943 - 18069 (-),NC_004663.1:2179702-2182828,,-
PUL0008,-,BT_RS08940,WP_008767778.1,,18368 - 19241 (+),NC_004663.1:2183127-2184000,,-
PUL0008,-,BT_RS08945,WP_011107965.1,,19445 - 21329 (-),NC_004663.1:2184204-2186088,,-
PUL0009,-,SMON_RS00570,WP_012858165.1,,0 - 4 (+),NC_013515.1:121344-121348,,-
PUL0009,-,SMON_RS00575,WP_012858166.1,,0 - 942 (+),NC_013515.1:121344-122286,,-
PUL0009,eda,SMON_RS00580,WP_041794192.1,,952 - 1600 (+),NC_013515.1:122296-122944,,"4.1.2.14, 4.1.3.16"
PUL0009,-,SMON_RS00585,WP_012858168.1,,1648 - 3505 (+),NC_013515.1:122992-124849,,4.2.2.1
PUL0009,kduD,SMON_RS00590,WP_041794195.1,,3518 - 4268 (+),NC_013515.1:124862-125612,,1.1.1.127
PUL0009,kduI,SMON_RS00595,WP_012858170.1,,4286 - 5123 (+),NC_013515.1:125630-126467,,5.3.1.17
PUL0009,ugpC,SMON_RS00600,WP_012858171.1,,5133 - 6234 (+),NC_013515.1:126477-127578,,-
PUL0009,-,SMON_RS00605,WP_012858172.1,,6243 - 7140 (+),NC_013515.1:127587-128484,,-
PUL0009,-,SMON_RS00610,WP_012858173.1,,7149 - 8028 (+),NC_013515.1:128493-129372,,-
PUL0009,-,SMON_RS00615,WP_012858174.1,,8054 - 9572 (+),NC_013515.1:129398-130916,,-
PUL0009,-,SMON_RS00620,WP_041793794.1,,9616 - 11413 (+),NC_013515.1:130960-132757,,-
PUL0009,-,SMON_RS00625,WP_012858176.1,,11409 - 13629 (+),NC_013515.1:132753-134973,,-
PUL0009,-,SMON_RS00630,WP_012858177.1,,13641 - 15045 (+),NC_013515.1:134985-136389,,-
PUL0009,-,SMON_RS00635,WP_012858178.1,,15058 - 16243 (+),NC_013515.1:136402-137587,,-
PUL0009,-,SMON_RS00640,WP_012858179.1,,16252 - 18331 (+),NC_013515.1:137596-139675,,-
PUL0010,xylB,GTNG_RS09195,WP_011887509.1,,0 - 1500 (-),NC_009328.1:1855422-1856922,,2.7.1.17
PUL0010,xylA,GTNG_RS09200,WP_008880082.1,,1514 - 2852 (-),NC_009328.1:1856936-1858274,,5.3.1.5
PUL0010,-,GTNG_RS09205,WP_008880081.1,,2950 - 4558 (-),NC_009328.1:1858372-1859980,,-
PUL0010,-,GTNG_RS09210,WP_008880080.1,,5003 - 5666 (-),NC_009328.1:1860425-1861088,,-
PUL0010,-,GTNG_RS09215,WP_008880079.1,,5688 - 6483 (-),NC_009328.1:1861110-1861905,,-
PUL0010,-,GTNG_RS09220,WP_008880078.1,,6999 - 8223 (+),NC_009328.1:1862421-1863645,,-
PUL0010,-,GTNG_RS09225,WP_008880077.1,,8426 - 9068 (-),NC_009328.1:1863848-1864490,,-
PUL0010,-,GTNG_RS09230,WP_011887510.1,,9147 - 9993 (-),NC_009328.1:1864569-1865415,,-
PUL0010,uxuA,GTNG_RS09235,WP_008880075.1,,9968 - 11084 (-),NC_009328.1:1865390-1866506,,4.2.1.8
PUL0010,uxaC,GTNG_RS09240,WP_008880074.1,,11104 - 12508 (-),NC_009328.1:1866526-1867930,,5.3.1.12
PUL0010,-,GTNG_RS09245,WP_011887511.1,,12549 - 13248 (-),NC_009328.1:1867971-1868670,,-
PUL0010,-,GTNG_RS09250,WP_008880072.1,,13365 - 14016 (-),NC_009328.1:1868787-1869438,,-
PUL0010,-,GTNG_RS09255,WP_008880071.1,,14033 - 14987 (-),NC_009328.1:1869455-1870409,,-
PUL0010,-,GTNG_RS09260,WP_008880070.1,,15019 - 16540 (-),NC_009328.1:1870441-1871962,,-
PUL0010,-,GTNG_RS09265,WP_011887512.1,,16556 - 18611 (-),NC_009328.1:1871978-1874033,,-
PUL0010,-,GTNG_RS09270,WP_011887513.1,,18626 - 19517 (-),NC_009328.1:1874048-1874939,,-
PUL0010,-,GTNG_RS09275,WP_011887514.1,,19531 - 20482 (-),NC_009328.1:1874953-1875904,,-
PUL0010,-,GTNG_RS09280,WP_011887515.1,,20612 - 22256 (-),NC_009328.1:1876034-1877678,,-
PUL0010,-,GTNG_RS09285,WP_081157505.1,,22804 - 23800 (-),NC_009328.1:1878226-1879222,,-
PUL0010,-,GTNG_RS09290,WP_011887517.1,,23802 - 25920 (-),NC_009328.1:1879224-1881342,,-
PUL0010,-,GTNG_RS09295,WP_008880061.1,,26030 - 26657 (-),NC_009328.1:1881452-1882079,,-
PUL0010,-,GTNG_RS09300,WP_008880060.1,,26670 - 27720 (-),NC_009328.1:1882092-1883142,,-
PUL0010,-,GTNG_RS09305,WP_008880059.1,,27935 - 28802 (-),NC_009328.1:1883357-1884224,,-
PUL0010,-,GTNG_RS09310,WP_008880058.1,,28816 - 29686 (-),NC_009328.1:1884238-1885108,,-
PUL0010,-,GTNG_RS09315,WP_008880057.1,,29761 - 31084 (-),NC_009328.1:1885183-1886506,,-
PUL0010,-,GTNG_RS09320,WP_008880056.1,,31198 - 31990 (-),NC_009328.1:1886620-1887412,,-
PUL0010,-,GTNG_RS09325,WP_008880055.1,,31989 - 33720 (-),NC_009328.1:1887411-1889142,,-
PUL0010,-,GTNG_RS09330,WP_008880054.1,,34225 - 34417 (-),NC_009328.1:1889647-1889839,,-
PUL0010,-,GTNG_RS09335,-,,34611 - 35946 (+),NC_009328.1:1890033-1891368,,-
PUL0010,-,GTNG_RS09340,WP_011887518.1,,36251 - 37466 (-),NC_009328.1:1891673-1892888,,-
PUL0010,-,GTNG_RS09345,WP_011887519.1,,37462 - 38272 (-),NC_009328.1:1892884-1893694,,-
PUL0010,-,GTNG_RS09350,WP_011887520.1,,38329 - 39325 (-),NC_009328.1:1893751-1894747,,-
PUL0010,-,GTNG_RS09355,WP_011887521.1,,39387 - 40896 (-),NC_009328.1:1894809-1896318,,-
PUL0010,-,GTNG_RS09360,WP_008880047.1,,40935 - 41781 (-),NC_009328.1:1896357-1897203,,-
PUL0010,-,GTNG_RS09365,WP_011887522.1,,41784 - 42717 (-),NC_009328.1:1897206-1898139,,-
PUL0010,-,GTNG_RS09370,WP_008880045.1,,42844 - 44152 (-),NC_009328.1:1898266-1899574,,-
PUL0010,araA,GTNG_RS09375,WP_011887523.1,,44652 - 46143 (-),NC_009328.1:1900074-1901565,,5.3.1.4
PUL0010,-,GTNG_RS09380,WP_011887524.1,,46159 - 47854 (-),NC_009328.1:1901581-1903276,,2.7.1.16
PUL0010,araD,GTNG_RS09385,WP_011887525.1,,47869 - 48556 (-),NC_009328.1:1903291-1903978,,5.1.3.4
PUL0010,-,GTNG_RS09390,WP_011887526.1,,48647 - 49742 (-),NC_009328.1:1904069-1905164,,-
PUL0010,-,GTNG_RS09395,WP_011887527.1,,49861 - 51085 (-),NC_009328.1:1905283-1906507,,-
PUL0010,-,GTNG_RS09400,WP_011887528.1,,51086 - 52628 (-),NC_009328.1:1906508-1908050,,-
PUL0010,-,GTNG_RS09405,WP_008880038.1,,52701 - 53778 (-),NC_009328.1:1908123-1909200,,-
PUL0012,-,VC_RS03095,WP_000589191.1,,0 - 1413 (-),NC_002505.1:642814-644227,,-
PUL0012,-,VC_RS03100,WP_000873677.1,,1535 - 3941 (-),NC_002505.1:644349-646755,,-
PUL0012,-,VC_RS03105,WP_000122112.1,,4059 - 5973 (-),NC_002505.1:646873-648787,,-
PUL0012,-,VC_RS03110,WP_001110418.1,,5969 - 6854 (-),NC_002505.1:648783-649668,,-
PUL0012,-,VC_RS03115,WP_000925616.1,,6850 - 8575 (-),NC_002505.1:649664-651389,,-
PUL0012,-,VC_RS03120,WP_000042558.1,,8631 - 9627 (-),NC_002505.1:651445-652441,,-
PUL0012,-,VC_RS03125,WP_000211039.1,,9669 - 10653 (-),NC_002505.1:652483-653467,,-
PUL0012,-,VC_RS03130,WP_000646270.1,,10655 - 11681 (-),NC_002505.1:653469-654495,,-
PUL0012,-,VC_RS03135,WP_000540337.1,,11683 - 12670 (-),NC_002505.1:654497-655484,,-
PUL0012,-,VC_RS03140,WP_000880698.1,,12839 - 14510 (-),NC_002505.1:655653-657324,,-
PUL0012,-,VC_RS03145,WP_000488279.1,,15420 - 18810 (-),NC_002505.1:658234-661624,,-
PUL0014,kduI,GTHT12_RS10165,WP_060475675.1,,0 - 831 (-),NZ_CP020030.1:2035523-2036354,,5.3.1.17
PUL0014,kduD,GTHT12_RS10170,WP_060475677.1,,864 - 1620 (-),NZ_CP020030.1:2036387-2037143,,1.1.1.127
PUL0014,-,GTHT12_RS10175,WP_060475676.1,,1750 - 2512 (-),NZ_CP020030.1:2037273-2038035,,-
PUL0014,-,GTHT12_RS10180,WP_087960078.1,,2887 - 4099 (-),NZ_CP020030.1:2038410-2039622,,-
PUL0014,-,GTHT12_RS10185,WP_060475608.1,,4122 - 5919 (-),NZ_CP020030.1:2039645-2041442,,-
PUL0014,-,GTHT12_RS10190,WP_087960079.1,,6233 - 7559 (-),NZ_CP020030.1:2041756-2043082,,-
PUL0014,-,GTHT12_RS10195,WP_060475610.1,,7555 - 8686 (-),NZ_CP020030.1:2043078-2044209,,-
PUL0014,-,GTHT12_RS10200,WP_087960377.1,,8926 - 10249 (-),NZ_CP020030.1:2044449-2045772,,-
PUL0014,-,GTHT12_RS10205,WP_060475618.1,,10293 - 11118 (-),NZ_CP020030.1:2045816-2046641,,-
PUL0015,-,LLMG_RS06265,WP_015426092.1,,0 - 1046 (-),NC_009004.1:1209752-1210798,,-
PUL0015,-,LLMG_RS06270,WP_011835125.1,,1226 - 2309 (+),NC_009004.1:1210978-1212061,,-
PUL0015,-,LLMG_RS06275,WP_015426094.1,,2325 - 3285 (+),NC_009004.1:1212077-1213037,,-
PUL0015,-,LLMG_RS06280,WP_011835128.1,,3315 - 5703 (+),NC_009004.1:1213067-1215455,,-
PUL0015,-,LLMG_RS06285,WP_011835129.1,,5683 - 6991 (+),NC_009004.1:1215435-1216743,,-
PUL0015,-,LLMG_RS06290,WP_011835130.1,,7028 - 7841 (+),NC_009004.1:1216780-1217593,,-
PUL0016,-,LLMG_RS02225,WP_011675488.1,,0 - 327 (+),NC_009004.1:428397-428724,,-
PUL0016,-,LLMG_RS02230,WP_011675489.1,,409 - 760 (+),NC_009004.1:428806-429157,,-
PUL0016,-,LLMG_RS02235,WP_011834482.1,,853 - 1582 (+),NC_009004.1:429250-429979,,-
PUL0016,-,LLMG_RS02240,WP_011675491.1,,1874 - 3212 (+),NC_009004.1:430271-431609,,-
PUL0016,-,LLMG_RS02245,WP_011834483.1,,3301 - 4738 (+),NC_009004.1:431698-433135,,-
PUL0017,tnpA,CCEL_RS10665,WP_015926613.1,,0 - 456 (-),NC_011898.1:2466252-2466708,,-
PUL0017,-,CCEL_RS10670,WP_015925554.1,,717 - 3153 (-),NC_011898.1:2466969-2469405,,-
PUL0017,-,CCEL_RS10675,WP_015925555.1,,3887 - 4715 (-),NC_011898.1:2470139-2470967,,-
PUL0017,-,CCEL_RS10680,WP_015925556.1,,4701 - 5622 (-),NC_011898.1:2470953-2471874,,-
PUL0017,-,CCEL_RS10685,WP_015925557.1,,5728 - 7078 (-),NC_011898.1:2471980-2473330,,-
PUL0017,-,CCEL_RS10690,WP_015925558.1,,7413 - 9030 (-),NC_011898.1:2473665-2475282,,-
PUL0017,-,CCEL_RS10695,WP_015925559.1,,9007 - 10891 (-),NC_011898.1:2475259-2477143,,-
PUL0017,-,CCEL_RS10700,WP_015925560.1,,10945 - 12244 (-),NC_011898.1:2477197-2478496,,-
PUL0017,-,CCEL_RS10705,WP_015925561.1,,12444 - 14790 (-),NC_011898.1:2478696-2481042,,-
PUL0018,-,SPR_RS01490,WP_001193721.1,,33 - 3237 (+),NC_003098.1:285136-288340,,-
PUL0018,-,SPR_RS01505,WP_000167287.1,,4380 - 5010 (-),NC_003098.1:289483-290113,,-
PUL0018,-,SPR_RS01510,WP_000161491.1,,5019 - 6021 (-),NC_003098.1:290122-291124,,-
PUL0018,-,SPR_RS01515,WP_000684777.1,,6051 - 6693 (-),NC_003098.1:291154-291796,,-
PUL0018,-,SPR_RS01520,WP_000185874.1,,6711 - 7527 (-),NC_003098.1:291814-292630,,1.1.1.69
PUL0018,-,SPR_RS01525,WP_000706826.1,,7797 - 8232 (+),NC_003098.1:292900-293335,,-
PUL0018,-,SPR_RS01530,WP_000592948.1,,8243 - 9434 (+),NC_003098.1:293346-294537,,-
PUL0018,-,SPR_RS01535,WP_000178620.1,,9444 - 9936 (+),NC_003098.1:294547-295039,,-
PUL0018,-,SPR_RS01540,WP_000026610.1,,9950 - 10730 (+),NC_003098.1:295053-295833,,-
PUL0018,-,SPR_RS01545,WP_000148019.1,,10716 - 11535 (+),NC_003098.1:295819-296638,,-
PUL0018,-,SPR_RS01550,WP_000381739.1,,11534 - 11828 (+),NC_003098.1:296637-296931,,-
PUL0018,-,SPR_RS01555,WP_000657079.1,,11849 - 13751 (+),NC_003098.1:296952-298854,,-
PUL0019,celR,-,CAA90284.1,,186 - 2112 (+),Z49992.1:372-2298,,-
PUL0019,celA,-,CAA90285.1,,2239 - 2548 (+),Z49992.1:2425-2734,,-
PUL0019,celB,-,CAA90286.1,,2563 - 3922 (+),Z49992.1:2749-4108,,-
PUL0019,celC,-,CAA90287.1,,3940 - 4273 (+),Z49992.1:4126-4459,,-
PUL0019,celD,-,CAA90288.1,,4269 - 5598 (+),Z49992.1:4455-5784,,-
PUL0019,ywaA,-,CAA90289.1,,5631 - 6736 (-),Z49992.1:5817-6922,,-
PUL0020,-,LC705_RS12690,WP_014571673.1,,0 - 939 (-),NC_013199.1:2717307-2718246,,-
PUL0020,-,LC705_RS12695,WP_015764761.1,,1058 - 2984 (-),NC_013199.1:2718365-2720291,,-
PUL0020,-,LC705_RS12700,WP_005690847.1,,2922 - 3270 (-),NC_013199.1:2720229-2720577,,-
PUL0020,-,LC705_RS12705,WP_005717674.1,,3269 - 3737 (-),NC_013199.1:2720576-2721044,,2.7.1.69
PUL0020,-,LC705_RS12710,WP_005714176.1,,3822 - 4638 (-),NC_013199.1:2721129-2721945,,-
PUL0020,-,LC705_RS12715,WP_005690844.1,,4627 - 5440 (-),NC_013199.1:2721934-2722747,,-
PUL0020,-,LC705_RS12720,WP_005690843.1,,5468 - 5969 (-),NC_013199.1:2722775-2723276,,-
PUL0020,-,LC705_RS12725,WP_005690842.1,,5981 - 7160 (-),NC_013199.1:2723288-2724467,,-
PUL0020,-,LC705_RS12730,WP_014571676.1,,7156 - 7987 (-),NC_013199.1:2724463-2725294,,-
PUL0020,-,LC705_RS12735,WP_005690838.1,,8210 - 8978 (+),NC_013199.1:2725517-2726285,,-
PUL0020,kduI,LC705_RS12740,WP_005690836.1,,9209 - 10055 (+),NC_013199.1:2726516-2727362,,5.3.1.17
PUL0020,kduD,LC705_RS12745,WP_005690834.1,,10088 - 10913 (+),NC_013199.1:2727395-2728220,,1.1.1.127
PUL0020,eda,LC705_RS12750,WP_005690832.1,,11032 - 11686 (+),NC_013199.1:2728339-2728993,,"4.1.2.14, 4.1.3.16"
PUL0020,-,LC705_RS12755,WP_005690831.1,,11690 - 12710 (+),NC_013199.1:2728997-2730017,,-
PUL0020,rpiA,LC705_RS12760,WP_014571678.1,,12826 - 13516 (-),NC_013199.1:2730133-2730823,,5.3.1.6
PUL0020,-,LC705_RS12765,WP_014571679.1,,13721 - 16781 (-),NC_013199.1:2731028-2734088,,-
PUL0021,-,LSEI_RS12770,WP_003596390.1,,0 - 984 (-),NC_008526.1:2647312-2648296,,-
PUL0021,-,LSEI_RS12775,WP_011674964.1,,1053 - 2979 (-),NC_008526.1:2648365-2650291,,-
PUL0021,-,LSEI_RS12780,WP_011674965.1,,2917 - 3265 (-),NC_008526.1:2650229-2650577,,-
PUL0021,-,LSEI_RS12785,WP_003596394.1,,3264 - 3735 (-),NC_008526.1:2650576-2651047,,2.7.1.69
PUL0021,-,LSEI_RS12790,WP_003567930.1,,3854 - 4670 (-),NC_008526.1:2651166-2651982,,-
PUL0021,-,LSEI_RS12795,WP_003577476.1,,4659 - 5472 (-),NC_008526.1:2651971-2652784,,-
PUL0021,-,LSEI_RS12800,WP_003658805.1,,5624 - 6125 (-),NC_008526.1:2652936-2653437,,-
PUL0021,-,LSEI_RS12805,WP_003596395.1,,6224 - 7403 (-),NC_008526.1:2653536-2654715,,3.2.1.-
PUL0021,-,LSEI_RS12810,WP_011674966.1,,7399 - 8230 (-),NC_008526.1:2654711-2655542,,-
PUL0021,-,LSEI_RS12815,WP_003567939.1,,8444 - 9212 (+),NC_008526.1:2655756-2656524,,-
PUL0021,kduI,LSEI_RS12820,WP_032784565.1,,9485 - 10319 (+),NC_008526.1:2656797-2657631,,5.3.1.17
PUL0021,kduD,LSEI_RS12825,WP_011674968.1,,10353 - 11178 (+),NC_008526.1:2657665-2658490,,1.1.1.127
PUL0021,eda,LSEI_RS12830,WP_005687550.1,,11288 - 11927 (+),NC_008526.1:2658600-2659239,,-
PUL0021,-,LSEI_RS12835,WP_003596400.1,,11945 - 12965 (+),NC_008526.1:2659257-2660277,,-
PUL0021,-,LSEI_RS12840,WP_003596401.1,,13067 - 13712 (-),NC_008526.1:2660379-2661024,,-
PUL0021,rpiA,LSEI_RS12845,WP_003567951.1,,13780 - 14470 (-),NC_008526.1:2661092-2661782,,5.3.1.6
PUL0021,-,LSEI_RS12850,WP_011674970.1,,14627 - 16592 (-),NC_008526.1:2661939-2663904,,-
PUL0022,-,BCOA_RS20690,WP_014096055.1,,0 - 1920 (-),NC_016023.1:736768-738688,,-
PUL0022,-,BCOA_RS20695,WP_014096056.1,,2217 - 3654 (-),NC_016023.1:738985-740422,,-
PUL0022,celB,BCOA_RS20700,WP_014096057.1,,3815 - 5171 (-),NC_016023.1:740583-741939,,-
PUL0022,-,BCOA_RS20705,WP_014096058.1,,5192 - 5696 (-),NC_016023.1:741960-742464,,-
PUL0022,-,BCOA_RS20710,WP_014096059.1,,5894 - 6218 (-),NC_016023.1:742662-742986,,-
PUL0022,-,BCOA_RS20715,WP_041817903.1,,6351 - 6684 (-),NC_016023.1:743119-743452,,-
PUL0023,-,BCOA_RS20695,WP_014096056.1,,0 - 1437 (-),NC_016023.1:839150-840587,,3.2.1.86
PUL0023,celB,BCOA_RS20700,WP_014096057.1,,1598 - 2954 (-),NC_016023.1:840748-842104,,-
PUL0023,-,BCOA_RS20705,WP_014096058.1,,2975 - 3479 (-),NC_016023.1:842125-842629,,-
PUL0023,-,BCOA_RS20710,WP_014096059.1,,3677 - 4001 (-),NC_016023.1:842827-843151,,-
PUL0023,-,BCOA_RS20715,WP_041817903.1,,4134 - 4467 (-),NC_016023.1:843284-843617,,-
PUL0024,-,-,CCG34773.1,,0 - 107 (+),HE717008.1:1-108,,-
PUL0024,-,-,CCG34774.1,,568 - 1423 (+),HE717008.1:569-1424,,-
PUL0024,-,-,CCG34775.1,,1565 - 2996 (-),HE717008.1:1566-2997,,-
PUL0024,-,-,CCG34776.1,,3041 - 4973 (-),HE717008.1:3042-4974,,-
PUL0024,-,-,CCG34777.1,,5175 - 6225 (-),HE717008.1:5176-6226,,-
PUL0024,-,-,CCG34778.1,,6369 - 8076 (-),HE717008.1:6370-8077,,-
PUL0024,-,-,CCG34779.1,,8075 - 9956 (-),HE717008.1:8076-9957,,-
PUL0024,-,-,CCG34780.1,,10112 - 10955 (+),HE717008.1:10113-10956,,-
PUL0024,-,-,CCG34781.1,,11356 - 11944 (-),HE717008.1:11357-11945,,-
PUL0024,-,-,CCG34782.1,,11945 - 12173 (-),HE717008.1:11946-12174,,-
PUL0024,-,-,CCG34783.1,,12455 - 13859 (-),HE717008.1:12456-13860,,-
PUL0024,-,-,CCG34784.1,,14001 - 14712 (-),HE717008.1:14002-14713,,-
PUL0026,-,BT_2802,AAO77908.1,,0 - 1542 (+),AE015928.1:3477149-3478691,,-
PUL0026,-,BT_2803,AAO77909.1,,1728 - 2694 (+),AE015928.1:3478877-3479843,,-
PUL0026,-,BT_2804,AAO77910.1,,2733 - 3669 (+),AE015928.1:3479882-3480818,,-
PUL0026,-,BT_2805,AAO77911.1,,3681 - 6933 (+),AE015928.1:3480830-3484082,,-
PUL0026,-,BT_2806,AAO77912.1,,6945 - 8946 (+),AE015928.1:3484094-3486095,,-
PUL0026,-,BT_2807,AAO77913.1,,8979 - 10599 (+),AE015928.1:3486128-3487748,,-
PUL0026,-,BT_2808,AAO77914.1,,10610 - 11627 (+),AE015928.1:3487759-3488776,,-
PUL0026,-,BT_2809,AAO77915.1,,11646 - 12651 (+),AE015928.1:3488795-3489800,,-
PUL0027,algG,-,AAC04565.1,,0 - 99 (+),AF027499.1:1-100,,-
PUL0027,algX,-,AAC04566.1,,119 - 1571 (+),AF027499.1:120-1572,,-
PUL0027,algL,-,AAC04567.1,,1579 - 2704 (+),AF027499.1:1580-2705,,-
PUL0027,algI,-,AAC04568.1,,2896 - 4396 (+),AF027499.1:2897-4397,,-
PUL0027,algV,-,AAC04569.1,,4408 - 5575 (+),AF027499.1:4409-5576,,-
PUL0028,-,RUMGNA_RS11830,WP_004843624.1,,0 - 405 (+),NZ_AAYG02000020.1:134626-135031,,-
PUL0028,-,RUMGNA_RS11835,WP_004843625.1,,531 - 1428 (-),NZ_AAYG02000020.1:135157-136054,,-
PUL0028,-,RUMGNA_RS11840,WP_024854133.1,,1577 - 2495 (-),NZ_AAYG02000020.1:136203-137121,,-
PUL0028,-,RUMGNA_RS11845,WP_024854132.1,,2542 - 3232 (-),NZ_AAYG02000020.1:137168-137858,,-
PUL0028,-,RUMGNA_RS11850,WP_004843631.1,,3342 - 5514 (-),NZ_AAYG02000020.1:137968-140140,,-
PUL0028,-,RUMGNA_RS11855,WP_004843633.1,,5510 - 6635 (-),NZ_AAYG02000020.1:140136-141261,,-
PUL0028,-,RUMGNA_RS11860,WP_039959879.1,,6656 - 7490 (-),NZ_AAYG02000020.1:141282-142116,,-
PUL0028,-,RUMGNA_RS11865,WP_039959892.1,,7489 - 8377 (-),NZ_AAYG02000020.1:142115-143003,,-
