=== PUL0003 ===
  NP_389697.1     | CAZyme             | GH30
  AYN23378.1      | TF                 | LacI
  AYN23379.1      | STP                | SBP_bac_1
  AYN23380.1      | Transporter        | 3.A.1.1.25
  AYN23381.1      | Transporter        | 3.A.1.1.18
  AYN23382.1      | CAZyme             | GH43
  AYN23383.1      | CAZyme             | CE20
  AYN23384.1      | Peptidase          | S09.UPW
  AYN23385.1      | CAZyme             | GH43
  AYN23386.1      | Sugar_metabolism   | xylulose kinase [Bifidobacterium animalis subsp. animalis]
=== PUL0227 ===
  AFM44648.1      | Hypothetical       | Hypothetical protein [Caldanaerobius polysaccharolyticus]
  AFM44650.1      | CAZyme             | GH67
  AFM44649.1      | CAZyme             | GH3
  AFM44651.1      | Operon/Regulon     | XylI [Caldanaerobius polysaccharolyticus]
  AFM44652.1      | Operon/Regulon     | XylK [Caldanaerobius polysaccharolyticus]
  AFM44653.1      | Sugar_metabolism   | transaldolase [Caldanaerobius polysaccharolyticus]
  AFM44655.1      | STP                | dCache_1
  AFM44654.1      | TF                 | 0036286
  AFM44656.1      | STP                | SBP_bac_1
  AFM44657.1      | Transporter        | 3.A.1.1.61
  AFM44658.1      | Transporter        | 3.A.1.1.41
  AFM44659.1      | CAZyme             | CE4
=== PUL0229 ===
  ABV90480.1      | TF                 | 0036286
  ABV90481.1      | STP                | dCache_1
  ABV90482.2      | Transporter        | 3.A.1.1.29
  ABV90483.1      | Transporter        | 3.A.1.1.29
  ABV90484.1      | Transporter        | 3.A.1.1.29
  ABV90485.1      | CAZyme             | GH67
  ABV90486.1      | CAZyme             | GH10
  ABV90487.1      | CAZyme             | GH43
=== PUL0262 ===
  ALJ61513.1      | Transporter        | SusC
  ALJ61514.1      | Transporter        | SusD
  ALJ61515.1      | Transporter        | SusC
  ALJ61516.1      | Transporter        | SusD
  ALJ61517.1      | Hypothetical       | hypothetical protein BcellWH2_04300 [Bacteroides cellulosilyticus]
  ALJ61518.1      | CAZyme             | GH10
  ALJ61519.1      | CAZyme             | GH10
  ALJ61520.1      | CAZyme             | GH5
  ALJ61521.1      | CAZyme             | CE1
  ALJ61522.1      | CAZyme             | CE6
  ALJ61523.1      | CAZyme             | GH8
  ALJ61524.1      | TF                 | 0036286
=== PUL0263 ===
  ALJ61540.1      | CAZyme             | GH10
  ALJ61541.1      | Hypothetical       | hypothetical protein BcellWH2_04324 [Bacteroides cellulosilyticus]
  ALJ61542.1      | Transporter        | SusD
  ALJ61543.1      | Transporter        | SusC
  ALJ61544.1      | TF                 | 0035607
=== PUL0274 ===
  ACS45886.1      | Sugar_metabolism   | xylose isomerase [Bifidobacterium animalis subsp. lactis Bl-04]
  ACS45887.1      | CAZyme             | GH43
  ACS45888.1      | TF                 | LacI
  ACS45889.1      | STP                | SBP_bac_1
  ACS45890.1      | Transporter        | 3.A.1.1.7
  ACS45891.1      | Transporter        | 3.A.1.1.18
  ACS45892.1      | CAZyme             | GH43
  ACS45893.1      | CAZyme             | CE20
  ACS45894.1      | Peptidase          | S09.UPW
  ACS45895.1      | CAZyme             | GH43
  ACS45896.1      | Sugar_metabolism   | xylulose kinase [Bifidobacterium animalis subsp. lactis Bl-04]
  ACS45897.1      | STP                | HTH_IclR
=== PUL0289 ===
  ABQ06882.1      | Transporter        | SusC
  ABQ06883.1      | TF                 | HTH_AraC
  ABQ06884.1      | CAZyme             | GH97
  ABQ06885.1      | CAZyme             | GH3
  ABQ06886.1      | CAZyme             | GH43
  ABQ06887.1      | CAZyme             | GH146
  ABQ06888.1      | CAZyme             | GH115
  ABQ06889.1      | CAZyme             | CE6
  ABQ06890.1      | CAZyme             | CE15
  ABQ06891.1      | CAZyme             | GH43
  ABQ06892.1      | Transporter        | SusD
  ABQ06893.1      | Transporter        | SusC
=== PUL0294 ===
  PKD09594.1      | Hypothetical       | hypothetical protein APC1464_1419 [Bifidobacterium longum]
  PKD09792.1      | Hypothetical       | hypothetical protein APC1464_1420 [Bifidobacterium longum]
  PKD09793.1      | CAZyme             | GH120
  PKD09794.1      | General_metabolism | galactoside O-acetyltransferase [Bifidobacterium longum]
  PKD09795.1      | CAZyme             | GH43
  PKD09796.1      | CAZyme             | GH43
  PKD09797.1      | Transporter        | 3.A.1.1.25
  PKD09798.1      | Transporter        | 3.A.1.1.25
  PKD09799.1      | STP                | SBP_bac_1
  PKD09595.1      | TF                 | LacI
  PKD09800.1      | Oxidoreductases    | NADH-dependent butanol dehydrogenase 1 [Bifidobacterium longum]
  PKD09801.1      | Sugar_metabolism   | xylose isomerase [Bifidobacterium longum]
=== PUL0328 ===
  APU67020.1      | CAZyme             | GH127
  APU67021.1      | CAZyme             | GH43
  APU67022.1      | Sulfatase          | S1_22
  APU67023.1      | CAZyme             | GH43
  APU67024.1      | CAZyme             | GH2
  APU67025.1      | CAZyme             | GH5
  APU67026.1      | Hypothetical       | hypothetical protein GRFL_0302 [Christiangramia flava JLT2011]
  APU67027.1      | Transporter        | SusD
  APU67028.1      | Transporter        | SusC
=== PUL0329 ===
  APU67041.1      | CAZyme             | GH43
  APU67042.1      | CAZyme             | GH43
  APU67043.1      | Sulfatase          | S1_4
  APU67044.1      | CAZyme             | CE20
  APU67045.1      | CAZyme             | GH43
  APU67046.1      | Transporter        | SusC
  APU67047.1      | Transporter        | SusD
  APU67048.1      | CAZyme             | GT4
  APU67049.1      | Hypothetical       | hypothetical protein GRFL_0325 [Christiangramia flava JLT2011]
  APU67050.1      | Hypothetical       | hypothetical protein GRFL_0326 [Christiangramia flava JLT2011]
  APU67051.1      | Hypothetical       | hypothetical protein GRFL_0327 [Christiangramia flava JLT2011]
  APU67052.1      | Hypothetical       | hypothetical protein GRFL_0328 [Christiangramia flava JLT2011]
  APU67053.1      | Hypothetical       | hypothetical protein GRFL_0329 [Christiangramia flava JLT2011]
  APU67054.1      | TF                 | 0036955
  APU67055.1      | General_metabolism | Uronate isomerase [Christiangramia flava JLT2011]
  APU67056.1      | CAZyme             | GH3
  APU67057.1      | CAZyme             | GH67
  APU67058.1      | Transporter        | 1.A.115.1.5
  APU67059.1      | CAZyme             | GH35
  APU67060.1      | CAZyme             | GH10
  APU67061.1      | CAZyme             | GH115
  APU67062.1      | CAZyme             | CE15
  APU67063.1      | Sugar_metabolism   | Xylose isomerase [Christiangramia flava JLT2011]
  APU67064.1      | Sugar_metabolism   | Xylulose kinase [Christiangramia flava JLT2011]
  APU67065.1      | Transporter        | 2.A.21.3.19
=== PUL0335 ===
  SIP56311.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56312.1      | TF                 | 0037176
  SIP56313.1      | Transport/Surface  | Outer membrane efflux protein [uncultured bacterium]
  SIP56314.1      | STP                | Glyoxalase
  SIP56315.1      | CAZyme             | GH101
  SIP56316.1      | General_metabolism | Oxaloacetate decarboxylase; gamma chain [uncultured bacterium]
  SIP56317.1      | Transporter        | 3.B.1.1.7
  SIP56318.1      | Transporter        | 3.B.1.1.2
  SIP56319.1      | STP                | TPR_1
  SIP56320.1      | CAZyme             | GH13
  SIP56321.1      | Sugar_metabolism   | Fructose-bisphosphate aldolase [uncultured bacterium]
  SIP56322.1      | Hydrolases         | Endonuclease/Exonuclease/phosphatase family protein [uncultured bacterium]
  SIP56323.1      | Mobile_elements    | IS2 repressor TnpA-transposase TnpB [uncultured bacterium]
  SIP56324.1      | Ribosomal          | 50S ribosomal protein L31 type B [uncultured bacterium]
  SIP56325.1      | Peptidase          | M48.UNW
  SIP56326.1      | General_metabolism | Aminomethyltransferase [uncultured bacterium]
  SIP56327.1      | Peptidase          | M20.003
  SIP56328.1      | Peptidase          | C44.UNW
  SIP56329.1      | TF                 | 0035607
  SIP56330.1      | STP                | Fer4
  SIP56331.1      | CAZyme             | GH97
  SIP56332.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56333.1      | Transporter        | 1.A.43.1.1
  SIP56334.1      | Other              | Pentapeptide repeats (8 copies) [uncultured bacterium]
  SIP56335.1      | CAZyme             | GH13
  SIP56336.1      | CAZyme             | GH3
  SIP56337.1      | CAZyme             | GH158
  SIP56338.1      | CAZyme             | GH16
  SIP56339.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56340.1      | Transporter        | SusD
  SIP56341.1      | Transporter        | SusC
=== PUL0336 ===
  SIP56342.1      | Transporter        | 1.A.43.1.1
  SIP56343.1      | Other              | Pentapeptide repeats (8 copies) [uncultured bacterium]
  SIP56344.1      | CAZyme             | GH13
  SIP56345.1      | CAZyme             | GH3
  SIP56346.1      | CAZyme             | GH158
  SIP56347.1      | CAZyme             | GH16
  SIP56348.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56349.1      | Transporter        | SusD
  SIP56350.1      | Transporter        | SusC
  SIP56351.1      | STP                | Y_Y_Y
  SIP56352.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56353.1      | CAZyme             | GT2
  SIP56354.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56355.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56356.1      | Transporter        | 2.A.107.1.2
  SIP56357.1      | Transport/Surface  | Thiamine biosynthesis lipoprotein ApbE precursor [uncultured bacterium]
  SIP56358.1      | Transporter        | 2.A.7.34.3
  SIP56359.1      | RNA_processing     | tRNA 2-thiocytidine biosynthesis protein TtcA [uncultured bacterium]
  SIP56360.1      | STP                | TPR_2
  SIP56361.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56362.1      | Operon/Regulon     | SigmaW regulon antibacterial [uncultured bacterium]
  SIP56363.1      | Operon/Regulon     | Purine nucleoside phosphorylase DeoD-type [uncultured bacterium]
  SIP56364.1      | Transporter        | 9.A.8.1.2
  SIP56365.1      | TF                 | 0036286
  SIP56366.1      | Transporter        | 2.A.1.36.3
=== PUL0337 ===
  SIP56367.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56368.1      | STP                | Aminotran_1_2
  SIP56369.1      | RNA_processing     | tRNA-specific 2-thiouridylase MnmA [uncultured bacterium]
  SIP56370.1      | TF                 | GerE
  SIP56371.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56372.1      | Transporter        | 2.A.35.1.6
  SIP56373.1      | Transporter        | 2.A.1.36.3
  SIP56374.1      | TF                 | 0036286
  SIP56375.1      | Transporter        | 9.A.8.1.2
  SIP56376.1      | Operon/Regulon     | Purine nucleoside phosphorylase DeoD-type [uncultured bacterium]
  SIP56377.1      | Operon/Regulon     | SigmaW regulon antibacterial [uncultured bacterium]
  SIP56378.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56379.1      | STP                | TPR_2
  SIP56380.1      | RNA_processing     | tRNA 2-thiocytidine biosynthesis protein TtcA [uncultured bacterium]
  SIP56381.1      | Transporter        | 2.A.7.34.3
  SIP56382.1      | Transport/Surface  | Thiamine biosynthesis lipoprotein ApbE precursor [uncultured bacterium]
  SIP56383.1      | Transporter        | 2.A.107.1.2
  SIP56384.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56385.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56386.1      | CAZyme             | GT2
  SIP56387.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56388.1      | STP                | Y_Y_Y
  SIP56389.1      | Transporter        | SusC
  SIP56390.1      | Transporter        | SusD
  SIP56391.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56392.1      | CAZyme             | GH16
  SIP56393.1      | CAZyme             | GH158
  SIP56394.1      | CAZyme             | GH3
  SIP56395.1      | CAZyme             | GH13
=== PUL0338 ===
  SIP56396.1      | Transporter        | 2.A.1.36.3
  SIP56397.1      | TF                 | 0036286
  SIP56398.1      | Transporter        | 9.A.8.1.2
  SIP56399.1      | Operon/Regulon     | Purine nucleoside phosphorylase DeoD-type [uncultured bacterium]
  SIP56400.1      | Operon/Regulon     | SigmaW regulon antibacterial [uncultured bacterium]
  SIP56401.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56402.1      | STP                | TPR_2
  SIP56403.1      | RNA_processing     | tRNA 2-thiocytidine biosynthesis protein TtcA [uncultured bacterium]
  SIP56404.1      | Transporter        | 2.A.7.34.3
  SIP56405.1      | Transport/Surface  | Thiamine biosynthesis lipoprotein ApbE precursor [uncultured bacterium]
  SIP56406.1      | Transporter        | 2.A.107.1.2
  SIP56407.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56408.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56409.1      | CAZyme             | GT2
  SIP56410.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56411.1      | STP                | Y_Y_Y
  SIP56412.1      | Transporter        | SusC
  SIP56413.1      | Transporter        | SusD
  SIP56414.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56415.1      | CAZyme             | GH16
  SIP56416.1      | CAZyme             | GH158
  SIP56417.1      | CAZyme             | GH3
  SIP56418.1      | CAZyme             | GH13
  SIP56419.1      | Other              | Pentapeptide repeats (8 copies) [uncultured bacterium]
  SIP56420.1      | Transporter        | 1.A.43.1.1
  SIP56421.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56422.1      | CAZyme             | GH97
  SIP56423.1      | STP                | Fer4
  SIP56424.1      | TF                 | 0035607
  SIP56425.1      | Peptidase          | C44.UNW
  SIP56426.1      | Peptidase          | M20.003
  SIP56427.1      | General_metabolism | Aminomethyltransferase [uncultured bacterium]
  SIP56428.1      | Peptidase          | M48.UNW
  SIP56429.1      | Ribosomal          | 50S ribosomal protein L31 type B [uncultured bacterium]
=== PUL0339 ===
  SIP56430.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56431.1      | Mobile_elements    | Integrase core domain protein [uncultured bacterium]
  SIP56432.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56433.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56434.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56435.1      | Operon/Regulon     | RNA polymerase-associated protein RapA [uncultured bacterium]
  SIP56436.1      | Mobile_elements    | Transposase; Mutator family [uncultured bacterium]
  SIP56437.1      | CAZyme             | GH97
  SIP56438.1      | Transporter        | 1.A.43.1.13
  SIP56439.1      | CAZyme             | GH13
  SIP56440.1      | CAZyme             | GH3
  SIP56441.1      | Peptidase          | M57.UPW
  SIP56442.1      | CAZyme             | GH16
  SIP56443.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56444.1      | Transporter        | SusD
  SIP56445.1      | Transporter        | SusC
  SIP56446.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56447.1      | General_metabolism | Glutamine synthetase [uncultured bacterium]
  SIP56448.1      | TF                 | 0038753
  SIP56449.1      | CAZyme             | GH20
  SIP56450.1      | STP                | Pyr_redox_2
  SIP56451.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
  SIP56452.1      | Transporter        | 3.A.12.1.1
  SIP56453.1      | Hypothetical       | hypothetical protein [uncultured bacterium]
=== PUL0342 ===
  WP_013065621.1  | CAZyme             | GH10
  WP_013064566.1  | CAZyme             | GH95
  WP_013064096.1  | CAZyme             | GH3
  WP_080517213.1  | STP                | SBP_bac_1
  WP_013064354.1  | TF                 | 0036286
=== PUL0345 ===
  EDV05050.1      | TF                 | 0035607
  EDV05051.1      | Transporter        | SusC
  EDV05052.1      | Transporter        | SusD
  EDV05053.1      | Hypothetical       | hypothetical protein BACINT_04196 [Bacteroides intestinalis DSM 17393]
  EDV05054.1      | CAZyme             | GH10
  EDV05055.1      | Hypothetical       | hypothetical protein BACINT_04198 [Bacteroides intestinalis DSM 17393]
  EDV05056.1      | CAZyme             | GH35
  EDV05057.1      | CAZyme             | CE20
  EDV05058.1      | CAZyme             | GH43
  EDV05059.1      | CAZyme             | GH10
  EDV05060.1      | CAZyme             | GH43
  EDV05061.1      | CAZyme             | GH109
  EDV05062.1      | CAZyme             | GH67
  EDV05064.1      | Hypothetical       | hypothetical protein BACINT_04207 [Bacteroides intestinalis DSM 17393]
  EDV05063.1      | Peptidase          | C11.006
  EDV05065.1      | TF                 | 0036286
  EDV05066.1      | Mobile_elements    | putative transposase; IS4 family [Bacteroides intestinalis DSM 17393]
  EDV05067.1      | CAZyme             | GH8
  EDV05068.1      | CAZyme             | CE6
  EDV05069.1      | CAZyme             | CE1
  EDV05070.1      | CAZyme             | GH5
  EDV05071.1      | Hypothetical       | hypothetical protein BACINT_04214 [Bacteroides intestinalis DSM 17393]
  EDV05072.1      | CAZyme             | GH10
  EDV05073.1      | Hypothetical       | hypothetical protein BACINT_04216 [Bacteroides intestinalis DSM 17393]
  EDV05074.1      | Transporter        | SusD
  EDV05075.1      | Transporter        | SusC
  EDV05076.1      | Transporter        | SusD
  EDV05077.1      | Transporter        | SusC
  EDV05078.1      | Hypothetical       | hypothetical protein BACINT_04221 [Bacteroides intestinalis DSM 17393]
  EDV05079.1      | CAZyme             | CE20
  EDV05080.1      | CAZyme             | GH115
=== PUL0346 ===
  CCG34969.1      | CAZyme             | GH43
  CCG34970.1      | TF                 | 0036286
  CCG34971.1      | Mobile_elements    | transposase IS4 family [uncultured bacterium]
  CCG34972.1      | Mobile_elements    | transposase IS4 family [uncultured bacterium]
  CCG34973.1      | Mobile_elements    | transposase [uncultured bacterium]
  CCG34974.1      | Mobile_elements    | transposase [uncultured bacterium]
  CCG34975.1      | Transporter        | SusD
  CCG34976.1      | Transporter        | SusC
  CCG34977.1      | CAZyme             | GH43
  CCG34978.1      | CAZyme             | GH43
  CCG34979.1      | CAZyme             | GH10
  CCG34980.1      | Mobile_elements    | transposase [uncultured bacterium]
  CCG34981.1      | CAZyme             | GH43
  CCG34982.1      | Mobile_elements    | IS3 element transposase [uncultured bacterium]
  CCG34983.1      | CAZyme             | GH16
=== PUL0364 ===
  AAM43336.1      | CAZyme             | GH10
  AAM43337.1      | CAZyme             | GH2
  AAM43338.1      | General_metabolism | hexuronic acid isomerase [Xanthomonas campestris pv. campestris str. ATCC 33913]
  AAM43339.1      | CAZyme             | GH10
  AAM43340.1      | Transporter        | 2.A.1.14.25
  AAM43341.1      | Transporter        | SusC
  AAM43342.1      | CAZyme             | GH43
  AAM43343.1      | CAZyme             | GH43
=== PUL0390 ===
  WP_004082543.1  | CAZyme             | GH67
  WP_004082544.1  | STP                | SBP_bac_5
  WP_004082545.1  | Transporter        | 3.A.1.5.29
  WP_004082546.1  | Transporter        | 3.A.1.5.29
  WP_004082547.1  | Transporter        | 3.A.1.5.29
  WP_004082548.1  | Transporter        | 3.A.1.5.29
  WP_004082550.1  | CAZyme             | CBM22
  WP_004082552.1  | CAZyme             | CBM22
  WP_004082554.1  | Hypothetical       | MULTISPECIES: hypothetical protein [Thermotoga]
  WP_004082556.1  | Sugar_metabolism   | MULTISPECIES: glucuronate isomerase [Thermotoga]
  WP_004082558.1  | TF                 | 0040266
  WP_004082560.1  | General_metabolism | MULTISPECIES: bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase [Thermotoga]
  WP_004082562.1  | STP                | PfkB
  WP_004082564.1  | Sugar_metabolism   | MULTISPECIES: D-mannonate dehydrogenase UxuB [Thermotoga]
  WP_004082566.1  | Sugar_metabolism   | MULTISPECIES: mannonate dehydratase [Thermotoga]
  WP_004082568.1  | CAZyme             | GH10
  WP_004082579.1  | STP                | SBP_bac_5
  WP_004082581.1  | Transporter        | 3.A.1.5.13
  WP_004082583.1  | Transporter        | 3.A.1.5.13
  WP_041426669.1  | Transporter        | 3.A.1.5.13
  WP_004082591.1  | Transporter        | 3.A.1.5.13
  WP_004082594.1  | CAZyme             | GH3
  WP_004082599.1  | CAZyme             | CE7
=== PUL0392 ===
  CBK69512.1      | Hypothetical       | hypothetical protein BXY_46530 [Bacteroides xylanisolvens XB1A]
  CBK69513.1      | Transporter        | SusD
  CBK69514.1      | Transporter        | SusC
  CBK69515.1      | TF                 | GerE
  CBK69516.1      | CAZyme             | GH67
  CBK69517.1      | CAZyme             | GH43
  CBK69518.1      | Transporter        | SusC
  CBK69519.1      | CAZyme             | GH13
=== PUL0402 ===
  BAL51422.1      | CAZyme             | GH43
  BAL51423.1      | Transporter        | 2.A.2.3.2
  BAL51424.1      | Sugar_metabolism   | aldose 1-epimerase [Lactococcus lactis subsp. lactis IO-1]
  BAL51425.1      | Sugar_metabolism   | xylulose kinase [Lactococcus lactis subsp. lactis IO-1]
  BAL51426.1      | Sugar_metabolism   | xylose isomerase [Lactococcus lactis subsp. lactis IO-1]
  BAL51427.1      | TF                 | 0036286
=== PUL0411 ===
  CAA89207.1      | CAZyme             | GH10
  CAA89208.1      | CAZyme             | GH43
=== PUL0414 ===
  AFK83720.1      | Transport/Surface  | putative lipoprotein [uncultured bacterium 35A20]
  AFK83721.1      | Hypothetical       | hypothetical protein TREAZ_1790 [uncultured bacterium 35A20]
  AFK83722.1      | Hypothetical       | hypothetical protein MucpaDRAFT_4567 [uncultured bacterium 35A20]
  AFK83723.1      | RNA_processing     | aminoacyl-tRNA hydrolase [uncultured bacterium 35A20]
  AFK83724.1      | Operon/Regulon     | MazG family protein [uncultured bacterium 35A20]
  AFK83725.1      | Kinases            | 6-phosphofructokinase [uncultured bacterium 35A20]
  AFK83726.1      | CAZyme             | GH10
  AFK83727.1      | CAZyme             | GT2
  AFK83746.1      | STP                | AAA
  AFK83728.1      | DUF                | protein of unknown function DUF58 [uncultured bacterium 35A20]
  AFK83729.1      | Other              | transglutaminase domain-containing protein [uncultured bacterium 35A20]
  AFK83730.1      | Other              | pyrrolo-quinoline quinone repeat protein [uncultured bacterium 35A20]
  AFK83731.1      | Other              | excinuclease ABC subunit A [uncultured bacterium 35A20]
  AFK83732.1      | Other              | GARP complex subunit [uncultured bacterium 35A20]
  AFK83733.1      | STP                | SBP_bac_1
  AFK83734.1      | Transporter        | 3.A.1.1.29
  AFK83735.1      | Transporter        | 3.A.1.1.10
  AFK83736.1      | CAZyme             | GH1
  AFK83737.1      | CAZyme             | GH10
  AFK83738.1      | CAZyme             | GH10
  AFK83739.1      | CAZyme             | GH10
  AFK83740.1      | Other              | Hsp20/alpha crystallin family protein [uncultured bacterium 35A20]
  AFK83747.1      | Hypothetical       | hypothetical protein MELLADRAFT_68204 [uncultured bacterium 35A20]
  AFK83741.1      | STP                | ATPase_2
  AFK83742.1      | CAZyme             | GH94
  AFK83743.1      | CAZyme             | GH94
  AFK83744.1      | Hypothetical       | hypothetical protein Mahau_2096 [uncultured bacterium 35A20]
  AFK83745.1      | STP                | Fer4
=== PUL0415 ===
  EDO13793.1      | Transporter        | SusD
  EDO13794.1      | Transporter        | SusC
  EDO13795.1      | CAZyme             | GH20
  EDO13796.1      | CAZyme             | GH20
=== PUL0456 ===
  WP_008760065.1  | STP                | TPR_1
  WP_006281697.1  | Transporter        | 2.A.1.1.55
  WP_006281698.1  | TF                 | 0036286
  WP_155815414.1  | Transporter        | SusC
  WP_162091544.1  | Transporter        | SusD
  WP_006281618.1  | Transporter        | SusC
  WP_094448662.1  | CAZyme             | GH43
  WP_039869720.1  | TF                 | 0036286
  WP_006281621.1  | CAZyme             | GH43
  WP_039869723.1  | CAZyme             | GH10
  WP_006281623.1  | Transporter        | 2.A.2.3.2
  WP_039869725.1  | Hydrolases         | MULTISPECIES: SGNH/GDSL hydrolase family protein [Segatella]
  WP_006281625.1  | CAZyme             | GH67
=== PUL0457 ===
  WP_017261046.1  | Hypothetical       | hypothetical protein [Furfurilactobacillus rossiae]
  WP_017261047.1  | Sulfatase          | S1_4
  WP_017261048.1  | CAZyme             | GH43
  WP_017261049.1  | Transporter        | 2.A.2.3.2
  WP_017261050.1  | Transporter        | 2.A.1.1.41
  WP_017261051.1  | Sugar_metabolism   | xylose isomerase [Furfurilactobacillus rossiae]
  WP_017261052.1  | Sugar_metabolism   | xylulokinase [Furfurilactobacillus rossiae]
=== PUL0474 ===
  WP_012023635.1  | TF                 | GerE
  WP_012023636.1  | Transporter        | SusC
  WP_012023637.1  | Transporter        | SusD
  WP_012023638.1  | CAZyme             | GH30
  WP_012023639.1  | CAZyme             | GH30
  WP_012023640.1  | CAZyme             | GH3
  WP_012023641.1  | Hydrolases         | endonuclease/exonuclease/phosphatase family protein [Flavobacterium johnsoniae]
  WP_012023642.1  | CAZyme             | GH30
  WP_012023643.1  | CAZyme             | GH3
=== PUL0480 ===
