PULID,PMID,verification_final,genomic_accession_number,nucleotide_position_range,substrate_final,gene_locus_tags_or_modular,old_other_gene_locus_tags_or_modules,organism_name,ncbi_species_tax_id,degradation_biosynthesis,cazy_diamond_eval,dbcan_hmmer_eval,hotpep_hits,tp_eval,num_cgcs,cazymes_predicted_dbCAN2,num_cazymes,num_genes,cazymes_predicted_dbcan,
PUL0069,30664967,"sugar utilization assay,NMR,sequence homology analysis",MF522813,1-25134,capsule polysaccharide,wzc-wzb-wza-gna-psaA-psaB-psaC-psaD-psaE-psaF-wzx-gtr37-wzy-gtr5-itrA3-galU-ugd-gpi-gne1-pgm,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,2,22,"GT0,GT2",
PUL0070,30664967,"sugar utilization assay,NMR,sequence homology analysis",KF130871,1-39884,capsule polysaccharide,wzc-wzb-wza-gna-psaA-psaB-psaC-psaD-psaE-psaF-wzx-gtr16-wzy-gtr17-gtr5-itrA2-galU-ugd-gpi-gne1-pgm,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,3,36,"GT52,GT0|GT14,GT2,GT25,GT4,CE4",
PUL0071,30664967,"sugar utilization assay,NMR,sequence homology analysis",KJ459911,1-42260,capsule polysaccharide,wzc-wzb-wza-gna-psaA-psaB-psaC-psaD-psaE-psaF-wzx-kpsS1-wzy-gtr3-grt4-gtr5-itrA3-galU-ugd-gpi-gne1-pgm,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,4,38,"GT0|GT14,GT2,GT25,GT4,CE4",
PUL0072,30664967,"sugar utilization assay,NMR,sequence homology analysis",APRA01000009,555847-581577,capsule polysaccharide,wzc-wzb-wza-gna-psaA-psaB-psaC-psaD-psaE-psaF-wzx-kpsS2-wzy-gtr5-itrA3-galU-ugd-gpi-gne1-pgm,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,2,22,"GT2,GT0",
PUL0073,30664967,"sugar utilization assay,NMR,sequence homology analysis",APOF01000020,103755-129611,capsule polysaccharide,wzc-wzb-wza-gna-psaA-psaB-psaC-psaG-psaH-psaF-wzx-kpsS2-wzy-gtr5-itrA3-galU-ugd-gpi-gne1-pgm,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,2,22,GT2,
PUL0074,31396168,sequence homology analysis,GL636865.1,1623-31927,capsule polysaccharide,wzc- wzb- wza- gfndA+ rmlB+ rmlD+ rmlA+ rmlC+ wzx+ wafX+ wzy+ wafY+ wafZ+ wagA+ gnaB+ wagB+weeH+ galU+ ugd+ gpi+ cgmA+ pgm- lldp,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,5,36,"GT2,GT4",
PUL0075,31396168,sequence homology analysis,KC526898.2,537-30586,capsule polysaccharide,wzc- wzb- wza- gfndA+ rmlB+ rmlD+ rmlA+ rmlC+ wzx+ wafX+ wzy+ wafY+ wafZ+ wagA+ gnaB+ wagB+weeH+ galU+ ugd+ gpi+ cgmA+ pgm- lldp,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,5,25,"GT2,GT4,GT2",
PUL0076,31396168,sequence homology analysis,GL636894.1,14883-21327,"capsule polysaccharide,outer core capsule polysaccharide",gtrOC1-pda2-gtrOC18-gtrOC19-gtrOC_A118_1-gtrOC_A118_2-gtrOC21,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,0,yes,7,7,"GT4,CE4",
PUL0077,31396168,sequence homology analysis,KF030679.2,28561-38970,"capsule polysaccharide,outer core capsule polysaccharide",gtrOC1-pda2-gtrOC18-gtrOC19-rmlB-rmlD-rmlA-rmlC-gtrOC20-gtrOC21,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,0,yes,7,11,"GT4,CE4",
PUL0078,8920183,enzyme activity assay,L18965.1,1-6760,"xylan,xylose",ORF1-ORF2-xylR-xynA-ORF5-ORF6,,Caldicellulosiruptor sp. Rt8B.4,28238,degradation,default,default,default,default,1,yes,1,6,CBM22|GH10,
PUL0079,31396168,sequence homology analysis,CP006768,558112-568441,"capsule polysaccharide,outer core capsule polysaccharide",gtrOC1-pda2-gtrOC18-gtrOC19-rmlB-rmlD-rmlA-rmlC-gtrOC20-gtrOC21,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,0,yes,6,16,"CE4,GT4,GT2",
PUL0080,31396168,sequence homology analysis,CP010397,593212-603622,"capsule polysaccharide,outer core capsule polysaccharide",gtrOC1-pda2-gtrOC18-gtrOC19-rmlB-rmlD-rmlA-rmlC-gtrOC20-gtrOC21,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,0,yes,6,12,"CE4,GT4,GT2",
PUL0081,31133029,"qRT-PCR,microarray",BA000032.2,67900-82169,oligogalacturonide,VPA0076-VPA0088,,Vibrio parahaemolyticus,670,degradation,default,default,default,default,1,yes,2,13,"PL9_1,PL22_1|PL22",
PUL0082,31138628,"electrophoretic mobility shift assay,enzyme activity assay",SIWZ01000001.1,3978451-3984965,"melibiose,raffinose-oligosaccharide,stachyose",ytaP-msmR-memE-amyD-amyC-melA,,Bacillus subtilis,1423,degradation,default,default,default,default,1,yes,2,6,GH4,
PUL0083,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000019.1,49158-73811,lignocellulose,cpap_0250-0261 ,,Ruminiclostridium papyrosolvens,29362,degradation,default,default,default,default,0,yes,10,12,"cohesin|CBM3,GH48,GH8,CBM3|GH9,CBM4|CBM30|GH9,CBM3|GH9,CBM3|GH9,GH5_17,GH9,GH5_7,GH5_1",
PUL0084,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000002.1,36152-61034,lignocellulose,cpap_3302-cpap_3314,,Ruminiclostridium papyrosolvens,29362,degradation,default,default,default,default,0,yes,12,12,"GH10|CBM6,GH43_29|GH43|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|GH43|CBM6,GH27|CBM6,GH59|CBM6,GH62|CE6|CBM6,GH95|CBM32,CE1|CBM6,GH30_8|CBM6",
PUL0085,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000019.1,86335-92472,lignocellulose,cpap_0272-0274,,Ruminiclostridium papyrosolvens,29362,degradation,default,default,default,default,0,yes,3,3,"CBM35|GH26,GH9|CBM3,GH9",
PUL0086,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000002.1,63554-69417,lignocellulose,cpap_3318-3320 ,,Ruminiclostridium papyrosolvens,29362,degradation,default,default,default,default,0,yes,3,3,"PL10|PL10_1,CE8,CE12|PL11_1|PL11",
PUL0087,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000007.1,23245-29169,lignocellulose,cpap_1693-1694,,Ruminiclostridium papyrosolvens,29362,degradation,default,default,default,default,0,yes,2,2,"CBM3|GH9,CBM3|GH9",
PUL0088,8764489,Southern Blot,M77351.1,290-10896,"raffinose,melibiose,isomaltotriose",msmR-aga-msmEFG-gtfA-memK-dexB,,Streptococcus mutans,1309,degradation,default,default,default,default,1,yes,3,8,"GH36,GH13_18|GH13",
PUL0089,31338125,"label-free quantitative proteomics,functional enrichment analysis,enzyme activity assay",ACXX02000001.1,231005-233522,lignocellulose,cpap_3849-3850,,Ruminiclostridium papyrosolvens,29362,degradation,default,default,default,default,0,yes,1,2,GH5|GH5_4|CBM79,
PUL0090,31220629,"sequence homology analysis,sugar utilization assay,NMR",EU294173.1,1085-13333,O-antigen,wffw+ wffx+ orf3+ orf4+ wzx+ wzy+ orf7+ wbub+ fnla+ fnlb+ fnlc+ wbuc+ wzz,,Escherichia coli,562,biosynthesis,default,default,default,default,1,yes,4,12,"GT4,GT4,GT4",
PUL0091,31275257,sequence homology analysis,CP000139.1,5083180-5098444,"O-glycan,N-glycan",BVU_4133-BVU_4140,,Bacteroides vulgatus,821,degradation,default,default,default,default,0,yes,6,8,"CE9,GH2,GH92,GH20,GH20,GH2",
PUL0092,31275257,sequence homology analysis,CP000139.1,5092673-5110584,"O-glycan,N-glycan",BVU_4138-BVU_4147,,Bacteroides vulgatus,821,degradation,default,default,default,default,1,yes,4,10,"GH20,GH2,GH20,GH33",
PUL0093,31275257,"fosmid library screen,lectin binding assay",LR131278.1,76-36757,"O-glycan,N-glycan",VDS02490.1-VDS02513.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,7,24,"CE9,GH2,GH92,GH20,GH20,GH2",
PUL0094,31275257,"fosmid library screen,lectin binding assay",LR131279.1,41-41664,"O-glycan,N-glycan",VDS02515.1-VDS02538.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,5,25,"GH27,GH33,GH20,GH2,GH20",
PUL0095,31275257,"fosmid library screen,lectin binding assay",LR131281.1,28-29389,"O-glycan,N-glycan",VDS02568.1-VDS02583.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,5,17,"GH27,GH33,GH20,GH2,GH20",
PUL0096,31275257,"fosmid library screen,lectin binding assay",LR131286.1,29-34237,"O-glycan,N-glycan",VDS02706.1-VDS02727.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,10,22,"GH33,GH20,GH2,GH20,GH20,GH92,GH2,CE9,GH29,GH97",
