Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results
WP_008763947.1	-	GH109(38-189)	-	-	1	-
WP_008763948.1	-	GH188(11-212)	-	-	1	-
WP_008763965.1	-	-	CBM91_e19(79-166)	-	1	-
WP_008763973.1	3.2.1.111:8|3.2.1.51:3|-	GH29(35-330)	GH29_e30(34-338)+CBM32_e126(363-463)	GH29	3	GH29_e30|CBM32_e126
WP_008764019.1	4.2.2.2:1	PL10_1(61-349)	PL10_e13(63-350)	PL10_1	3	PL10_1
WP_008764196.1	-|-	GH29(22-320)	GH29_e74(24-319)+CBM32_e191(346-447)	GH29	3	GH29_e74|CBM32_e191
WP_008764202.1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	GH92(266-759)	GH92_e0(267-760)	GH92	3	GH92_e0
WP_008764235.1	-|-	GH23(129-261)	GH23_e209(129-268)+CBM50_e207(389-430)	CBM50+GH23	3	GH23_e209|CBM50_e207
WP_008764238.1	-	GT19(4-357)	GT19_e2(5-360)	GT19	3	GT19_e2
WP_008764306.1	-	GH38(12-265)	GH38_e23(46-207)	GH38	3	GH38_e23
WP_008764307.1	3.2.1.-:1	GH92(290-772)	GH92_e20(291-773)	GH92	3	GH92_e20
WP_008764308.1	-|-	GH2(70-826)	GH2_e98(39-754)+CBM32_e133(768-878)	CBM32+GH2	3	GH2_e98|CBM32_e133
WP_008764311.1	-	CE1(33-281)	CE1_e22(43-274)	-	2	CE1_e22
WP_008764318.1	-	CE20(102-225)+CE20(415-544)	CE20_e20(103-545)	CE20	3	CE20_e20
WP_008764319.1	3.2.1.113:6|3.2.1.-:1	GH92(235-739)	GH92_e18(236-740)	GH92	3	GH92_e18
WP_008764320.1	3.2.1.-:1	GH92(230-703)	GH92_e26(230-704)	GH92	3	GH92_e26
WP_008764376.1	-	-	-	GH97	1	-
WP_008764387.1	4.2.2.23:2	PL9(20-440)	PL9_e24(24-441)	PL9_1	3	PL9_e24
WP_008764390.1	4.2.2.24:1	PL26(239-1094)	PL26_e0(240-1095)	PL26	3	PL26_e0
WP_008764392.1	4.2.2.23:15|4.2.2.24:5	PL11_1(30-600)	PL11_e0(30-600)	PL11_1	3	PL11_1
WP_008764442.1	3.2.1.23:35	GH2(58-961)	GH2_e1(51-962)	GH2	3	GH2_e1
WP_008764444.1	-	-	CBM32_e18(143-256)	CBM0	2	CBM32_e18
WP_008764450.1	3.2.1.-:2	GH110(27-582)	GH110_e19(30-583)	GH110	3	GH110_e19
WP_008764451.1	-	GH109(18-416)	GH109_e5(18-416)	GH109	3	GH109_e5
WP_008764459.1	-	-	-	GH131	1	-
WP_008764473.1	-	GT4(191-334)	GT4_e2666(191-330)	GT4	3	GT4_e2666
WP_008764493.1	-	GH57(20-327)	GH57_e10(7-325)	GH57	3	GH57_e10
WP_008764525.1	-	GH89(65-729)	GH89_e7(67-729)	GH89	3	GH89_e7
WP_008764572.1	-	-	-	CBM50	1	-
WP_008764608.1	-	GH188(3-152)	-	-	1	-
WP_008764740.1	3.2.1.3:2|3.2.1.20:2	GH97(15-704)	GH97_e22(22-704)	GH97	3	GH97_e22
WP_008764749.1	-	-	-	GH76	1	-
WP_008764765.1	-	-	-	GT1	1	-
WP_008764981.1	-	GH18(66-246)	GH18_e46(67-248)	GH18	3	GH18_e46
WP_008764982.1	-	-	GH18_e101(212-385)	GH18	2	GH18_e101
WP_008765041.1	-	-	GT2(71-201)	-	1	-
WP_008765197.1	-	-	-	GH13_48	1	-
WP_008765249.1	-	GH43_31(48-311)	GH43_e180(48-309)	GH43_31	3	GH43_31
WP_008765260.1	-	-	-	GT2	1	-
WP_008765261.1	-	GT2(13-142)	GT2(9-136)	GT2	3	GT2
WP_008765267.1	-	GT2(8-120)	GT2(9-116)	GT2	3	GT2
WP_008765269.1	-	GT2(4-126)	GT2(5-125)	GT2	3	GT2
WP_008765270.1	-	GT8(5-252)	GT8_e199(6-253)	GT8	3	GT8_e199
WP_008765272.1	-	GT14(4-231)	GT14_e45(5-242)	GT14	3	GT14_e45
WP_008765273.1	-	GT14(4-256)	GT14_e68(5-253)	GT14	3	GT14_e68
WP_008765275.1	-	GT2(9-149)	GT2(10-182)	GT2	3	GT2
WP_008765276.1	-	GT129(211-329)	-	GT129	2	GT129
WP_008765277.1	-	GT4(200-349)	GT4_e408(201-349)	GT4	3	GT4_e408
WP_008765278.1	-	GT4(198-341)	GT4_e161(197-340)	GT0	3	GT4_e161
WP_008765279.1	-	GT4(189-341)	GT4_e3479(190-341)	GT4	3	GT4_e3479
WP_008765332.1	2.4.1.1:9	GT35(272-734)	GT35_e7(126-655)	GT35	3	GT35_e7
WP_008765419.1	-	GT30(43-205)	GT30_e38(46-206)	GT30	3	GT30_e38
WP_008765453.1	-	-	-	CE12	1	-
WP_008765513.1	-	-	-	GH28	1	-
WP_008765523.1	-	-	-	GT1	1	-
WP_008765558.1	-	CE9(5-378)	CE9_e7(6-379)	CE9	3	CE9_e7
WP_008765565.1	3.2.1.20:1	GH97(13-666)	GH97_e10(17-666)	GH97	3	GH97_e10
WP_008765636.1	3.2.1.20:2	GH13_38(35-400)	GH13_e113(34-400)	GH13_38	3	GH13_38
WP_008765716.1	-	-	-	GH78	1	-
WP_008765726.1	-	-	-	GT4	1	-
WP_008765733.1	-	-	CBM50_e801(435-483)	CBM50	2	CBM50_e801
WP_008765759.1	-	GT117(17-237)	-	-	1	-
WP_008765768.1	-	PL29(103-329)	PL29_e7(78-329)	-	2	PL29_e7
WP_008765769.1	-	PL1_2(134-324)	PL1_e77(135-325)	PL1_2	3	PL1_2
WP_008765772.1	3.2.1.-:1	GH2(43-642)	GH2_e50(42-597)	GH2	3	GH2_e50
WP_008765773.1	3.2.1.-:1	GH139(2-802)	GH139_e0(16-801)	GH139	3	GH139_e0
WP_008765774.1	-	CE20(107-367)	CE20_e10(108-368)	CE20	3	CE20_e10
WP_008765808.1	-|3.2.1.40:1	CBM67(200-355)+GH78(395-933)	CBM67_e27(200-351)+GH78_e43(398-934)	GH78	3	CBM67_e27|GH78_e43
WP_008765809.1	3.2.1.185:1|3.2.1.-:1|3.2.1.185:1|3.2.1.-:1	GH143(21-570)+GH142(634-1101)	GH143_e0(26-571)+GH142_e0(634-1100)	GH142+GH143	3	GH143_e0|GH142_e0
WP_008765812.1	-	PL1_2(135-328)	PL1_e77(136-329)	PL1_2	3	PL1_2
WP_008765826.1	-	-	GH18_e50(121-255)	GH18	2	GH18_e50
WP_008765880.1	-|-	GT2(8-182)	GT2(9-183)+GT2(152-241)	GT2	3	GT2|GT2
WP_008765881.1	-	GT2(43-263)	GT2(44-264)	GT2	3	GT2
WP_008765892.1	-	-	GT4_e1235(195-313)	GT0	2	GT4_e1235
WP_008765893.1	-	GT101(57-280)	GT101_e12(58-281)	GT101	3	GT101_e12
WP_008765895.1	-	GT2(42-149)	GT2(43-164)	GT2	3	GT2
WP_008765898.1	-	-	-	AAO76290.1+GT2	1	-
WP_008766013.1	-	-	GT2(7-121)	AAO75580.1+GT2	2	GT2
WP_008766015.1	-	-	GT4_e1438(231-367)	GT0	2	GT4_e1438
WP_008766020.1	-	-	-	GT2	1	-
WP_008766031.1	3.2.1.18:6	CBM93(24-172)+GH33(193-532)	GH33_e121(195-531)	CBM93+GH33	3	CBM93|GH33_e121
WP_008766053.1	-	CE2(149-351)	CE2_e2(150-352)	CE2	3	CE2_e2
WP_008766055.1	-	CE20(103-362)	CE20_e34(104-363)	CE20	3	CE20_e34
WP_008766062.1	-	-	-	CBM93+GH33	1	-
WP_008766156.1	-	GH25(100-275)	GH25_e217(101-276)	GH25	3	GH25_e217
WP_008766169.1	3.2.1.23:3|-	GH35(35-346)	GH35_e43(36-346)+CBM32_e42(701-774)	CBM32+GH35	3	GH35_e43|CBM32_e42
WP_008766190.1	3.2.1.145:1	GH43_24(45-290)	GH43_e146(46-291)	GH43_24	3	GH43_24
WP_008766191.1	-|-	GH43_24(203-376)	GH43_e42(204-381)+CBM32_e51(456-575)	GH43_24	3	GH43_24|CBM32_e51
WP_008766207.1	-	-	-	GT4	1	-
WP_008766215.1	-	-	GT1_e137(21-322)	GT1	2	GT1_e137
WP_008766267.1	-	-	-	GH101	1	-
WP_008766346.1	-	-	-	GT2	1	-
WP_008766584.1	-	GH127(39-620)	GH127_e7(40-621)	GH127	3	GH127_e7
WP_008766598.1	-	GH43_24(52-309)	GH43_e269(54-309)	GH43_24	3	GH43_24
WP_008766599.1	-	GH38(297-568)	GH38_e22(298-569)	GH38	3	GH38_e22
WP_008766732.1	-	-	-	CBM13	1	-
WP_008766740.1	-	GH97(28-645)	GH97_e24(28-646)	GH97	3	GH97_e24
WP_008766744.1	-|-	GH28(193-440)	GH28_e12(194-441)+CBM6_e73(958-1090)	CBM6+GH28	3	GH28_e12|CBM6_e73
WP_008766777.1	-	-	GH18_e24(58-236)	GH18	2	GH18_e24
WP_008766874.1	3.2.1.-:3	GH88(102-416)	GH88_e11(102-417)	GH88	3	GH88_e11
WP_008766895.1	-	CBM32(309-436)	CBM32_e66(310-437)	CBM32	3	CBM32_e66
WP_008766924.1	-	GT119(52-207)+GT119(258-477)	-	GT119	2	GT119|GT119
WP_008766952.1	2.4.1.-:1	GT32(29-103)	GT32_e31(29-103)	GT32	3	GT32_e31
WP_008766953.1	2.4.1.-:1	GT32(20-101)	GT32_e25(21-102)	GT32	3	GT32_e25
WP_008767002.1	3.2.1.54:1|3.2.1.135:1	GH13_46(164-485)	GH13_e102(166-486)	GH13_46	3	GH13_46
WP_008767003.1	3.2.1.3:2|3.2.1.20:2	GH97(12-723)	GH97_e22(18-724)	GH97	3	GH97_e22
WP_008767015.1	3.2.1.-:1	GH105(46-372)	GH105_e39(50-374)	GH105	3	GH105_e39
WP_008767016.1	4.2.2.-:2|3.2.1.-:2	PL42(34-326)	PL42_e0(35-327)	PL42	3	PL42_e0
WP_008767017.1	-	GH43_24(49-304)	GH43_e269(51-305)	GH43_24	3	GH43_24
WP_008767018.1	-|-	GH16_3(29-280)+GH43_24(308-599)	GH16_e36(30-281)+GH43_e236(310-600)	GH16_3+GH43_24	3	GH16_3|GH43_24
WP_008767024.1	3.2.1.-:1	GH154(50-401)	GH154_e20(51-402)	GH154	3	GH154_e20
WP_008767025.1	-	-	-	GH105	1	-
WP_008767026.1	3.2.1.55:3	GH43_34(30-325)	GH43_e159(35-326)	GH43_34	3	GH43_34
WP_008767027.1	3.2.1.185:1	GH127(35-565)	GH127_e4(36-566)	GH127	3	GH127_e4
WP_008767035.1	-	GH29(13-432)	GH29_e82(34-433)	GH29	3	GH29_e82
WP_008767036.1	3.2.1.22:1	GH97(18-637)	GH97_e16(23-637)	GH97	3	GH97_e16
WP_008767043.1	3.2.1.22:1|3.2.1.88:1	GH97(14-643)	GH97_e18(16-644)	GH97	3	GH97_e18
WP_008767047.1	3.2.1.55:2|-|-	GH43_9(26-288)+CBM91(310-485)+GH43_19(537-777)	GH43_e194(26-289)+CBM91_e36(311-485)+GH43_e186(538-793)	CBM91+GH43_19+GH43_9	3	GH43_9|CBM91_e36|GH43_19
WP_008767048.1	3.2.1.55:3	GH43_19(71-296)	GH43_e159(72-303)	GH43_19	3	GH43_19
WP_008767049.1	3.2.1.23:3|-	GH35(36-348)	GH35_e43(37-348)+CBM32_e42(703-772)	CBM32+GH35	3	GH35_e43|CBM32_e42
WP_008767086.1	-	-	-	GT2	1	-
WP_008767094.1	-	-	-	CBM93+GH33	1	-
WP_008767100.1	-	CE20(103-363)	CE20_e40(104-364)	CE20	3	CE20_e40
WP_008767112.1	-	GH177(53-343)	GH109_e2(52-215)	-	2	GH109_e2
WP_008767151.1	-	-	-	GT121	1	-
WP_008767165.1	-	-	-	GT121	1	-
WP_008767170.1	-	GH76(60-399)	GH76_e13(61-395)	GH76	3	GH76_e13
WP_008767173.1	-	GH76(64-405)	GH76_e13(65-404)	GH76	3	GH76_e13
WP_008767181.1	-	GH43_31(46-308)	GH43_e180(46-306)	GH43_31	3	GH43_31
WP_008767184.1	3.2.1.146:1	GH43_3(26-309)	GH43_e310(27-310)	GH43_3	3	GH43_3
WP_008767185.1	-	GH159(32-260)	GH159_e7(34-260)	GH159	3	GH159_e7
WP_008767196.1	-	GH146(50-571)	GH146_e3(51-572)	GH146	3	GH146_e3
WP_008767197.1	-|-	GH43_26(27-326)+GH106(539-1104)	GH43_e80(28-327)+GH106_e18(540-1105)	GH106+GH43_26	3	GH43_26|GH106_e18
WP_008767198.1	3.2.1.-:3	GH88(67-392)	GH88_e11(71-393)	GH88	3	GH88_e11
WP_008767201.1	-	GH154(26-385)	GH154_e17(27-384)	GH154	3	GH154_e17
WP_008767206.1	-	GH105(46-358)	GH105_e29(49-359)	GH105	3	GH105_e29
WP_008767207.1	-	GH2(51-485)	GH2_e14(45-601)	GH2	3	GH2_e14
WP_008767224.1	-	GT4(209-354)	GT4_e994(211-355)	GT4	3	GT4_e994
WP_008767225.1	-	-	GT4_e3623(202-348)	GT4	2	GT4_e3623
WP_008767232.1	-	-	-	GT0	1	-
WP_008767234.1	-	GT4(251-384)	GT4_e1535(241-384)	GT4	3	GT4_e1535
WP_008767236.1	3.2.1.24:1	GH92(410-891)	GH92_e40(413-892)	GH92	3	GH92_e40
WP_008767237.1	3.2.1.101:2	GH76(101-310)	GH76_e42(71-366)	GH76	3	GH76_e42
WP_008767247.1	3.2.1.-:1	GH115(26-777)	GH115_e4(27-778)	GH115	3	GH115_e4
WP_008767248.1	-	GH43_24(48-285)	GH43_e205(49-286)	GH43_24	3	GH43_24
WP_008767250.1	-|-	GH105(48-365)+PL33_2(770-918)	GH105_e29(50-366)+PL33_e4(771-919)	GH105+PL33_2	3	GH105_e29|PL33_2
WP_008767251.1	-	PL8_3(345-597)	PL8_e42(346-597)	PL8_3	3	PL8_3
WP_008767256.1	-	GH2(21-692)	GH2_e108(21-622)	GH2	3	GH2_e108
WP_008767292.1	-	-	CBM32_e47(149-287)	CBM32	2	CBM32_e47
WP_008767299.1	-	GH154(30-392)	GH154_e2(31-393)	GH154	3	GH154_e2
WP_008767322.1	-	GH18(65-311)	GH18_e39(51-312)	GH18	3	GH18_e39
WP_008767323.1	-	-	-	GH29	1	-
WP_008767349.1	-	GH31_14(202-631)	GH31_e15(203-633)	GH31_14	3	GH31_14
WP_008767356.1	-	GH2(39-498)	GH2_e14(42-607)	GH2	3	GH2_e14
WP_008767358.1	3.2.1.55:1	GH43(45-343)	GH43_e30(46-365)	GH43	3	GH43_e30
WP_008767372.1	-	GH43_31(36-305)	GH43_e217(38-305)	GH43_31	3	GH43_31
WP_008767469.1	-	CE4(21-123)	CE4_e140(24-131)	CE4	3	CE4_e140
WP_008767535.1	4.2.2.20:2	PL8_2(618-864)	PL8_e13(619-863)	PL8_2	3	PL8_2
WP_008767539.1	4.2.2.20:1	PL29(345-702)	PL29_e9(346-702)	PL29	3	PL29_e9
WP_008767570.1	-	GT2(11-132)	GT2(12-130)	GT2	3	GT2
WP_008767591.1	-	CE4(32-129)	CE4_e54(33-108)	-	2	CE4_e54
WP_008767592.1	-	GT2(404-556)	GT2(405-548)	GT2	3	GT2
WP_008767593.1	-	-	-	GT2	1	-
WP_008767622.1	-	-	-	GT121	1	-
WP_008767655.1	-	GH43_26(34-343)	GH43_e5(35-343)	GH43_26	3	GH43_26
WP_008767660.1	-	GH177(45-307)	GH109_e7(44-188)	-	2	GH109_e7
WP_008767669.1	-	-	-	GH2	1	-
WP_008767670.1	-	-	-	GH2	1	-
WP_008767687.1	-	GH76(161-474)	GH76_e20(165-476)	GH76	3	GH76_e20
WP_008767695.1	-	-	-	CBM0	1	-
WP_008767698.1	-	GH43_26(36-345)	GH43_e5(37-346)	GH43_26	3	GH43_26
WP_008767711.1	3.2.1.63:1|3.2.1.51:1	GH29(23-355)	GH29_e63(24-356)	GH29	3	GH29_e63
WP_008767763.1	3.2.1.37:15|3.2.1.55:3|3.2.1.21:1	GH3(206-426)	GH3_e88(209-426)	GH3	3	GH3_e88
WP_008767764.1	-	CE20(105-447)	CE20_e1(106-448)	CE20	3	CE20_e1
WP_008767767.1	-	GH2(227-1021)	GH2_e5(236-1009)	GH2	3	GH2_e5
WP_008767768.1	-	-	-	CBM0	1	-
WP_008767782.1	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	GH32(150-439)	GH32_e16(150-452)	GH32	3	GH32_e16
WP_008767789.1	-	-	-	GT2	1	-
WP_008767801.1	-	-	-	GT1	1	-
WP_008767823.1	-	GT4(222-344)	GT4_e2447(222-353)	GT4	3	GT4_e2447
WP_008767894.1	-	GH18(297-533)	GH18_e389(298-534)	GH18	3	GH18_e389
WP_008767964.1	-	-	-	GT2	1	-
WP_009039942.1	-	GH27(521-819)	GH27_e4(522-820)	GH27	3	GH27_e4
WP_009039952.1	-	GT4(185-338)	GT4_e3479(188-338)	GT4	3	GT4_e3479
WP_009039953.1	-	-	GT4_e161(197-340)	GT0	2	GT4_e161
WP_009039954.1	-	GT4(197-347)	GT4_e408(199-347)	GT4	3	GT4_e408
WP_009039956.1	-	GT2(4-180)	GT2(5-177)	AAO75158.1+GT2	3	GT2
WP_011107072.1	-	-	GT2(5-55)	-	1	-
WP_011107074.1	-	GT2(5-141)	GT2(6-163)	GT2	3	GT2
WP_011107075.1	-	GT2(5-111)	GT2(6-117)	-	2	GT2
WP_011107076.1	-	-	-	GT2	1	-
WP_011107077.1	-	GT101(54-287)	GT101_e12(55-288)	GT101	3	GT101_e12
WP_011107129.1	-	PL40(2-902)	PL40_e1(5-906)	PL40	3	PL40_e1
WP_011107138.1	-	GH88(71-395)	GH88_e24(75-396)	GH88	3	GH88_e24
WP_011107146.1	-	GT51(70-227)	GT51_e13(72-227)	GT51	3	GT51_e13
WP_011107153.1	-	-	-	GH39	1	-
WP_011107154.1	-	GH23(302-413)	GH23_e996(303-457)	GH23	3	GH23_e996
WP_011107188.1	-	-	-	PL27	1	-
WP_011107206.1	-	GH141(24-582)	GH141_e0(25-583)	GH141	3	GH141_e0
WP_011107207.1	3.2.1.20:1	GH31_3(283-715)	GH31_e16(284-716)	GH31_3	3	GH31_3
WP_011107210.1	3.2.1.55:27	GH51_1(26-513)	GH51_e19(26-514)	GH51_1	3	GH51_1
WP_011107211.1	3.2.1.185:1	GH146(32-560)	GH146_e0(33-560)	GH146	3	GH146_e0
WP_011107212.1	-	-	-	GH43_3	1	-
WP_011107215.1	3.2.1.99:2	GH43_4(161-529)	GH43_e183(162-530)	GH43_4	3	GH43_4
WP_011107221.1	3.2.1.-:1|3.2.1.99:1	GH43_4(60-372)	GH43_e326(61-373)	GH43_4	3	GH43_4
WP_011107222.1	3.2.1.55:5	GH51_2(198-657)	GH51_e47(187-659)	GH51_2	3	GH51_2
WP_011107229.1	-	-	-	GT4	1	-
WP_011107231.1	-	-	-	GT4	1	-
WP_011107233.1	-	-	-	GT0	1	-
WP_011107241.1	-	GT4(214-357)	GT4_e3066(215-358)	GT4	3	GT4_e3066
WP_011107242.1	-	-	GT4_e4001(198-325)	GT0	2	GT4_e4001
WP_011107244.1	-	GT4(189-337)	GT4_e1576(188-337)	GT4	3	GT4_e1576
WP_011107262.1	-	-	-	GH28	1	-
WP_011107267.1	-	GH89(64-723)	GH89_e5(66-724)	GH89	3	GH89_e5
WP_011107274.1	3.2.1.52:1	GH20(140-412)	GH20_e112(142-413)	AAO75563.1+GH20+3.2.1.52	3	GH20_e112
WP_011107276.1	3.2.1.25:4	GH2(24-780)	GH2_e80(34-740)	GH2	3	GH2_e80
WP_011107277.1	3.2.1.52:18|3.2.1.-:1	GH20(154-509)	GH20_e12(153-510)	GH20	3	GH20_e12
WP_011107278.1	3.2.1.52:18|3.2.1.-:1|-	GH20(151-498)	GH20_e12(150-499)+CBM32_e198(584-675)	GH20	3	GH20_e12|CBM32_e198
WP_011107279.1	3.2.1.23:2	GH2(26-770)	GH2_e137(25-632)	GH2	3	GH2_e137
WP_011107280.1	-	-	-	GT2	1	-
WP_011107288.1	-	-	GT4_e1427(212-339)	GT4	2	GT4_e1427
WP_011107289.1	-|-	GT2(5-150)	GT2(6-144)+GT2(84-228)	GT2	3	GT2|GT2
WP_011107301.1	3.2.1.52:18|3.2.1.-:1	GH20(153-509)	GH20_e12(152-510)	GH20	3	GH20_e12
WP_011107319.1	-	-	-	GH89	1	-
WP_011107334.1	-|-|-	-	CBM50_e831(33-74)+CBM50_e831(87-129)+CBM50_e831(161-203)	CBM50	2	CBM50_e831|CBM50_e831|CBM50_e831
WP_011107338.1	-	CE1(446-688)	-	-	1	-
WP_011107343.1	-	-	-	GT4	1	-
WP_011107345.1	-	-	-	GT0	1	-
WP_011107353.1	-	GT94(104-305)	GT94_e2(93-377)	GT4	3	GT94_e2
WP_011107354.1	-	-	GT4_e2546(235-362)	GT4	2	GT4_e2546
WP_011107394.1	-	CE9(5-378)	CE9_e7(6-379)	CE9	3	CE9_e7
WP_011107423.1	-	-	-	GH24	1	-
WP_011107424.1	-	-	-	GH13_11	1	-
WP_011107425.1	-	GT51(56-244)	GT51_e160(58-245)	GT51	3	GT51_e160
WP_011107432.1	3.2.1.31:1	GH2(27-596)	GH2_e122(27-614)	GH2	3	GH2_e122
WP_011107440.1	2.4.1.18:166|2.4.1.18:50	GH13_8(194-514)	CBM48_e32(54-136)+GH13_e20(221-512)	AAO75878.1+GH13_8	3	CBM48_e32|GH13_8
WP_011107458.1	-	-	-	GT1	1	-
WP_011107472.1	-	-	-	GT2	1	-
WP_011107501.1	-	CBM32(306-432)	CBM32_e10(307-433)	CBM32	3	CBM32_e10
WP_011107525.1	-	-	-	GT2	1	-
WP_011107553.1	3.2.1.-:1|3.2.1.23:1	GH2(40-830)	GH2_e106(41-831)	GH2	3	GH2_e106
WP_011107554.1	3.2.1.23:35	GH2(52-976)	GH2_e1(45-977)	GH2	3	GH2_e1
WP_011107562.1	3.2.1.51:1	GH141(21-581)	GH141_e22(22-581)	GH141	3	GH141_e22
WP_011107563.1	3.2.1.-:2	GH127(44-607)	GH127_e5(45-608)	GH127	3	GH127_e5
WP_011107571.1	3.2.1.-:1	GH105(49-396)	GH105_e2(51-397)	GH105	3	GH105_e2
WP_011107572.1	3.2.1.-:1	GH140(36-462)	GH140_e1(38-463)	GH140	3	GH140_e1
WP_011107573.1	3.2.1.40:1|3.2.1.40:1|3.2.1.-:1|3.2.1.40:1|3.2.1.-:1	CBM67(144-329)+GH78(357-887)+GH33(920-1275)	CBM67_e28(143-328)+GH78_e2(357-887)+GH33_e82(922-1273)	GH33+GH78	3	CBM67_e28|GH78_e2|GH33_e82
WP_011107577.1	3.1.1.11:1	CE19(118-449)	CE19_e0(120-446)	CE19	3	CE19_e0
WP_011107578.1	3.2.1.67:1	GH28(53-421)	GH28_e10(53-420)	GH28	3	GH28_e10
WP_011107585.1	3.2.1.24:1	GH92(269-755)	GH92_e13(270-755)	GH92	3	GH92_e13
WP_011107586.1	2.4.1.319:4|2.4.1.320:2	GH130_2(19-317)	GH130_e13(20-317)	GH130_2	3	GH130_2
WP_011107588.1	3.2.1.-:1	GH163(197-451)	GH163_e7(199-450)	GH163	3	GH163_e7
WP_011107598.1	3.2.1.52:18|3.2.1.-:1	GH20(154-507)	GH20_e12(152-508)	AAO76158.1+GH20	3	GH20_e12
WP_011107641.1	-	-	GT94_e7(58-204)	GT0	2	GT94_e7
WP_011107643.1	-	GT4(208-353)	GT4_e1077(206-354)	GT4	3	GT4_e1077
WP_011107650.1	-	GT51(60-223)	GT51_e158(61-223)	GT51	3	GT51_e158
WP_011107660.1	-	-	-	GT30	1	-
WP_011107662.1	-	-	-	GT2	1	-
WP_011107687.1	-	-	-	GH0	1	-
WP_011107692.1	2.4.1.1:9	GT35(270-716)	GT35_e7(126-654)	GT35	3	GT35_e7
WP_011107693.1	-	GT3(13-347)	GT3_e2(15-349)	GT3	3	GT3_e2
WP_011107711.1	-	-	-	CE8	1	-
WP_011107719.1	-	-	GT2(7-186)	GT2	2	GT2
WP_011107720.1	-	-	-	GT2	1	-
WP_011107722.1	-	GT122(31-334)	-	GT122	2	GT122
WP_011107723.1	-	GT4(189-330)	GT4_e3628(193-302)	GT4	3	GT4_e3628
