Annotate Name	Annotate Length	Target Name	Target Length	i-Evalue	Annotate From	Annotate To	Target From	Target To	Coverage	Annotate File Name	Type
HTH_18	81	PUL0229|ABV90480.1	522	3.2866672937624052e-18	2	80	439	516	0.9753086419753086	STP	STP
9.B.33.1.1	589	PUL0229|ABV90481.1	572	1.77e-18	319	574	319	566	43.4	TC	TC
dCache_1	249	PUL0229|ABV90481.1	572	4.46011032061026e-07	21	205	60	228	0.7429718875502008	STP	STP
HATPase_c	111	PUL0229|ABV90481.1	572	6.958072162696674e-07	10	110	469	568	0.90990990990991	STP	STP
3.A.1.1.29	570	PUL0229|ABV90482.2	570	0.0	1	570	1	570	100.0	TC	TC
3.A.1.1.29	323	PUL0229|ABV90483.1	323	1.8799999999999999e-230	1	323	1	323	100.0	TC	TC
3.A.1.1.29	306	PUL0229|ABV90484.1	306	1.2e-213	1	306	1	306	100.0	TC	TC
S1_7	891	PUL0229|ABV90486.1	341	2.37e-84	54	385	30	327	87.4	SULFATLAS	Sulfatase
S1_8	1040	PUL0229|ABV90487.1	521	6.010000000000001e-21	505	986	2	465	89.1	SULFATLAS	Sulfatase
1.B.14.6.17	1041	PUL0262|ALJ61513.1	1044	1.11e-75	27	1039	31	1042	96.9	TC	TC
I39.UPW	163	PUL0262|ALJ61515.1	942	1.87e-44	2	163	17	180	17.4	PEPTIDASE	Peptidase
S1_7	891	PUL0262|ALJ61519.1	371	2.9e-97	2	383	4	362	96.8	SULFATLAS	Sulfatase
S09.UPW	229	PUL0262|ALJ61521.1	293	1.85e-89	1	228	37	270	79.9	PEPTIDASE	Peptidase
S1_11	1268	PUL0262|ALJ61522.1	1074	1.28e-206	42	755	281	1003	67.3	SULFATLAS	Sulfatase
9.B.34.1.7	802	PUL0262|ALJ61524.1	1370	3.47e-27	321	659	830	1200	27.1	TC	TC
0036286	54	PUL0262|ALJ61524.1	1370	2.017331797854405e-05	2	51	1251	1301	0.925925925925926	TF	TF
0035607	54	PUL0262|ALJ61524.1	1370	1.9615842519613573e-07	2	52	1304	1352	0.9444444444444444	TF	TF
Reg_prop	24	PUL0262|ALJ61524.1	1370	9.871756129535448e-05	1	23	580	602	0.9583333333333334	STP	STP
Y_Y_Y	66	PUL0262|ALJ61524.1	1370	7.248579529856533e-13	2	65	719	778	0.9696969696969696	STP	STP
HisKA	64	PUL0262|ALJ61524.1	1370	4.787395485479469e-13	2	64	830	894	0.984375	STP	STP
HATPase_c	111	PUL0262|ALJ61524.1	1370	3.1198882560556214e-22	2	110	941	1061	0.981981981981982	STP	STP
Response_reg	112	PUL0262|ALJ61524.1	1370	1.7097084178687818e-27	1	110	1107	1216	0.9821428571428572	STP	STP
HTH_18	81	PUL0262|ALJ61524.1	1370	1.326910244840428e-19	1	79	1275	1352	0.9753086419753086	STP	STP
1.B.14.6.1	1038	PUL0263|ALJ61543.1	1050	6.96e-154	14	1038	1	1050	100.0	TC	TC
9.B.238.3.2	511	PUL0263|ALJ61544.1	1367	9.19e-22	252	474	819	1045	16.6	TC	TC
0035607	54	PUL0263|ALJ61544.1	1367	8.052837055114245e-10	2	52	1314	1362	0.9444444444444444	TF	TF
Y_Y_Y	66	PUL0263|ALJ61544.1	1367	2.2955563537511224e-14	2	54	716	768	0.803030303030303	STP	STP
HisKA	64	PUL0263|ALJ61544.1	1367	3.18245478942509e-11	2	64	829	893	0.984375	STP	STP
HATPase_c	111	PUL0263|ALJ61544.1	1367	3.639874283089176e-21	6	110	944	1060	0.945945945945946	STP	STP
Response_reg	112	PUL0263|ALJ61544.1	1367	8.888130171616542e-27	1	111	1117	1227	0.9910714285714286	STP	STP
HTH_18	81	PUL0263|ALJ61544.1	1367	3.1120843871316494e-22	1	79	1285	1362	0.9753086419753086	STP	STP
LacI	46	PUL0274|ACS45888.1	334	8.863297883002964e-10	2	44	8	50	0.9347826086956522	TF	TF
Peripla_BP_3	164	PUL0274|ACS45888.1	334	4.831505894787911e-41	1	164	170	330	1.0	STP	STP
SBP_bac_1	315	PUL0274|ACS45889.1	425	2.0352499293020955e-40	4	315	45	344	0.9904761904761904	STP	STP
3.A.1.1.7	300	PUL0274|ACS45890.1	352	2.04e-43	23	291	38	311	77.8	TC	TC
3.A.1.1.18	307	PUL0274|ACS45891.1	289	1.7300000000000002e-47	46	307	31	288	89.3	TC	TC
S1_25	964	PUL0274|ACS45893.1	641	6.28e-24	21	206	3	185	28.5	SULFATLAS	Sulfatase
S09.UPW	343	PUL0274|ACS45894.1	387	2.02e-252	12	343	1	332	85.8	PEPTIDASE	Peptidase
S1_8	1040	PUL0274|ACS45895.1	519	2.58e-22	515	921	5	387	73.8	SULFATLAS	Sulfatase
HTH_IclR	52	PUL0274|ACS45897.1	411	2.087494193017461e-07	8	49	20	61	0.8076923076923077	STP	STP
1.B.14.6.17	1041	PUL0289|ABQ06882.1	1002	2.05e-131	27	1041	23	1002	97.8	TC	TC
9.B.238.3.6	642	PUL0289|ABQ06883.1	1373	6.960000000000001e-21	398	627	843	1078	17.2	TC	TC
HTH_AraC	42	PUL0289|ABQ06883.1	1373	3.919728232097447e-06	7	35	1338	1367	0.6904761904761905	TF	TF
Reg_prop	24	PUL0289|ABQ06883.1	1373	9.71183527483798e-05	2	23	81	102	0.9166666666666666	STP	STP
Reg_prop	24	PUL0289|ABQ06883.1	1373	2.399517740444084e-05	1	23	449	471	0.9583333333333334	STP	STP
Y_Y_Y	66	PUL0289|ABQ06883.1	1373	3.9622658583486793e-19	1	65	728	791	0.9848484848484848	STP	STP
HisKA	64	PUL0289|ABQ06883.1	1373	1.3279483430706166e-12	2	61	847	911	0.9375	STP	STP
HATPase_c	111	PUL0289|ABQ06883.1	1373	2.667204499564276e-20	2	109	961	1084	0.972972972972973	STP	STP
Response_reg	112	PUL0289|ABQ06883.1	1373	8.624353146805888e-24	1	109	1131	1239	0.9732142857142856	STP	STP
HTH_18	81	PUL0289|ABQ06883.1	1373	3.57310238185668e-20	1	77	1296	1371	0.9506172839506172	STP	STP
S1_15	1469	PUL0289|ABQ06885.1	864	6.700000000000001e-71	647	1465	33	860	95.8	SULFATLAS	Sulfatase
S1_17	820	PUL0289|ABQ06889.1	560	1.02e-13	591	819	28	276	44.5	SULFATLAS	Sulfatase
S09.UPW	218	PUL0289|ABQ06889.1	560	7.96e-123	1	218	312	529	38.9	PEPTIDASE	Peptidase
1.B.14.6.17	1041	PUL0289|ABQ06893.1	1030	1.76e-105	6	1041	11	1030	99.0	TC	TC
LacI	46	PUL0294|PKD09595.1	346	1.5305772566568328e-10	2	44	17	59	0.9347826086956522	TF	TF
Peripla_BP_3	164	PUL0294|PKD09595.1	346	1.0196699545537498e-42	1	164	178	339	1.0	STP	STP
S1_7	1252	PUL0294|PKD09793.1	659	1.56e-100	27	620	2	487	73.7	SULFATLAS	Sulfatase
3.A.1.1.25	280	PUL0294|PKD09797.1	298	1.1300000000000001e-43	9	280	31	298	89.9	TC	TC
3.A.1.1.25	291	PUL0294|PKD09798.1	350	1.89e-45	12	285	28	304	79.1	TC	TC
SBP_bac_1	315	PUL0294|PKD09799.1	437	5.621679035322542e-41	3	315	53	356	0.9936507936507936	STP	STP
S1_4	1386	PUL0328|APU67021.1	813	1.09e-159	608	1207	225	811	72.2	SULFATLAS	Sulfatase
S1_22	825	PUL0328|APU67022.1	380	5.570000000000002e-116	476	822	31	376	91.1	SULFATLAS	Sulfatase
S1_22	1037	PUL0328|APU67023.1	366	1.79e-67	483	798	42	356	86.1	SULFATLAS	Sulfatase
S1_22	1220	PUL0328|APU67024.1	606	4.24e-199	649	1208	34	592	92.2	SULFATLAS	Sulfatase
S1_7	877	PUL0328|APU67025.1	391	6.630000000000001e-132	503	874	18	385	94.1	SULFATLAS	Sulfatase
1.B.14.6.17	1041	PUL0328|APU67028.1	1046	7.14e-92	31	1039	35	1044	96.6	TC	TC
S1_7	1802	PUL0329|APU67041.1	516	1.4200000000000001e-43	1283	1753	28	472	86.2	SULFATLAS	Sulfatase
S1_4	910	PUL0329|APU67043.1	370	4.13e-96	547	907	12	367	96.2	SULFATLAS	Sulfatase
S1_7	1217	PUL0329|APU67044.1	648	1.17e-52	256	487	413	644	35.8	SULFATLAS	Sulfatase
S1_7	1231	PUL0329|APU67045.1	391	1.4100000000000001e-33	609	863	73	382	79.3	SULFATLAS	Sulfatase
1.B.14.6.17	1041	PUL0329|APU67046.1	1041	2.07e-124	14	1024	16	997	94.3	TC	TC
0036955	59	PUL0329|APU67054.1	359	1.0232838342723214e-14	2	58	6	62	0.9661016949152542	TF	TF
Peripla_BP_3	164	PUL0329|APU67054.1	359	1.4246583925485023e-31	2	164	176	339	0.9939024390243902	STP	STP
S1_7	1851	PUL0329|APU67056.1	735	2.3e-90	358	1106	32	724	94.3	SULFATLAS	Sulfatase
1.A.115.1.5	250	PUL0329|APU67058.1	247	5.24e-35	8	248	5	244	97.2	TC	TC
S1_7	891	PUL0329|APU67060.1	382	1.41e-75	16	388	37	370	87.4	SULFATLAS	Sulfatase
S09.UNW	253	PUL0329|APU67062.1	439	1.53e-74	1	252	194	433	54.7	PEPTIDASE	Peptidase
2.A.21.3.19	564	PUL0329|APU67065.1	539	2.28e-184	1	549	4	522	96.3	TC	TC
3.A.23.1.1	530	PUL0335|SIP56312.1	453	4.13e-54	165	530	113	451	74.8	TC	TC
Response_reg	112	PUL0335|SIP56312.1	453	5.758073423342709e-26	1	112	2	116	1.0	STP	STP
AAA	132	PUL0335|SIP56312.1	453	1.2495362438687174e-07	1	121	165	295	0.9166666666666666	STP	STP
HTH_8	42	PUL0335|SIP56312.1	453	9.075200605016832e-16	1	42	405	446	1.0	STP	STP
Glyoxalase	128	PUL0335|SIP56314.1	170	2.0431259101893583e-14	2	119	38	153	0.921875	STP	STP
3.B.1.1.2	509	PUL0335|SIP56315.1	517	7.85e-218	1	509	1	517	100.0	TC	TC
3.B.1.1.7	149	PUL0335|SIP56317.1	144	5.01e-12	2	126	3	121	82.6	TC	TC
3.B.1.1.2	373	PUL0335|SIP56318.1	386	1.71e-127	15	370	19	385	95.1	TC	TC
TPR_1	34	PUL0335|SIP56319.1	450	2.648351984579488e-07	2	34	83	115	0.9705882352941176	STP	STP
8.A.9.1.3	692	PUL0335|SIP56320.1	616	1.67e-20	80	167	163	254	14.9	TC	TC
M48.UNW	189	PUL0335|SIP56325.1	508	1.6600000000000002e-125	1	189	138	326	37.2	PEPTIDASE	Peptidase
M20.003	396	PUL0335|SIP56327.1	407	1.93e-291	1	396	12	407	97.3	PEPTIDASE	Peptidase
C44.UNW	233	PUL0335|SIP56328.1	470	4.57e-164	1	233	2	234	49.6	PEPTIDASE	Peptidase
0035607	54	PUL0335|SIP56329.1	268	3.763957259325632e-06	9	52	226	267	0.8148148148148148	TF	TF
AraC_binding	136	PUL0335|SIP56329.1	268	6.953236502549389e-05	28	78	29	78	0.375	STP	STP
HTH_18	81	PUL0335|SIP56329.1	268	2.0340634286617692e-14	1	79	190	267	0.9753086419753086	STP	STP
Fer4	24	PUL0335|SIP56330.1	313	1.0266600908102452e-05	5	21	227	243	0.7083333333333334	STP	STP
1.A.43.1.1	127	PUL0335|SIP56333.1	125	3.49e-22	1	112	1	117	93.6	TC	TC
S1_7	2094	PUL0335|SIP56336.1	750	1.29e-119	364	1098	31	738	94.4	SULFATLAS	Sulfatase
1.B.14.6.17	1041	PUL0335|SIP56341.1	631	3.01e-87	459	1041	42	631	93.5	TC	TC
1.A.43.1.1	127	PUL0336|SIP56342.1	125	3.49e-22	1	112	1	117	93.6	TC	TC
S1_7	2094	PUL0336|SIP56345.1	747	1.18e-119	364	1098	28	735	94.8	SULFATLAS	Sulfatase
1.B.14.6.17	1041	PUL0336|SIP56350.1	1050	5.99e-174	9	1041	2	1050	99.9	TC	TC
Y_Y_Y	66	PUL0336|SIP56351.1	983	9.658168042307742e-09	4	65	702	758	0.9393939393939394	STP	STP
4.D.1.1.13	322	PUL0336|SIP56353.1	317	7.97e-47	10	314	3	317	99.4	TC	TC
2.A.107.1.2	184	PUL0336|SIP56356.1	192	2.44e-33	4	183	4	192	98.4	TC	TC
2.A.7.34.3	122	PUL0336|SIP56358.1	122	4.74e-75	1	122	1	122	100.0	TC	TC
TPR_2	34	PUL0336|SIP56360.1	476	6.096602506629483e-05	7	34	25	52	0.8235294117647058	STP	STP
9.A.8.1.2	642	PUL0336|SIP56364.1	464	2.16e-09	4	204	222	423	43.5	TC	TC
0036286	54	PUL0336|SIP56365.1	566	5.427360594958819e-05	5	49	465	510	0.8333333333333334	TF	TF
HTH_AraC	42	PUL0336|SIP56365.1	566	9.677462151072152e-09	2	41	526	563	0.9523809523809524	TF	TF
Response_reg	112	PUL0336|SIP56365.1	566	3.855399569163063e-19	1	110	315	424	0.9821428571428572	STP	STP
HTH_18	81	PUL0336|SIP56365.1	566	2.972277818429956e-17	1	80	486	564	0.9876543209876544	STP	STP
2.A.1.36.3	394	PUL0336|SIP56366.1	391	1.16e-72	3	382	6	385	97.2	TC	TC
Aminotran_1_2	363	PUL0337|SIP56368.1	428	3.3069165474261955e-10	18	238	37	227	0.6088154269972452	STP	STP
GerE	57	PUL0337|SIP56370.1	220	3.158661506125764e-18	2	57	152	207	0.9824561403508772	TF	TF
Response_reg	112	PUL0337|SIP56370.1	220	1.452472704844385e-06	2	111	5	116	0.9821428571428572	STP	STP
GerE	57	PUL0337|SIP56370.1	220	3.158661506125764e-18	2	57	152	207	0.9824561403508772	STP	STP
2.A.35.1.6	453	PUL0337|SIP56372.1	478	6.83e-87	1	451	1	465	97.3	TC	TC
2.A.1.36.3	394	PUL0337|SIP56373.1	391	1.16e-72	3	382	6	385	97.2	TC	TC
0036286	54	PUL0337|SIP56374.1	566	5.427360594958819e-05	5	49	465	510	0.8333333333333334	TF	TF
HTH_AraC	42	PUL0337|SIP56374.1	566	9.677462151072152e-09	2	41	526	563	0.9523809523809524	TF	TF
Response_reg	112	PUL0337|SIP56374.1	566	3.855399569163063e-19	1	110	315	424	0.9821428571428572	STP	STP
HTH_18	81	PUL0337|SIP56374.1	566	2.972277818429956e-17	1	80	486	564	0.9876543209876544	STP	STP
9.A.8.1.2	642	PUL0337|SIP56375.1	464	2.16e-09	4	204	222	423	43.5	TC	TC
TPR_2	34	PUL0337|SIP56379.1	476	6.096602506629483e-05	7	34	25	52	0.8235294117647058	STP	STP
2.A.7.34.3	122	PUL0337|SIP56381.1	122	4.74e-75	1	122	1	122	100.0	TC	TC
2.A.107.1.2	184	PUL0337|SIP56383.1	192	2.44e-33	4	183	4	192	98.4	TC	TC
4.D.1.1.13	322	PUL0337|SIP56386.1	317	7.97e-47	10	314	3	317	99.4	TC	TC
Y_Y_Y	66	PUL0337|SIP56388.1	983	9.658168042307742e-09	4	65	702	758	0.9393939393939394	STP	STP
1.B.14.6.17	1041	PUL0337|SIP56389.1	1050	5.99e-174	9	1041	2	1050	99.9	TC	TC
S1_7	2094	PUL0337|SIP56394.1	747	1.18e-119	364	1098	28	735	94.8	SULFATLAS	Sulfatase
2.A.1.36.3	394	PUL0338|SIP56396.1	391	1.16e-72	3	382	6	385	97.2	TC	TC
0036286	54	PUL0338|SIP56397.1	566	5.427360594958819e-05	5	49	465	510	0.8333333333333334	TF	TF
HTH_AraC	42	PUL0338|SIP56397.1	566	9.677462151072152e-09	2	41	526	563	0.9523809523809524	TF	TF
Response_reg	112	PUL0338|SIP56397.1	566	3.855399569163063e-19	1	110	315	424	0.9821428571428572	STP	STP
HTH_18	81	PUL0338|SIP56397.1	566	2.972277818429956e-17	1	80	486	564	0.9876543209876544	STP	STP
9.A.8.1.2	642	PUL0338|SIP56398.1	464	2.16e-09	4	204	222	423	43.5	TC	TC
TPR_2	34	PUL0338|SIP56402.1	476	6.096602506629483e-05	7	34	25	52	0.8235294117647058	STP	STP
2.A.7.34.3	122	PUL0338|SIP56404.1	122	4.74e-75	1	122	1	122	100.0	TC	TC
2.A.107.1.2	184	PUL0338|SIP56406.1	192	2.44e-33	4	183	4	192	98.4	TC	TC
4.D.1.1.13	322	PUL0338|SIP56409.1	317	7.97e-47	10	314	3	317	99.4	TC	TC
Y_Y_Y	66	PUL0338|SIP56411.1	983	9.658168042307742e-09	4	65	702	758	0.9393939393939394	STP	STP
1.B.14.6.17	1041	PUL0338|SIP56412.1	1050	5.99e-174	9	1041	2	1050	99.9	TC	TC
S1_7	2094	PUL0338|SIP56417.1	747	1.18e-119	364	1098	28	735	94.8	SULFATLAS	Sulfatase
1.A.43.1.1	127	PUL0338|SIP56420.1	125	3.49e-22	1	112	1	117	93.6	TC	TC
Fer4	24	PUL0338|SIP56423.1	313	1.0266600908102452e-05	5	21	227	243	0.7083333333333334	STP	STP
0035607	54	PUL0338|SIP56424.1	268	3.763957259325632e-06	9	52	226	267	0.8148148148148148	TF	TF
AraC_binding	136	PUL0338|SIP56424.1	268	6.953236502549389e-05	28	78	29	78	0.375	STP	STP
HTH_18	81	PUL0338|SIP56424.1	268	2.0340634286617692e-14	1	79	190	267	0.9753086419753086	STP	STP
C44.UNW	233	PUL0338|SIP56425.1	470	4.57e-164	1	233	2	234	49.6	PEPTIDASE	Peptidase
M20.003	396	PUL0338|SIP56426.1	407	1.93e-291	1	396	12	407	97.3	PEPTIDASE	Peptidase
M48.UNW	189	PUL0338|SIP56428.1	508	1.6600000000000002e-125	1	189	138	326	37.2	PEPTIDASE	Peptidase
1.A.43.1.13	123	PUL0339|SIP56438.1	131	6.799999999999999e-23	1	116	1	117	89.3	TC	TC
S1_7	2094	PUL0339|SIP56440.1	750	3.2e-115	336	1098	5	738	97.9	SULFATLAS	Sulfatase
M57.UPW	226	PUL0339|SIP56441.1	446	3.76e-19	4	226	45	255	47.3	PEPTIDASE	Peptidase
S1_19	727	PUL0339|SIP56442.1	496	2.1500000000000007e-21	459	727	238	494	51.8	SULFATLAS	Sulfatase
1.B.14.6.17	1041	PUL0339|SIP56445.1	1084	7.4e-151	9	1041	2	1084	99.9	TC	TC
0038753	71	PUL0339|SIP56448.1	233	3.3700602859621546e-12	2	70	154	222	0.971830985915493	TF	TF
cNMP_binding	88	PUL0339|SIP56448.1	233	2.1359230733788976e-15	2	88	37	124	0.9886363636363636	STP	STP
S1_16	982	PUL0339|SIP56449.1	814	9.74e-143	36	547	27	556	65.1	SULFATLAS	Sulfatase
Pyr_redox_2	292	PUL0339|SIP56450.1	315	1.625520038916802e-46	2	292	7	298	0.9965753424657534	STP	STP
3.A.12.1.1	787	PUL0339|SIP56452.1	830	3.76e-120	309	776	334	815	58.1	TC	TC
S1_15	1469	PUL0342|WP_013064096.1	861	2.05e-81	634	1460	20	851	96.6	SULFATLAS	Sulfatase
9.B.238.3.2	511	PUL0342|WP_013064354.1	1334	3.68e-30	255	486	804	1029	16.9	TC	TC
0036286	54	PUL0342|WP_013064354.1	1334	1.7220060927146442e-08	3	53	1228	1279	0.9444444444444444	TF	TF
0035607	54	PUL0342|WP_013064354.1	1334	3.117005567693498e-09	2	53	1280	1329	0.9629629629629628	TF	TF
Y_Y_Y	66	PUL0342|WP_013064354.1	1334	2.350373478216368e-05	2	64	700	758	0.9545454545454546	STP	STP
HisKA	64	PUL0342|WP_013064354.1	1334	7.955360640719684e-14	2	64	811	875	0.984375	STP	STP
HATPase_c	111	PUL0342|WP_013064354.1	1334	2.200269589112581e-22	3	109	923	1030	0.963963963963964	STP	STP
Response_reg	112	PUL0342|WP_013064354.1	1334	3.729386479993693e-25	2	110	1084	1192	0.9732142857142856	STP	STP
HTH_18	81	PUL0342|WP_013064354.1	1334	7.31697886216096e-26	1	80	1251	1329	0.9876543209876544	STP	STP
S1_15	994	PUL0342|WP_013064354.1	1334	1.35e-16	248	473	811	1033	16.7	SULFATLAS	Sulfatase
S1_11	1268	PUL0342|WP_013064566.1	821	3.38e-198	23	760	4	756	91.7	SULFATLAS	Sulfatase
S1_7	891	PUL0342|WP_013065621.1	726	2.42e-70	15	389	25	367	47.2	SULFATLAS	Sulfatase
S09.UNW	210	PUL0342|WP_013065621.1	726	5.4e-150	1	210	505	714	28.9	PEPTIDASE	Peptidase
SBP_bac_1	315	PUL0342|WP_080517213.1	468	6.057410887323883e-07	13	310	80	347	0.946031746031746	STP	STP
9.B.238.3.2	511	PUL0345|EDV05050.1	1364	2.93e-22	252	474	819	1045	16.6	TC	TC
0035607	54	PUL0345|EDV05050.1	1364	8.032031844270401e-10	2	52	1311	1359	0.9444444444444444	TF	TF
Y_Y_Y	66	PUL0345|EDV05050.1	1364	5.157572041615765e-13	2	54	716	768	0.803030303030303	STP	STP
HisKA	64	PUL0345|EDV05050.1	1364	3.174288168971662e-11	2	64	829	893	0.984375	STP	STP
HATPase_c	111	PUL0345|EDV05050.1	1364	4.812501736448055e-22	6	110	944	1060	0.945945945945946	STP	STP
Response_reg	112	PUL0345|EDV05050.1	1364	8.863439650331053e-27	1	111	1114	1224	0.9910714285714286	STP	STP
HTH_18	81	PUL0345|EDV05050.1	1364	3.1038889701218847e-22	1	79	1282	1359	0.9753086419753086	STP	STP
1.B.14.6.1	1038	PUL0345|EDV05051.1	1046	5.61e-162	14	1038	1	1046	100.0	TC	TC
S1_7	1217	PUL0345|EDV05057.1	556	1.78e-31	13	303	16	299	51.1	SULFATLAS	Sulfatase
2.A.2.3.4	460	PUL0345|EDV05058.1	498	1.16e-85	3	431	5	478	95.2	TC	TC
S1_7	891	PUL0345|EDV05059.1	910	1.12e-94	4	394	5	372	40.4	SULFATLAS	Sulfatase
