Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
AMN69_RS19175	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(25-313)+CBM6(338-461)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
AMN69_RS19180	3.2.1.23:2	GH2(22-598)	GH2_e127	GH2	3
AMN69_RS19185	3.2.1.23:2|3.2.1.-:1	GH2(23-645)	GH2_e145	GH2	3
AMN69_RS19190	3.2.1.22:1|3.2.1.88:1	GH97(3-656)	GH97_e18	GH97	3
AMN69_RS19200	-	GH146(36-546)	GH146_e13	GH146	3
AMN69_RS19205	-	GH31_4(324-753)	GH31_e92	GH31	3
AMN69_RS19210	3.2.1.23:2	GH2(23-731)	GH2_e127	GH2	3
AMN69_RS19215	3.2.1.177:4	GH31_4(206-704)	GH31_e94	GH31	3
AMN69_RS19220	3.2.1.111:8|3.2.1.51:3|-|-	GH29(38-347)+CBM32(583-699)	GH29_e30+CBM32_e126+CBM32_e126	GH29	3
AMN69_RS19225	-	GH43_35(9-346)	GH43_e68	GH43_35	3
AMN69_RS19240	3.2.1.55:2|-	GH43_9(38-305)	GH43_e194+CBM91_e0	GH43_9	3
AMN69_RS19245	3.2.1.88:1	GH27(185-428)	GH27_e28	GH27	3
AMN69_RS19255	3.2.1.8:4	GH10(425-682)	GH10_e5	GH10	3
AMN69_RS24440	3.2.1.177:4	GH31_4(221-710)	GH31_e94	GH31	3
AMN69_RS24445	3.2.1.131:6	GH115(43-668)	GH115_e0	GH115	3
AMN69_RS24455	3.2.1.23:2	GH2(21-600)	GH2_e127	GH2	3
AMN69_RS24460	3.2.1.131:6	GH115(36-827)	GH115_e0	GH115	3
AMN69_RS24470	3.2.1.8:4	GH10(321-541)	GH10_e5	GH10	3
AMN69_RS24505	-	GH177(44-308)	GH109_e7	-	2
AMN69_RS24545	-	GH43_29(17-307)	GH43_e90	GH43_29	3
AMN69_RS24550	-	GH31_4(320-749)	GH31_e92	GH31	3
AMN69_RS24555	3.2.1.-:3|3.2.1.63:2	GH95(22-744)	GH95_e1	GH95	3
AMN69_RS24570	3.2.1.111:8|3.2.1.51:3|-|-	GH29(34-346)+CBM32(576-687)	GH29_e30+CBM32_e126+CBM32_e126	GH29	3
AMN69_RS26285	3.2.1.162:2	GH150(23-940)	GH150_e0	GH150	3
AMN69_RS26290	-	GH150(38-903)	GH150_e1	GH150	3
AMN69_RS26310	-	GH2(21-631)	GH2_e49	GH2	3
AMN69_RS26360	-	GH110(238-604)	GH110_e15	GH110	3
AMN69_RS26820	3.2.1.55:2|-	GH43_9(38-305)	GH43_e194+CBM91_e0	GH43_9	3
AMN69_RS26830	3.2.1.51:6	GH29(14-362)	GH29_e53	GH29	3
AMN69_RS26835	-	GH43_35(48-385)	GH43_e68	GH43_35	3
AMN69_RS26840	3.2.1.23:2	GH2(22-604)	GH2_e127	GH2	3
AMN69_RS26845	3.2.1.88:1	GH27(187-396)	GH27_e28	CBM51+GH27	3
AMN69_RS26850	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(58-291)	GH3_e0	GH3	3
AMN69_RS26855	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1|3.1.1.72:2|3.1.1.73:1|-	GH43_29(29-317)+CBM6(341-463)+CE1(603-832)	GH43_e59+CBM6_e0+CBM48_e9+CE1_e22	CBM48+CBM6+CE0+GH43_29	3
AMN69_RS26860	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(38-308)+CBM6(332-458)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
AMN69_RS26865	3.1.1.72:6|3.1.1.73:2|3.2.1.-:3|3.2.1.63:2	CE6(88-197)+GH95(286-1020)	CE6_e2+GH95_e1	CE6+GH95	3
AMN69_RS26870	3.2.1.55:1|-	GH43_10(29-296)+CBM91(325-525)	GH43_e82+CBM91_e4	GH43_10	3
AMN69_RS26875	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(53-292)	GH3_e0	GH3	3
AMN69_RS26880	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(77-669)	GH67_e0	GH67	3
AMN69_RS27960	-	GH73(12-144)	GH73_e221	GH73	3
AMN69_RS30295	3.2.1.22:1	GH97(556-1177)	GH97_e16	GH97	3
AMN69_RS30875	3.2.1.23:35	GH2(18-329)	GH2_e1	GH2	3
AMN69_RS30880	3.2.1.23:35	GH2(41-578)	GH2_e1	GH2	3
ARB24_RS20090	-	GH24(4-134)	GH24_e205	-	2
ARB54_RS18575	-	GT4(208-353)	GT4_e1235	GT4	3
ARB54_RS18585	-	GT4(202-352)	GT4_e1077	GT4	3
ARB54_RS18595	-	GT4(222-360)	GT4_e405	GT4	3
ARB54_RS22710	3.2.1.3:2|3.2.1.20:2	GH97(15-703)	GH97_e22	GH97	3
ARB54_RS22715	-	GH97(13-661)	GH97_e7	GH97	3
ARB54_RS22725	-	GH27(162-416)	GH27_e11	GH27	3
ARB54_RS24680	-	GT4(202-345)	GT4_e1826	-	2
ARB54_RS24705	-	GT2(3-105)	GT2	GT2	3
ARB54_RS24710	-	GT4(203-347)	GT4_e1088	-	2
AYT46_RS12040	-	GH110(5-529)	GH110_e5	GH110	3
AYT46_RS13275	3.2.1.-:3|3.2.1.63:2	GH95(34-744)	GH95_e1	-	2
AYT46_RS13295	3.2.1.111:8|3.2.1.51:3|-	GH29(39-346)	GH29_e30+CBM32_e126	GH29	3
AYT46_RS13300	3.2.1.111:8|3.2.1.51:3|-|-	GH29(26-337)+CBM32(549-672)	GH29_e30+CBM32_e126+CBM32_e126	GH29	3
AYT46_RS13310	3.2.1.52:18|3.2.1.-:1	GH20(153-503)	GH20_e12	GH20	3
AYT46_RS25900	3.2.1.52:18|3.2.1.-:1|-	GH20(153-503)+GH29(553-874)	GH20_e12+GH29_e42	GH20	3
BJP75_RS13220	-	GT2(5-166)	GT2	GT2	3
BMY23_RS03875	-	GH20(148-470)	GH20_e106	GH20	3
BMY23_RS03880	-	GH95(33-766)	GH139_e2	-	2
BMY23_RS16330	-	GT4(232-377)	GT4_e2643	-	2
BMY23_RS17450	-	GH141(21-535)	GH141_e24	CBM32	3
BMZ52_RS00010	-	GT4(248-405)	GT4_e1477	GT4	3
BMZ52_RS00015	-	GT2(15-143)	GT2	GT2	3
BMZ52_RS00030	-	GT4(184-329)	GT4_e1495	GT4	3
BMZ52_RS00035	-	GT4(200-347)	GT4_e2551	GT4	3
BMZ52_RS00040	-	GT4(226-373)	GT4_e2729	GT4	3
BMZ52_RS03455	-	GT51(60-219)	GT51_e158	GT51	3
BMZ52_RS23465	-	GT4(176-327)	GT4_e2903	GT4	3
BMZ52_RS23475	-	GT4(160-299)	GT4_e666	GT4	3
BSIG_RS00565	-	GT2(11-172)	GT2	GT2	3
BSIG_RS11125	-	GT4(190-335)	GT4_e823	GT4	3
BSIG_RS11150	2.4.1.69:1	GT11(2-297)	GT11_e51	GT11	3
BSIG_RS19440	-	GT4(222-349)	GT4_e3072	GT4	3
C4S64_RS05410	-	GT4(180-323)	GT4_e719	-	2
C4S64_RS05415	-	GT4(226-368)	GT4_e448	GT4	3
C4S64_RS05485	-	GT2(10-140)	GT2	-	2
C4S64_RS26650	-	GH73(15-144)	GH73_e221	GH73	3
C5Z03_RS26555	3.2.1.21:20|3.2.1.-:6	GH3(1-117)	GH3_e1	-	2
C799_RS03135	-	GT4(225-381)	GT4_e3606	GT4	3
C799_RS08885	-	GH154(26-383)	GH154_e17	GH154	3
C799_RS08890	3.2.1.-:3	GH88(66-390)	GH88_e11	GH88	3
C799_RS08895	3.2.1.-:2|3.2.1.55:1	GH43_29(23-297)	GH43_e22	GH43_29	3
C799_RS08900	3.2.1.55:3	GH43_19(83-323)	GH43_e159	GH43_19+GH43_29	3
C799_RS08905	4.2.2.23:15|4.2.2.24:5	PL11_1(55-639)	PL11_e0	PL11_1	3
C799_RS08910	3.2.1.31:2	GH2(22-500)	GH2_e41	GH2	3
C799_RS08915	3.2.1.55:2|3.2.1.37:1|-	GH43_10(39-311)+CBM91(345-546)	GH43_e0+CBM91_e10	GH43_10	3
C799_RS10560	-	CE12(175-381)	CE12_e37	CE12	3
C799_RS10565	3.2.1.31:2	GH2(28-559)	GH2_e41	GH2	3
C799_RS10570	3.2.1.55:2|3.2.1.37:1|-	GH43_12(27-311)+CBM91(340-530)	GH43_e259+CBM91_e28	CBM91+GH43_12	3
C799_RS10580	-	GH146(50-552)	GH146_e1	GH146	3
C799_RS10585	3.2.1.-:1	GH115(37-776)	GH115_e4	GH115	3
C799_RS15355	-	GT6(2-213)	GT6_e4	GT6	3
C799_RS15365	2.4.1.69:1	GT11(2-290)	GT11_e40	GT11	3
C799_RS16885	3.2.1.-:1	GH140(36-462)	GH140_e1	GH140	3
C799_RS18215	-	GT2(4-135)	GT2	-	2
C799_RS20265	-	GT4(180-332)	GT4_e3319	GT4	3
C799_RS20285	-	GT2(7-148)	GT2	-	2
C799_RS20300	-	GT2(7-168)	GT2	GT2	3
DW167_RS00070	-	GT4(196-343)	GT4_e438	GT4	3
DW167_RS06285	3.2.1.21:20|3.2.1.-:6	GH3(100-323)	GH3_e1	GH3	3
DW167_RS07005	-	GH110(171-684)	GH110_e17	GH110	3
DW167_RS07010	-	GH97(16-644)	GH97_e25	GH97	3
DW167_RS07015	-	GH106(191-914)	GH106_e32	GH106	3
DW640_RS02750	-	GT4(183-329)	GT4_e719	-	2
DW640_RS02755	2.4.1.-:1	GT4(192-334)	GT4_e2639	-	2
DW697_RS00265	-	GH3(108-328)	GH3_e6	GH3	3
DWV24_RS21585	-	GT2(4-131)	GT2	-	2
DWV24_RS21595	-	GT2(4-188)	GT2	-	2
DWW05_RS01080	-	GT4(176-329)	GT4_e449	GT4	3
DWW05_RS01090	-	GT4(181-322)	GT4_e1735	GT4	3
DWW05_RS07585	-	GT4(213-371)	GT4_e1861	GT4	3
DWW05_RS09680	-	GT2(3-107)	GT2	-	2
DWW05_RS09685	-	GT32(20-96)	GT32_e95	GT32	3
DWW05_RS09690	-	GT2(4-126)	GT2	-	2
DWW05_RS09695	-	GT2(13-173)	GT2	-	2
DWW05_RS09705	-	GT4(185-326)	GT4_e2413	-	2
DWW05_RS09710	-	GT2(7-135)	GT2	GT2	3
DWW05_RS20790	-	GT4(202-344)	GT4_e1880	GT4	3
DWW05_RS20795	-	GT2(4-158)	GT2	-	2
DWW05_RS20820	-	GT4(202-348)	GT4_e1070	-	2
DWW05_RS20835	-	GT2(11-118)	GT2	GT2	3
DWW05_RS24320	-	GT2(7-134)	GT2	GT2	3
DWY18_RS01070	3.2.1.22:2	GH36(26-701)	GH36_e24	GH36	3
DWY18_RS01075	3.2.1.55:2|3.2.1.37:1|-	GH43_10(37-295)+CBM91(331-512)	GH43_e0+CBM91_e20	GH43_10	3
DWY18_RS01085	-	GH3(104-323)	GH3_e6	GH3	3
DWY18_RS01090	-	GH29(37-341)	GH29_e42	GH29	3
DWY18_RS01095	-|-	GH2(61-757)+CBM32(736-844)	GH2_e98+CBM32_e133	CBM32+GH2	3
DWY18_RS01160	-	GT2(9-143)	GT2	GT2	3
DWY18_RS01170	-	GT14(4-256)	GT14_e68	GT14	3
DWY18_RS01175	-	GT14(9-250)	GT14_e45	GT14	3
DWY18_RS01185	-	GT8(7-262)	GT8_e199	GT8	3
DWY18_RS01200	-	GT2(12-127)	GT2	GT2	3
DWY18_RS01245	-	GT2(9-144)	GT2	GT2	3
DWY18_RS01610	3.2.1.24:1	GH92(410-891)	GH92_e40	GH92	3
DWY18_RS01615	3.2.1.101:2	GH76(100-311)	GH76_e42	GH76	3
DWY18_RS01660	3.2.1.-:1	GH115(26-777)	GH115_e4	GH115	3
DWY18_RS01710	-|-	GH105(50-367)+PL33_2(772-920)	GH105_e29+PL33_e4	GH105+PL33_2	3
DWY18_RS02270	-	GH31_14(202-631)	GH31_e15	GH31_14	3
DWY18_RS02500	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	GH92(237-730)	GH92_e0	GH92	3
DWY18_RS02510	-	CE20(101-244)+CE20(420-545)	CE20_e20	CE20	3
DWY18_RS02650	-	GH20(156-515)	GH20_e135	GH20	3
DWY18_RS02655	-	GH2(58-904)	GH2_e30	GH2	3
DWY18_RS03055	-	GH136(40-522)	GH136_e17	GH136	3
DWY18_RS03060	-	GH136(28-509)	GH136_e17	GH136	3
DWY18_RS03070	2.4.1.-:1	GH130_5(3-335)	GH130_e18	GH130_5	3
DWY18_RS03075	-	GH173(80-354)	GH173_e1	GH173	3
DWY18_RS03835	3.2.1.63:5|3.2.1.51:1	GH95(44-788)	GH95_e0	GH95	3
DWY18_RS05910	-	GT19(4-357)	GT19_e2	GT19	3
DWY18_RS06495	-	GT2(5-156)	GT2	GT2	3
DWY18_RS08055	3.2.1.23:1	GH2(34-584)	GH2_e112	GH2	3
DWY18_RS08350	-	PL8_2(576-808)	PL8_e21	PL8_2	3
DWY18_RS08380	-	GT4(232-354)	GT4_e1775	GT4	3
DWY18_RS08525	-	GT2(15-128)	GT2	GT2	3
DWY18_RS08565	-	GT14(34-291)	GT14_e14	GT14	3
DWY18_RS09660	-	GT4(192-335)	GT4_e689	GT4	3
DWY18_RS09670	-	GT4(225-359)	GT4_e1632	GT4	3
DWY18_RS09685	-	GT4(196-336)	GT4_e2608	GT4	3
DWY18_RS09695	-	GT2(4-161)	GT2	GT2	3
DWY18_RS09735	3.2.1.52:18|3.2.1.-:1|-	GH20(151-498)	GH20_e12+CBM32_e198	GH20	3
DWY18_RS09740	3.2.1.52:18|3.2.1.-:1	GH20(154-509)	GH20_e12	GH20	3
DWY18_RS09785	-	GH89(64-723)	GH89_e5	GH89	3
DWY18_RS09820	-	CE2(149-351)	CE2_e2	CE2	3
DWY18_RS09830	-	CE20(103-362)	CE20_e34	CE20	3
DWY18_RS09950	-	GH138(1-899)	GH138_e1	GH138	3
DWY18_RS10010	3.2.1.-:1	GH139(2-790)	GH139_e0	GH139	3
DWY18_RS10030	-	PL1_2(134-324)	PL1_e77	PL1_2	3
DWY18_RS11755	3.2.1.40:1|3.2.1.40:8|3.1.1.73:2	CBM67(145-319)+GH78(351-859)	CBM67_e28+GH78_e80	GH78	3
DWY18_RS11760	3.2.1.31:1|3.2.1.185:1	GH137(25-363)	GH137_e0	GH137	3
DWY18_RS11765	-	GH106(333-1041)	GH106_e46	GH106	3
DWY18_RS11770	3.2.1.173:1	GH28(49-404)	GH28_e117	GH28	3
DWY18_RS11775	-|3.2.1.40:2	CBM67(9-193)+GH78(294-700)	CBM67_e26+GH78_e30	CBM67+GH78	3
DWY18_RS12135	-	GT2(11-138)	GT2	GT2	3
DWY18_RS12205	-	GT4(211-353)	GT4_e2257	GT4	3
DWY18_RS12210	-	GT4(213-370)	GT4_e2011	GT4	3
DWY18_RS13745	-	GH30_2(51-487)	GH30_e11	GH30_2	3
DWY18_RS14280	4.2.2.23:2	PL9(20-440)	PL9_e24	PL9_1	3
DWY18_RS14405	3.2.1.173:1	GH28(83-455)	GH28_e139	GH28	3
DWY18_RS14420	3.2.1.174:1	GH106(20-914)	GH106_e0	GH106	3
DWY18_RS15460	-|3.2.1.23:35	GH2(219-1075)	CBM13_e174+GH2_e1	GH2	3
DWY18_RS15835	3.2.1.-:2	GH92(212-733)	GH92_e30	GH92	3
DWY18_RS16305	-	CBM62(460-536)+CBM62(543-606)	CBM62_e1	CBM62	3
DWY18_RS17100	-	CE15(60-384)	CE15_e7	CE0	3
DWY18_RS17150	-	GH20(141-481)	GH20_e9	GH20	3
DWY18_RS17155	-	CE20(103-363)	CE20_e40	CE20	3
DWY18_RS17185	-	GH89(63-721)	GH89_e5	GH89	3
DWY18_RS17195	-	CE9(7-389)	CE9_e78	CE9	3
DWY18_RS17730	-	GT2(5-123)	GT2	GT2	3
DWY18_RS18400	-	GH92(239-764)	GH92_e24	GH92	3
DWY18_RS18420	3.2.1.21:20|3.2.1.-:6	GH3(93-315)	GH3_e1	GH3	3
DWY18_RS20045	-	GH43_24(49-304)	GH43_e269	GH43_24	3
DWY18_RS20160	-|-	GH43_10(49-315)+CBM91(346-531)	GH43_e43+CBM91_e38	CBM91+GH43_10	3
DWY18_RS20895	3.2.1.113:1|3.2.1.-:1|3.2.1.113:1|3.2.1.-:1	GH38(31-285)	GH38_e34+CBM32_e185	CBM32+GH38	3
DWY18_RS21570	-	GT4(222-344)	GT4_e2447	GT4	3
DWY18_RS21585	-	GT2(12-139)	GT2	GT2	3
DWY18_RS22240	-	PL1_2(135-328)	PL1_e77	PL1_2	3
DWY18_RS22660	-	GT2(5-130)	GT2	GT2	3
DWY18_RS22665	-	GT4(215-372)	GT4_e1861	GT4	3
EAJ10_RS02295	3.2.1.37:1	GH30_2(62-478)	GH30_e24	GH30_2	3
EAJ10_RS02300	-	GH3(98-319)	GH3_e6	GH3	3
EAJ10_RS05375	-	PL8_2(614-768)	PL8_e52	PL8_2	3
EAJ10_RS06940	-	GT2(80-230)	GT2	GT2	3
EAJ10_RS07010	-	GT11(26-287)	GT11_e33	GT11	3
EAJ10_RS07015	-	GT2(15-151)	GT2	-	2
EAJ10_RS07020	-	GT4(202-345)	GT4_e1826	GT4	3
EAJ10_RS07025	-	GT2(8-132)	GT2	GT2	3
EAJ10_RS07030	-	GT8(3-249)	GT8_e228	GT8	3
EAJ10_RS07035	-	GT32(19-95)	GT32_e128	GT32	3
EAJ10_RS07040	2.4.1.-:1	GT2(6-143)	GT2	GT2	3
EAJ10_RS07660	-	GH50(112-351)	GH50_e2	GH50	3
EAJ10_RS07665	-	GH51_1(259-705)	GH51_e24	GH51	3
EAJ10_RS07670	3.2.1.146:3	GH5(40-264)	GH5_e221	GH0	3
EAJ10_RS07690	3.2.1.-:1	GH139(9-730)	GH139_e0	GH139	3
EAJ10_RS07695	3.2.1.23:1	GH147(21-813)	GH147_e0	GH147	3
EAJ10_RS07700	3.2.1.-:1	GH105(65-386)	GH105_e39	GH105	3
EAJ10_RS07710	-	GH154(18-379)	GH154_e2	GH154	3
EAJ10_RS07715	3.2.1.22:1|3.2.1.88:1	GH97(17-642)	GH97_e18	GH97	3
EAJ10_RS07720	-	GH59(42-687)	GH59_e5	GH59	3
EAJ10_RS07725	3.2.1.22:1	GH31_19(139-525)	GH31_e46	GH31	3
EAJ10_RS07730	3.2.1.55:3|3.2.1.-:2|3.2.1.55:1|3.2.1.55:3	GH43_19(83-324)+GH43_29(358-635)+GH43_34(657-945)	GH43_e159+GH43_e22+GH43_e159	GH43_19+GH43_29+GH43_34	3
EAJ10_RS07735	-	GH43_24(45-279)	GH43_e205	GH43_24	3
EAJ10_RS08545	-	GH146(33-535)	GH146_e13	GH146	3
EAJ10_RS08550	3.2.1.55:1|-	GH43_10(15-280)+CBM91(308-512)	GH43_e82+CBM91_e4	GH43_10	3
EAJ10_RS08560	3.2.1.8:21|3.2.1.55:1	GH10(31-370)	GH10_e83	GH10	3
EAJ10_RS08565	3.2.1.37:19|3.2.1.55:4	GH43_1(8-317)	GH43_e53	GH43_1	3
EAJ10_RS08600	3.2.1.8:2	GH5_21(80-351)	GH5_e243	GH5_21	3
EAJ10_RS08605	3.2.1.-:3|3.2.1.63:2	GH95(20-749)	GH95_e1	CE6+GH95	3
EAJ10_RS08610	-	CE1(34-286)	CE1_e22	-	2
EAJ10_RS08615	-|-	GH43_10(54-360)+CBM91(392-592)	GH43_e43+CBM91_e38	CBM91+GH43_10	3
EAJ10_RS08620	3.2.1.23:2	GH2(20-710)	GH2_e127	GH2	3
EAJ10_RS08640	3.2.1.131:6	GH115(32-808)	GH115_e0	GH115	3
EAJ10_RS08645	-	GH43_35(7-344)	GH43_e68	GH43_35	3
EAJ10_RS24230	-	GT4(173-287)	GT4_e1075	GT4	3
EAJ10_RS24450	-	GT2(5-131)	GT2	GT2	3
EAJ10_RS24520	-	GT4(236-382)	GT4_e1043	GT4	3
EH213_RS08970	4.2.2.2:3	PL1_2(127-330)	PL1_e60	PL1_2	3
EH213_RS21765	-	GT4(189-327)	GT4_e689	GT4	3
EH213_RS21770	-	GT4(175-325)	GT4_e1162	GT4	3
EH213_RS23970	-	GT4(183-337)	GT4_e1825	GT4	3
EH213_RS23980	-	PL12(380-510)	PL12_e12	PL12	3
EH213_RS26525	-	GT25(5-174)	GT25_e69	GT25	3
EH213_RS26540	-	GT2(3-120)	GT2	GT2	3
EPB64_RS25305	-	GT4(181-319)	GT4_e3339	-	2
EPB64_RS26820	-	GT4(19-172)	GT4_e3200	-	2
EXC89_RS00730	-	GH16_3(30-264)	GH16_e222	GH16_3	3
EXC89_RS01205	-	GH43_31(47-309)	GH43_e180	GH43_31	3
EXC89_RS03125	3.2.1.8:3|3.2.1.4:2	GH8(67-394)	GH8_e37	GH8	3
EXC89_RS12275	3.2.1.23:1	GH147(20-862)	GH147_e0	GH147	3
EXC89_RS12295	3.2.1.89:3	GH53(46-358)	GH53_e22	GH53	3
EXC89_RS16780	-|-	GH43_28(52-309)+CBM32(354-467)	GH43_e85+CBM32_e190	GH43_28	3
EXC89_RS17450	-	GT4(192-345)	GT4_e3479	GT4	3
EXC89_RS17455	-	GT4(240-375)	GT4_e3670	GT4	3
EXC89_RS17460	-	GT4(201-348)	GT4_e1713	GT4	3
EXC89_RS17480	-	GT2(9-143)	GT2	GT2	3
EXC89_RS17485	-	GT11(2-289)	GT11_e8	GT11	3
EXC89_RS17490	-	GT32(19-95)	GT32_e190	GT32	3
EXC89_RS17495	-	GT8(3-251)	GT8_e99	GT8	3
EXC89_RS17500	2.4.1.-:1	GT2(8-137)	GT2	GT2	3
EXC89_RS21135	-	GH73(12-144)	GH73_e221	GH73	3
EXC89_RS24170	-	GT4(196-333)	GT4_e3628	GT4	3
EXC89_RS24175	-	GT4(182-334)	GT4_e3584	GT4	3
EXC89_RS27250	-	GT2(6-115)	GT2	-	2
EXC89_RS27265	-	GT4(183-334)	GT4_e2892	-	2
EXC89_RS27310	-	PL38(2-270)	PL38_e21	PL38	3
EXC89_RS27415	-	GT2(7-137)	GT2	GT2	3
EXC89_RS27445	-	GT4(206-352)	GT4_e4001	GT4	3
EXC89_RS27825	-	GT2(7-141)	GT2	GT2	3
EXC89_RS27845	-	GT2(8-173)	GT2	GT2	3
EXC89_RS27850	2.4.1.-:1	GT2(6-132)	GT2	GT2	3
EXC89_RS28175	-	GT32(18-96)	GT32_e128	GT32	3
F9Z91_RS09435	-	GT4(191-340)	GT4_e3479	GT4	3
F9Z91_RS23690	3.1.1.72:2|3.1.1.73:1|-	CE1(145-249)	CBM48_e9+CE1_e22	-	2
FE838_RS02585	3.2.1.22:1	GH97(11-648)	GH97_e5	GH97	3
FE838_RS02595	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(27-693)	GH67_e0	GH67	3
FE838_RS02600	3.2.1.101:3	GH76(164-487)	GH76_e36	GH76+3.2.1.101	3
FE838_RS03865	-	GT4(198-341)	GT4_e161	GT0	3
FE838_RS03870	-	GT4(200-349)	GT4_e408	GT4	3
FE838_RS03880	-	GT2(9-149)	GT2	GT2	3
FE838_RS03890	-	GT14(4-256)	GT14_e68	GT14	3
FE838_RS03895	-	GT14(4-231)	GT14_e45	GT14	3
FE838_RS03900	-	GT32(86-163)	GT32_e179	GT32	3
FE838_RS03910	-	GT2(4-126)	GT2	GT2	3
FE838_RS03920	-	GT2(8-120)	GT2	GT2	3
FE838_RS03950	-	GT2(13-142)	GT2	GT2	3
FE838_RS12660	-	CBM32(309-436)	CBM32_e66	CBM32	3
FE838_RS13060	3.2.1.21:20|3.2.1.-:6	GH3(125-351)	GH3_e1	GH3	3
FE838_RS13665	-	GT2(8-166)	GT2	GT2	3
FE838_RS13675	2.4.1.-:1	GT2(5-141)	GT2	GT2	3
FE838_RS13690	-	GT101(54-287)	GT101_e12	GT101	3
FE838_RS13695	-	GT2(10-170)	GT2	GT2	3
FE838_RS13700	-	GT2(4-180)	GT2	GT2	3
FE838_RS13710	-	GT4(197-347)	GT4_e408	GT4	3
FE838_RS13720	-	GT4(185-338)	GT4_e3479	GT4	3
FE838_RS13770	-	GH27(521-819)	GH27_e4	GH27	3
FE838_RS15380	-	GT4(214-357)	GT4_e3066	GT4	3
FE838_RS15395	-	GT4(189-337)	GT4_e1576	GT4	3
FE838_RS20255	-	GT4(189-330)	GT4_e3628	GT4	3
FE838_RS20270	-	GT2(6-119)	GT2	GT2	3
FE838_RS20295	-	GT4(210-360)	GT4_e2031	GT4	3
FE838_RS20300	-	GT2(9-171)	GT2	GT2	3
FE838_RS21790	-	GT2(4-132)	GT2	GT2	3
FE838_RS21800	-	GT2(10-160)	GT2	GT2	3
