dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2	GT2:16	-	-	162	AMN69_RS11870	327	5.9e-36	1	119	7	134	0.7283950617283951	0.7283950617283951
GH24_e203	GH24:151	-	-	126	AMN69_RS13500	178	6.3e-53	1	125	45	170	0.9841269841269841	0.9841269841269841
GH24_e15	GH24:17	-	-	127	AMN69_RS14620	166	1.8e-79	1	127	33	159	0.9921259842519685	0.9921259842519685
GH25_e21	GH25:30	-	-	175	AMN69_RS14640	270	3.5e-64	1	174	76	249	0.9885714285714285	0.9885714285714285
GH127_e5	GH127:146	3.2.1.-:2	pectin	539	AMN69_RS14780	676	4.6e-187	1	539	46	585	0.9981447124304267	0.9981447124304267
GH2_e16	GH2:215|CBM32:1	3.2.1.23:3	beta-galactan	748	AMN69_RS14815	852	0	4	748	23	782	0.9946524064171123	0.9946524064171123
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	AMN69_RS14825	1071	0	3	866	55	947	0.9965357967667436	0.9965357967667436
GH16_e181	GH16_17:19|CBM16:11|GH16:2	3.2.1.83:5	carrageenan	256	AMN69_RS14855	368	2e-86	1	256	96	348	0.99609375	0.99609375
GH82_e5	GH82:5	-	-	184	AMN69_RS14905	459	4.7e-83	1	184	68	268	0.9945652173913043	0.9945652173913043
PL35_e8	PL35:68|GH105:2	-	-	178	AMN69_RS14960	502	2.3e-51	2	176	279	452	0.9775280898876404	0.9775280898876404
GH154_e17	GH154:227|GH88:5|GH16_10:1	-	-	357	AMN69_RS14965	402	2.8e-160	1	356	26	380	0.9943977591036415	0.9943977591036415
GH105_e29	GH105:94|PL33_2:14|PL35:2	-	-	312	AMN69_RS14970	378	2.3e-126	2	311	58	370	0.9903846153846154	0.9903846153846154
GH2_e50	GH2:242	3.2.1.-:1	pectin	562	AMN69_RS14975	880	8.3e-219	2	561	49	599	0.994661921708185	0.994661921708185
GH27_e26	GH27:15|CBM51:12	-	-	250	AMN69_RS14980	526	2.9e-75	1	249	261	502	0.992	0.992
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	AMN69_RS14985	597	1.4e-79	1	280	35	311	0.9928825622775801	0.9928825622775801
GH43_e304	GH43:8	-	-	255	AMN69_RS14995	392	3.9e-113	1	255	44	298	0.996078431372549	0.996078431372549
GH2_e139	GH2:45|GH3:1	3.2.1.31:1	beta-glucuronan	497	AMN69_RS15000	599	1e-190	1	497	29	527	0.9979879275653923	0.9979879275653923
CE20_e34	CE20:107	-	-	261	AMN69_RS15005	470	7.2e-105	1	260	103	360	0.9923371647509579	0.9923371647509579
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	AMN69_RS15010	825	2.5e-178	8	486	24	545	0.6666666666666666	0.6666666666666666
GH2_e16	GH2:215|CBM32:1	3.2.1.23:3	beta-galactan	748	AMN69_RS15010	825	5.1e-52	461	747	474	762	0.38235294117647056	0.38235294117647056
GH2_e158	GH2:35|CBM35:16	-	-	576	AMN69_RS15025	1019	2e-270	5	576	24	594	0.9913194444444444	0.9913194444444444
CBM35_e55	CBM35:16|GH2:16	-	xylan, beta-mannan, beta-galactan	112	AMN69_RS15025	1019	1.9e-22	1	109	895	1003	0.9642857142857143	0.9642857142857143
GH110_e5	GH110:25	-	-	542	AMN69_RS15035	609	4.5e-282	2	542	37	577	0.996309963099631	0.996309963099631
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	AMN69_RS19140	325	2.2e-154	1	309	8	317	0.9935483870967742	0.9935483870967742
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	AMN69_RS19145	373	2.6e-163	4	338	35	367	0.9794721407624634	0.9794721407624634
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	AMN69_RS19165	1016	3e-260	2	643	50	1002	0.9922600619195047	0.9922600619195047
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	AMN69_RS19175	462	1.6e-119	1	280	26	313	0.9928825622775801	0.9928825622775801
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	AMN69_RS19175	462	3.1e-33	2	124	338	461	0.976	0.976
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	AMN69_RS19180	786	4e-231	8	715	22	721	0.9860529986052998	0.9860529986052998
GH2_e145	GH2:108|CBM32:1	3.2.1.23:2|3.2.1.-:1	beta-galactan, pectin	682	AMN69_RS19185	950	2.7e-250	2	680	29	732	0.9941348973607038	0.9941348973607038
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	AMN69_RS19190	659	8.4e-289	5	632	8	656	0.990521327014218	0.990521327014218
GH146_e13	GH146:34	-	-	510	AMN69_RS19200	802	1.3e-269	1	510	37	547	0.9980392156862745	0.9980392156862745
GH31_e92	GH31:51	-	-	428	AMN69_RS19205	862	4e-213	2	427	326	753	0.9929906542056075	0.9929906542056075
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	AMN69_RS19210	855	1.8e-282	7	716	31	789	0.9888423988842399	0.9888423988842399
GH31_e94	GH31:154	3.2.1.177:4	xyloglucan	461	AMN69_RS19215	806	9.5e-214	1	461	207	705	0.9978308026030369	0.9978308026030369
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	AMN69_RS19220	705	1.4e-142	3	299	38	349	0.9833887043189369	0.9833887043189369
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AMN69_RS19220	705	7.5e-25	4	108	372	479	0.9541284403669725	0.9541284403669725
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AMN69_RS19220	705	1.1e-25	7	107	584	686	0.9174311926605505	0.9174311926605505
GH43_e68	GH43_35:30	-	-	338	AMN69_RS19225	657	2.7e-203	1	338	10	347	0.9970414201183432	0.9970414201183432
GH43_e194	GH43_9:661|GH28:6|GH43:2|GH43_8:1	3.2.1.55:2	xylan	271	AMN69_RS19240	511	3.1e-126	1	270	38	305	0.992619926199262	0.992619926199262
CBM91_e0	CBM91:670|GH43_9:669|GH28:5|GH43:1	-	xylan	181	AMN69_RS19240	511	7.9e-48	5	179	337	506	0.9613259668508287	0.9613259668508287
GH27_e28	GH27:310|CBM51:16|CBM13:7|GH43_29:3|CBM6:2|GH159:1	3.2.1.88:1	arabinogalactan protein	234	AMN69_RS19245	451	1.4e-98	1	233	189	427	0.9914529914529915	0.9914529914529915
PL9_e6	PL9:7	-	-	112	AMN69_RS19250	678	4.7e-68	2	112	140	250	0.9821428571428571	0.9821428571428571
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	AMN69_RS19255	688	4.8e-105	2	262	423	683	0.9923664122137404	0.9923664122137404
GH31_e94	GH31:154	3.2.1.177:4	xyloglucan	461	AMN69_RS24440	812	1.1e-218	1	461	222	711	0.9978308026030369	0.9978308026030369
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	AMN69_RS24445	985	1.9e-268	2	643	44	971	0.9922600619195047	0.9922600619195047
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	AMN69_RS24455	790	5.2e-231	6	715	21	722	0.9888423988842399	0.9888423988842399
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	AMN69_RS24460	852	2.7e-270	2	644	38	834	0.9938080495356038	0.9938080495356038
PL9_e6	PL9:7	-	-	112	AMN69_RS24465	673	5.2e-68	1	112	134	245	0.9910714285714286	0.9910714285714286
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	AMN69_RS24470	574	1.1e-88	1	261	324	566	0.9923664122137404	0.9923664122137404
GH109_e7	GH109:31	-	-	390	AMN69_RS24505	428	3.4e-29	1	145	43	187	0.36923076923076925	0.36923076923076925
GH43_e90	GH43_29:56|GH43_24:1	-	-	286	AMN69_RS24545	348	7.4e-144	1	285	18	307	0.993006993006993	0.993006993006993
GH31_e92	GH31:51	-	-	428	AMN69_RS24550	862	5.2e-220	2	428	322	751	0.9953271028037384	0.9953271028037384
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	AMN69_RS24555	809	7.6e-300	2	729	22	744	0.9784656796769852	0.9784656796769852
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	AMN69_RS24570	695	6.5e-142	2	300	35	348	0.9900332225913622	0.9900332225913622
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AMN69_RS24570	695	1e-29	2	108	370	469	0.9724770642201835	0.9724770642201835
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AMN69_RS24570	695	1.4e-29	7	108	575	677	0.926605504587156	0.926605504587156
GH150_e0	GH150:30	3.2.1.162:2	carrageenan	907	AMN69_RS26285	944	0	2	906	23	940	0.9966923925027563	0.9966923925027563
GH150_e1	GH150:7	-	-	860	AMN69_RS26290	905	0	4	860	36	904	0.9953488372093023	0.9953488372093023
GH2_e49	GH2:81|CE4:1	-	-	572	AMN69_RS26310	782	7.3e-265	4	570	26	592	0.9895104895104895	0.9895104895104895
GH110_e15	GH110:23	-	-	500	AMN69_RS26360	627	1.8e-230	1	499	39	604	0.996	0.996
GH43_e194	GH43_9:661|GH28:6|GH43:2|GH43_8:1	3.2.1.55:2	xylan	271	AMN69_RS26820	511	2.6e-127	1	270	38	305	0.992619926199262	0.992619926199262
CBM91_e0	CBM91:670|GH43_9:669|GH28:5|GH43:1	-	xylan	181	AMN69_RS26820	511	2.9e-48	5	179	337	506	0.9613259668508287	0.9613259668508287
GH29_e53	GH29:465|GH43_18:4	3.2.1.51:6	host glycan	357	AMN69_RS26830	492	1.6e-153	6	357	15	363	0.9831932773109243	0.9831932773109243
GH43_e68	GH43_35:30	-	-	338	AMN69_RS26835	703	2e-200	1	338	49	386	0.9970414201183432	0.9970414201183432
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	AMN69_RS26840	791	6.8e-236	8	716	19	716	0.9874476987447699	0.9874476987447699
GH27_e28	GH27:310|CBM51:16|CBM13:7|GH43_29:3|CBM6:2|GH159:1	3.2.1.88:1	arabinogalactan protein	234	AMN69_RS26845	597	7.9e-93	1	211	189	399	0.8974358974358975	0.8974358974358975
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	AMN69_RS26850	841	2.1e-101	6	244	52	292	0.9482071713147411	0.9482071713147411
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	AMN69_RS26855	837	9.7e-125	1	280	30	318	0.9928825622775801	0.9928825622775801
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	AMN69_RS26855	837	3e-36	2	123	341	463	0.968	0.968
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	AMN69_RS26855	837	6.5e-30	1	60	501	560	0.9833333333333333	0.9833333333333333
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	AMN69_RS26855	837	9.1e-60	2	205	611	829	0.9854368932038835	0.9854368932038835
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	AMN69_RS26860	459	7.5e-118	1	281	38	309	0.99644128113879	0.99644128113879
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	AMN69_RS26860	459	2.2e-38	2	125	332	458	0.984	0.984
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	AMN69_RS26865	1101	3e-46	1	110	89	198	0.9819819819819819	0.9819819819819819
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	AMN69_RS26865	1101	0	3	729	286	1021	0.9771197846567967	0.9771197846567967
GH43_e82	GH43_10:63|CBM6:1	3.2.1.55:1	xylan	267	AMN69_RS26870	533	1.7e-151	1	267	29	297	0.9962546816479401	0.9962546816479401
CBM91_e4	CBM91:98|GH43_10:98|CE6:5|CBM6:3|GH43_29:1	-	xylan	204	AMN69_RS26870	533	5.1e-101	1	201	326	526	0.9803921568627451	0.9803921568627451
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	AMN69_RS26875	843	8.9e-97	5	244	52	293	0.952191235059761	0.952191235059761
GH67_e0	GH67:722	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	xylan, xylan	668	AMN69_RS26880	704	4.5e-289	76	667	76	670	0.8847305389221557	0.8847305389221557
GH73_e221	GH73:75	-	-	133	AMN69_RS27960	528	2.8e-72	1	133	13	145	0.9924812030075187	0.9924812030075187
GH97_e16	GH97:39	3.2.1.22:1	alpha-glucan	621	AMN69_RS30295	1180	2.2e-278	6	621	557	1178	0.9903381642512077	0.9903381642512077
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	AMN69_RS30510	601	7.8e-16	5	90	122	206	0.4748603351955307	0.4748603351955307
CBM56_e2	CBM56:24|GH16_3:24|CBM32:1	3.2.1.39:1	beta-glucan	179	AMN69_RS30510	601	2.1e-16	5	89	208	292	0.4692737430167598	0.4692737430167598
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	AMN69_RS30875	448	6.5e-80	556	883	14	330	0.37032842582106457	0.37032842582106457
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	AMN69_RS30880	586	5.9e-223	28	553	44	581	0.594563986409966	0.594563986409966
GH24_e205	GH24:8	-	-	133	ARB24_RS20090	142	9e-40	2	132	5	135	0.9774436090225563	0.9774436090225563
GT4_e1235	GT4:27	-	-	152	ARB54_RS18575	384	4.4e-68	3	152	207	354	0.9802631578947368	0.9802631578947368
GT4_e1077	GT4:6	-	-	152	ARB54_RS18585	384	9.7e-63	2	151	203	352	0.9802631578947368	0.9802631578947368
GT4_e405	GT4:10	-	-	143	ARB54_RS18595	396	1.6e-55	1	140	220	359	0.972027972027972	0.972027972027972
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	ARB54_RS22710	709	0	6	688	21	703	0.9898403483309144	0.9898403483309144
GH97_e7	GH97:50	-	-	651	ARB54_RS22715	665	0	7	650	22	661	0.9877112135176651	0.9877112135176651
GH27_e11	GH27:6	-	-	262	ARB54_RS22725	459	1.8e-157	1	262	163	417	0.9961832061068703	0.9961832061068703
GT4_e1826	GT4:7	-	-	149	ARB54_RS24680	375	8.9e-42	3	146	200	345	0.959731543624161	0.959731543624161
GT2	GT2:6	-	-	130	ARB54_RS24705	295	2e-51	1	127	4	130	0.9692307692307692	0.9692307692307692
GT4_e1088	GT4:8	-	-	148	ARB54_RS24710	383	2.3e-39	2	141	209	349	0.9391891891891891	0.9391891891891891
GH110_e5	GH110:25	-	-	542	AYT46_RS12040	555	1.5e-270	17	541	5	529	0.966789667896679	0.966789667896679
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	AYT46_RS13275	832	2.3e-38	197	729	212	745	0.7160161507402423	0.7160161507402423
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	AYT46_RS13295	483	4e-139	3	299	36	348	0.9833887043189369	0.9833887043189369
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AYT46_RS13295	483	2.7e-22	2	108	371	470	0.9724770642201835	0.9724770642201835
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	AYT46_RS13300	678	2.8e-133	2	299	29	339	0.9867109634551495	0.9867109634551495
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AYT46_RS13300	678	2.2e-26	4	108	359	454	0.9541284403669725	0.9541284403669725
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	AYT46_RS13300	678	1.4e-22	6	107	556	658	0.926605504587156	0.926605504587156
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	AYT46_RS13310	538	5.9e-172	2	349	152	504	0.9886039886039886	0.9886039886039886
GH117_e0	GH117:12|GH29:1	-	-	156	AYT46_RS13315	408	6.5e-66	2	156	227	379	0.9871794871794872	0.9871794871794872
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	AYT46_RS25900	878	2.1e-168	2	349	152	504	0.9886039886039886	0.9886039886039886
GH29_e42	GH29:45	-	-	309	AYT46_RS25900	878	1.9e-143	2	308	557	874	0.9902912621359223	0.9902912621359223
GT2	GT2:104	-	-	161	BJP75_RS13220	233	1.1e-66	1	161	6	167	0.9937888198757764	0.9937888198757764
GH20_e106	GH20:152|CBM32:18	-	-	325	BMY23_RS03875	663	1.3e-160	1	324	149	470	0.9938461538461538	0.9938461538461538
GH139_e2	GH139:9	-	-	702	BMY23_RS03880	845	6.6e-47	5	595	27	617	0.8404558404558404	0.8404558404558404
GT4_e2643	GT4:78	-	-	149	BMY23_RS16330	411	3.6e-24	2	109	237	344	0.7181208053691275	0.7181208053691275
GT2	GT2:7	-	-	141	BMY23_RS16345	274	1.8e-52	1	141	7	151	0.9929078014184397	0.9929078014184397
GH141_e24	GH141:42	-	-	504	BMY23_RS17450	779	7.5e-55	1	442	22	456	0.875	0.875
GT4_e1477	GT4:11	-	-	159	BMZ52_RS00010	441	3.6e-56	2	157	250	406	0.9748427672955975	0.9748427672955975
GT2	GT2:11	-	-	164	BMZ52_RS00015	322	4.4e-58	1	132	16	147	0.7987804878048781	0.7987804878048781
GT4_e1495	GT4:5	-	-	152	BMZ52_RS00030	366	1.8e-22	14	148	192	328	0.881578947368421	0.881578947368421
GT4_e2551	GT4:14	-	-	133	BMZ52_RS00035	384	2.3e-37	1	132	207	346	0.9849624060150376	0.9849624060150376
GT4_e2729	GT4:6	-	-	154	BMZ52_RS00040	409	1.1e-65	3	154	226	374	0.9805194805194806	0.9805194805194806
GT51_e158	GT51:844	-	-	164	BMZ52_RS03455	245	7.1e-72	1	163	61	219	0.9878048780487805	0.9878048780487805
GT4_e2903	GT4:31	-	-	153	BMZ52_RS23465	359	6.5e-51	4	152	179	325	0.9673202614379085	0.9673202614379085
GT4_e666	GT4:13	-	-	141	BMZ52_RS23475	332	1.4e-51	1	141	162	302	0.9929078014184397	0.9929078014184397
GT2	GT2:11	-	-	164	BSIG_RS00565	335	6.3e-61	1	164	12	173	0.9939024390243902	0.9939024390243902
GT4_e823	GT4:16	-	-	149	BSIG_RS11125	355	5e-45	2	148	194	339	0.9798657718120806	0.9798657718120806
GT4_e2321	GT4:62	-	-	122	BSIG_RS11140	324	1.8e-17	22	115	199	293	0.7622950819672131	0.7622950819672131
GT11_e51	GT11:219|GT25:1	2.4.1.69:1	-	282	BSIG_RS11150	307	1.9e-81	2	280	3	297	0.9858156028368794	0.9858156028368794
GT4_e3072	GT4:23	-	-	141	BSIG_RS19440	388	1.3e-51	1	138	213	348	0.9716312056737588	0.9716312056737588
GT4_e719	GT4:7	-	-	152	C4S64_RS05410	356	1.7e-28	11	149	187	324	0.9078947368421053	0.9078947368421053
GT4_e448	GT4:12	-	-	147	C4S64_RS05415	397	3.6e-46	2	144	228	367	0.9659863945578231	0.9659863945578231
GT2	GT2:12	-	-	160	C4S64_RS05485	316	6.5e-27	2	125	11	133	0.76875	0.76875
GT4_e987	GT4:5	-	-	153	C4S64_RS05490	413	1.6e-60	3	153	235	384	0.9803921568627451	0.9803921568627451
GH73_e221	GH73:75	-	-	133	C4S64_RS26650	513	2.4e-80	2	133	14	145	0.9849624060150376	0.9849624060150376
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	C5Z03_RS26555	192	1.4e-48	105	222	1	117	0.527027027027027	0.527027027027027
GT4_e3606	GT4:10|GT2:1	-	-	154	C799_RS03135	413	1.1e-48	2	153	225	376	0.9805194805194806	0.9805194805194806
GH154_e17	GH154:227|GH88:5|GH16_10:1	-	-	357	C799_RS08885	409	2.9e-164	1	356	27	384	0.9943977591036415	0.9943977591036415
GH88_e11	GH88:672|PL38:10|GH29:7|GH154:5|PL8_3:1	3.2.1.-:3	host glycan	324	C799_RS08890	398	4e-147	2	323	70	390	0.9907407407407407	0.9907407407407407
