Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results
WP_278581671.1	-	GT19(4-359)	GT19_e2(5-360)	GT19	3	GT19_e2
WP_278581700.1	-	-	GT2(73-300)	GT2	2	GT2
WP_278581702.1	-	-	-	GT0	1	-
WP_278581706.1	3.2.1.63:5|3.2.1.51:1	GH95(69-797)	GH95_e0(126-796)	GH95	3	GH95_e0
WP_278581730.1	-	-	-	GT32	1	-
WP_278581744.1	3.2.1.52:18|3.2.1.-:1	GH20(147-500)	GH20_e12(146-501)	GH20	3	GH20_e12
WP_278581759.1	-	GT2(4-135)	GT2(5-141)	GT2	3	GT2
WP_278581767.1	-	-	-	GT0	1	-
WP_278581774.1	-	-	-	GT4	1	-
WP_278581778.1	-	GT2(3-168)	GT2(4-141)	GT2	3	GT2
WP_278581797.1	3.2.1.22:1	GH31_19(143-529)	GH31_e46(144-529)	GH31_19	3	GH31_19
WP_278581800.1	3.2.1.169:1|-	GH84(186-480)	GH84_e9(187-480)+CBM32_e131(641-751)	GH84	3	GH84_e9|CBM32_e131
WP_278581802.1	-	-	-	GT4	1	-
WP_278581819.1	-	GH25(69-241)	GH25_e120(70-242)	GH25	3	GH25_e120
WP_278581821.1	-	-	-	GH24	1	-
WP_278581840.1	-	-	-	GT0	1	-
WP_278581862.1	-	-	-	GT9	1	-
WP_278581895.1	-	GT2(4-169)	GT2(5-263)	GT2	3	GT2
WP_278581903.1	3.2.1.23:2	GH2(29-591)	GH2_e137(33-613)	GH2	3	GH2_e137
WP_278581929.1	-	-	-	GT1	1	-
WP_278581950.1	-	GH2(62-933)	GH2_e30(63-934)	GH2	3	GH2_e30
WP_278581982.1	-	-	-	GT1	1	-
WP_278582005.1	-	CE1(466-635)	-	-	1	-
WP_278582028.1	-	-	-	GT119	1	-
WP_278582060.1	-	-	-	GT28	1	-
WP_278582062.1	-	GT28(194-294)	GT28_e43(195-292)	GT28	3	GT28_e43
WP_278582064.1	-	GT119(20-409)	-	GT119	2	GT119
WP_278582070.1	-	-	-	GT50	1	-
WP_278582080.1	-	-	-	CBM9	1	-
WP_278582089.1	-	-	-	CBM48+GH13_8	1	-
WP_278582111.1	-	GT30(38-204)	GT30_e38(45-205)	GT30	3	GT30_e38
WP_278582121.1	-	-	-	CE8	1	-
WP_278582130.1	2.4.1.319:4|2.4.1.320:2	GH130_2(21-319)	GH130_e13(22-319)	GH130_2	3	GH130_2
WP_278582132.1	3.2.1.24:1	GH92(263-750)	GH92_e13(264-750)	GH92	3	GH92_e13
WP_278582134.1	3.2.1.52:18|3.2.1.-:1|-	GH20(150-500)	GH20_e12(149-500)+CBM32_e198(584-673)	GH20	3	GH20_e12|CBM32_e198
WP_278582146.1	-	-	-	GH71	1	-
WP_278582157.1	-	GT2(11-137)	GT2(12-134)	GT2	3	GT2
WP_278582200.1	-	GT2(16-151)	GT2(17-152)	GT2	3	GT2
WP_278582220.1	-	GT2(3-234)	GT2(4-235)	GT2	3	GT2
WP_278582234.1	-	GT2(8-127)	GT2(9-136)	GT2	3	GT2
WP_278582267.1	-	-	-	GT2	1	-
WP_278582282.1	-	-	-	GH0	1	-
WP_278582284.1	-	-	GH18_e49(229-365)	GH18	2	GH18_e49
WP_278582333.1	-	-	-	GT4	1	-
WP_278582340.1	-	GT2(6-139)	GT2(7-131)	GT2	3	GT2
WP_278582355.1	-	GH109(58-468)	GH109_e5(59-469)	GH109	3	GH109_e5
WP_278582358.1	3.2.1.20:2	GH13_38(34-402)	GH13_e113(32-402)	GH13_38	3	GH13_38
WP_278582359.1	3.2.1.111:8|3.2.1.51:3|-	GH29(3-311)	GH29_e30(2-312)+CBM32_e126(334-430)	GH29	3	GH29_e30|CBM32_e126
WP_278582362.1	-	GH182(369-605)	-	GH182	2	GH182
WP_278582363.1	3.2.1.146:1	GH43_3(25-309)	GH43_e310(26-309)	GH43_3	3	GH43_3
WP_278582369.1	-	GH16_3(53-279)	GH16_e144(54-280)	GH16	3	GH16_3
WP_278582377.1	-	-	-	GT119	1	-
WP_278582394.1	-	GH26(27-303)	GH26_e2(28-304)	GH26	3	GH26_e2
WP_278582395.1	2.4.1.281:5	GH130_1(50-360)	GH130_e6(51-361)	GH130_1	3	GH130_1
WP_278582399.1	-	-	-	GT2	1	-
WP_278582402.1	-	-	GH18_e37(63-321)	GH18	2	GH18_e37
WP_278582427.1	-	-	-	CBM13	1	-
WP_278582444.1	2.4.1.1:9	GT35(123-708)	GT35_e7(126-654)	GT35	3	GT35_e7
WP_278582445.1	-	GT3(9-344)	GT3_e2(10-346)	GT3	3	GT3_e2
WP_278582459.1	-	-	-	GT2	1	-
WP_278582500.1	-	GH3(19-226)	GH3_e137(19-226)	GH3	3	GH3_e137
WP_278582512.1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1|-	CE1(157-397)	CBM48_e68(41-116)+CE1_e22(167-391)	-	2	CBM48_e68|CE1_e22
WP_278582516.1	3.2.1.22:1	GH27(131-384)	GH27_e2(133-384)	GH27	3	GH27_e2
WP_278582557.1	-	GH25(354-551)	GH25_e166(391-552)	GH25	3	GH25_e166
WP_278582618.1	-	GT2(4-127)	GT2(5-140)	GT2	3	GT2
WP_278582625.1	-	GH26(361-555)	GH26_e89(337-554)	GH26	3	GH26_e89
WP_278582627.1	-	GH179(24-200)	-	-	1	-
WP_278582648.1	-	GT2(5-95)	GT2(6-96)	-	2	GT2
WP_278582650.1	-	GT2(4-167)	GT2(5-159)	GT2	3	GT2
WP_423808763.1	3.2.1.54:1|3.2.1.135:1	GH13_46(172-495)	GH13_e102(174-495)	GH13_46	3	GH13_46
WP_423808768.1	3.2.1.113:6|3.2.1.-:1	GH92(226-733)	GH92_e18(228-733)	GH92	3	GH92_e18
